date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,22.94,22.94,22.19,22.19,4.8753,774300.0,0.0,1.0
2000-01-04,22.31,23.25,22.31,22.75,4.9983,456400.0,0.0,1.0
2000-01-05,22.75,23.69,22.69,23.44,5.1499,425200.0,0.0,1.0
2000-01-06,23.38,23.5,22.75,22.94,5.04,328200.0,0.0,1.0
2000-01-07,23.19,23.63,23.13,23.38,5.1367,235700.0,0.0,1.0
2000-01-10,23.31,23.81,23.06,23.13,5.0818,220000.0,0.0,1.0
2000-01-11,23.31,23.75,22.75,22.94,5.04,324300.0,0.0,1.0
2000-01-12,22.88,23.31,22.88,23.06,5.0664,282400.0,0.0,1.0
2000-01-13,23.13,23.75,23.13,23.19,5.095,310800.0,0.0,1.0
2000-01-14,23.38,23.56,23.0,23.06,5.0664,343800.0,0.0,1.0
2000-01-18,22.94,23.06,22.44,22.88,5.0269,378200.0,0.0,1.0
2000-01-19,22.88,23.25,22.81,23.0,5.0532,330800.0,0.0,1.0
2000-01-20,23.0,23.31,23.0,23.13,5.0818,248900.0,0.0,1.0
2000-01-21,23.56,24.0,23.38,23.63,5.1916,513500.0,0.0,1.0
2000-01-24,23.63,23.81,23.31,23.5,5.1631,528900.0,0.0,1.0
2000-01-25,23.38,23.56,22.69,22.81,5.0115,333800.0,0.0,1.0
2000-01-26,22.81,23.19,22.63,22.63,4.9719,459200.0,0.0,1.0
2000-01-27,22.88,23.56,22.88,23.19,5.095,483900.0,0.0,1.0
2000-01-28,23.0,23.06,22.06,22.19,4.8753,396900.0,0.0,1.0
2000-01-31,23.0,23.38,22.69,23.19,5.095,388300.0,0.0,1.0
2000-02-01,23.25,23.25,22.94,23.06,5.0664,235800.0,0.0,1.0
2000-02-02,22.88,23.19,22.81,23.06,5.0664,183900.0,0.0,1.0
2000-02-03,22.88,23.56,22.75,23.5,5.1631,404000.0,0.0,1.0
2000-02-04,23.31,23.44,22.25,22.44,4.9302,221300.0,0.0,1.0
2000-02-07,22.5,22.75,22.19,22.25,4.8884,195400.0,0.0,1.0
2000-02-08,22.38,22.94,22.25,22.31,4.9016,186100.0,0.0,1.0
2000-02-09,22.19,22.5,21.56,22.13,4.8621,315600.0,0.0,1.0
2000-02-10,22.06,22.31,21.69,22.06,4.8467,282200.0,0.0,1.0
2000-02-11,21.94,22.0,21.56,21.81,4.7918,157600.0,0.0,1.0
2000-02-14,21.94,22.38,21.88,22.13,4.8621,269900.0,0.0,1.0
2000-02-15,22.38,22.75,22.38,22.5,4.9434,320900.0,0.0,1.0
2000-02-16,22.44,22.5,21.81,22.06,4.8467,232700.0,0.0,1.0
2000-02-17,22.13,22.13,21.5,21.75,4.7786,266300.0,0.0,1.0
2000-02-18,21.5,21.56,20.94,21.06,4.627,321100.0,0.0,1.0
2000-02-22,21.19,21.44,20.94,21.0,4.6138,118900.0,0.0,1.0
2000-02-23,21.0,21.0,20.5,20.63,4.5325,151100.0,0.0,1.0
2000-02-24,20.81,20.81,19.31,20.31,4.4622,324300.0,0.0,1.0
2000-02-25,20.0,20.56,19.81,19.94,4.3809,317400.0,0.0,1.0
2000-02-28,19.63,20.44,19.63,20.31,4.4622,323200.0,0.0,1.0
2000-02-29,20.38,20.38,19.75,20.13,4.4227,236000.0,0.0,1.0
2000-03-01,19.94,20.38,19.81,20.19,4.4358,256900.0,0.0,1.0
2000-03-02,20.19,20.38,19.94,20.31,4.4622,299100.0,0.0,1.0
2000-03-03,20.31,20.69,20.19,20.56,4.5171,109200.0,0.0,1.0
2000-03-06,20.25,20.31,19.5,19.56,4.2974,187200.0,0.0,1.0
2000-03-07,19.5,20.0,18.81,19.31,4.2425,400800.0,0.0,1.0
2000-03-08,18.56,19.38,18.38,18.63,4.1513,2851500.0,0.265,1.0
2000-03-09,19.0,19.19,18.69,19.19,4.2761,285200.0,0.0,1.0
2000-03-10,18.88,19.5,18.75,19.25,4.2895,249000.0,0.0,1.0
2000-03-13,18.88,19.06,18.56,18.69,4.1647,221000.0,0.0,1.0
2000-03-14,18.56,18.69,18.44,18.5,4.1224,162700.0,0.0,1.0
2000-03-15,18.75,20.06,18.69,19.94,4.4432,463800.0,0.0,1.0
2000-03-16,19.94,21.5,19.63,21.25,4.7351,385900.0,0.0,1.0
2000-03-17,20.38,20.88,20.25,20.38,4.5413,317100.0,0.0,1.0
2000-03-20,20.13,20.88,20.13,20.69,4.6104,277300.0,0.0,1.0
2000-03-21,20.5,20.75,20.19,20.44,4.5546,137100.0,0.0,1.0
2000-03-22,20.19,20.25,19.63,19.81,4.4143,263100.0,0.0,1.0
2000-03-23,19.88,20.75,19.69,20.69,4.6104,413300.0,0.0,1.0
2000-03-24,20.69,21.0,20.69,21.0,4.6794,259000.0,0.0,1.0
2000-03-27,20.81,20.94,20.75,20.81,4.6371,159800.0,0.0,1.0
2000-03-28,20.75,20.88,19.94,20.13,4.4856,206200.0,0.0,1.0
2000-03-29,20.13,20.94,20.13,20.44,4.5546,234500.0,0.0,1.0
2000-03-30,20.56,21.0,20.31,20.81,4.6371,196600.0,0.0,1.0
2000-03-31,20.56,21.13,20.06,20.94,4.6661,385200.0,0.0,1.0
2000-04-03,20.94,21.0,20.38,20.81,4.6371,259100.0,0.0,1.0
2000-04-04,20.94,21.44,20.38,21.13,4.7084,318800.0,0.0,1.0
2000-04-05,20.88,21.94,20.75,21.19,4.7218,230700.0,0.0,1.0
2000-04-06,21.5,21.56,21.13,21.31,4.7485,169600.0,0.0,1.0
2000-04-07,21.06,21.38,20.88,21.25,4.7351,270700.0,0.0,1.0
2000-04-10,21.0,21.5,20.81,21.44,4.7775,137300.0,0.0,1.0
2000-04-11,21.69,21.88,21.38,21.81,4.8599,247400.0,0.0,1.0
2000-04-12,21.56,22.56,21.56,22.19,4.9446,321000.0,0.0,1.0
2000-04-13,21.94,22.94,21.81,22.75,5.0694,158700.0,0.0,1.0
2000-04-14,22.75,23.19,22.06,22.19,4.9446,193800.0,0.0,1.0
2000-04-17,21.94,22.38,21.5,22.38,4.9869,291200.0,0.0,1.0
2000-04-18,22.13,22.19,21.69,21.75,4.8466,312600.0,0.0,1.0
2000-04-19,21.94,21.94,21.13,21.69,4.8332,201700.0,0.0,1.0
2000-04-20,21.56,22.38,21.56,22.38,4.9869,248400.0,0.0,1.0
