date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-12-13,29.1,30.0,29.0,29.3,20.1828,49466000.0,0.0,1.0
2001-12-14,29.9,30.1,29.52,29.68,20.4446,9676300.0,0.0,1.0
2001-12-17,29.95,29.95,29.4,29.45,20.2862,5110900.0,0.0,1.0
2001-12-18,29.5,29.95,29.39,29.95,20.6306,5167700.0,0.0,1.0
2001-12-19,29.85,30.19,29.62,30.15,20.7683,3693200.0,0.0,1.0
2001-12-20,30.25,30.98,30.12,30.17,20.7821,3914200.0,0.0,1.0
2001-12-21,30.4,30.99,30.25,30.99,21.347,3429100.0,0.0,1.0
2001-12-24,30.75,31.49,30.75,31.45,21.6638,976900.0,0.0,1.0
2001-12-26,31.5,32.74,31.5,32.2,22.1805,2456300.0,0.0,1.0
2001-12-27,32.2,32.97,31.52,32.85,22.6282,4447500.0,0.0,1.0
2001-12-28,32.86,33.1,32.58,32.94,22.6902,4174800.0,0.0,1.0
2001-12-31,33.11,33.74,32.72,33.19,22.8624,5532800.0,0.0,1.0
2002-01-02,32.61,32.8,31.12,31.3,21.5605,5168900.0,0.0,1.0
2002-01-03,32.75,32.75,30.82,31.25,21.5261,2906500.0,0.0,1.0
2002-01-04,32.0,32.0,31.1,31.95,22.0082,3086000.0,0.0,1.0
2002-01-07,31.75,32.05,31.37,31.95,22.0082,2449300.0,0.0,1.0
2002-01-08,31.25,31.85,31.25,31.78,21.8911,1766500.0,0.0,1.0
2002-01-09,31.95,31.95,31.25,31.3,21.5605,1639100.0,0.0,1.0
2002-01-10,31.12,31.68,31.01,31.01,21.3607,1689400.0,0.0,1.0
2002-01-11,31.01,31.15,30.75,30.9,21.285,1966200.0,0.0,1.0
2002-01-14,30.75,30.75,29.53,30.05,20.6995,3160000.0,0.0,1.0
2002-01-15,30.4,31.12,29.92,30.78,21.2023,1962400.0,0.0,1.0
2002-01-16,30.58,31.15,30.45,30.68,21.1334,1881100.0,0.0,1.0
2002-01-17,30.88,31.0,30.3,30.52,21.0232,1739800.0,0.0,1.0
2002-01-18,30.4,30.45,29.75,30.25,20.8372,1531400.0,0.0,1.0
2002-01-22,30.49,31.25,30.4,31.25,21.5261,2322700.0,0.0,1.0
2002-01-23,31.7,31.7,30.52,30.52,21.0232,2460800.0,0.0,1.0
2002-01-24,30.6,30.67,30.0,30.25,20.8372,3064100.0,0.0,1.0
2002-01-25,30.0,30.5,29.9,30.43,20.9612,2373600.0,0.0,1.0
2002-01-28,31.04,31.04,30.55,30.93,21.3056,2450800.0,0.0,1.0
2002-01-29,30.0,30.89,30.0,30.39,20.9337,2512800.0,0.0,1.0
2002-01-30,30.5,30.57,29.8,30.15,20.7683,3533700.0,0.0,1.0
2002-01-31,30.48,31.18,30.33,31.05,21.3883,3986900.0,0.0,1.0
2002-02-01,30.95,30.95,30.4,30.6,21.0783,3200100.0,0.0,1.0
2002-02-04,30.6,30.98,30.5,30.88,21.2712,3193400.0,0.0,1.0
2002-02-05,30.85,31.6,30.76,31.05,21.3883,2397200.0,0.0,1.0
2002-02-06,31.2,31.2,30.89,31.15,21.4572,2107700.0,0.0,1.0
2002-02-07,30.95,31.05,30.52,30.62,21.0921,1801500.0,0.0,1.0
2002-02-08,30.57,31.03,30.55,31.03,21.3745,1399300.0,0.0,1.0
2002-02-11,30.7,31.89,30.67,31.76,21.8774,1904300.0,0.0,1.0
2002-02-12,31.41,31.85,31.25,31.5,21.6983,2038700.0,0.0,1.0
2002-02-13,31.2,32.22,30.86,32.09,22.1047,3779900.0,0.0,1.0
