date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,8.563,8.563,8.313,8.438,8.1175,149600.0,0.0,1.0
2000-01-04,8.375,8.563,8.125,8.563,8.2377,140100.0,0.0,1.0
2000-01-05,8.625,8.75,8.125,8.563,8.2377,199900.0,0.0,1.0
2000-01-06,8.313,8.75,8.313,8.5,8.1771,216200.0,0.0,1.0
2000-01-07,8.563,8.813,8.5,8.75,8.4176,164900.0,0.0,1.0
2000-01-10,8.625,8.625,8.375,8.5,8.1771,107300.0,0.0,1.0
2000-01-11,8.375,8.688,8.313,8.625,8.2974,80900.0,0.0,1.0
2000-01-12,8.625,8.688,8.188,8.188,7.877,186600.0,0.0,1.0
2000-01-13,8.438,8.438,8.313,8.438,8.1175,153100.0,0.0,1.0
2000-01-14,8.375,8.813,8.313,8.688,8.358,391900.0,0.0,1.0
2000-01-18,8.938,9.313,8.688,9.313,8.9592,449100.0,0.0,1.0
2000-01-19,9.375,9.625,8.75,9.125,8.7784,490600.0,0.0,1.0
2000-01-20,9.0,9.0,8.688,9.0,8.6581,279300.0,0.0,1.0
2000-01-21,9.0,9.438,9.0,9.438,9.0795,449000.0,0.0,1.0
2000-01-24,9.438,10.19,9.438,9.5,9.1391,390900.0,0.0,1.0
2000-01-25,9.625,9.875,9.375,9.75,9.3796,208800.0,0.0,1.0
2000-01-26,10.13,10.19,9.813,9.813,9.4402,331700.0,0.0,1.0
2000-01-27,9.813,9.875,8.813,8.813,8.4782,215000.0,0.0,1.0
2000-01-28,8.875,9.125,8.625,8.625,8.2974,190000.0,0.0,1.0
2000-01-31,8.625,8.813,8.563,8.563,8.2377,164200.0,0.0,1.0
2000-02-01,8.625,8.938,8.438,8.938,8.5985,134100.0,0.0,1.0
2000-02-02,9.0,9.5,9.0,9.188,8.839,232100.0,0.0,1.0
2000-02-03,9.438,9.438,8.75,9.0,8.6581,137100.0,0.0,1.0
2000-02-04,9.125,9.125,8.563,8.875,8.5379,99400.0,0.0,1.0
2000-02-07,8.938,8.938,8.313,8.688,8.358,133900.0,0.0,1.0
2000-02-08,8.688,8.688,8.313,8.375,8.0569,189200.0,0.0,1.0
2000-02-09,8.375,8.375,8.125,8.125,7.8164,108500.0,0.0,1.0
2000-02-10,8.063,8.375,7.938,8.313,7.9972,155800.0,0.0,1.0
2000-02-11,8.313,8.313,8.0,8.125,7.8164,154300.0,0.0,1.0
2000-02-14,8.0,8.063,7.75,7.875,7.5759,206900.0,0.0,1.0
2000-02-15,8.0,8.125,7.75,8.063,7.7567,665400.0,0.0,1.0
2000-02-16,8.0,8.0,7.688,7.75,7.4556,617200.0,0.0,1.0
2000-02-17,7.813,7.938,7.5,7.688,7.396,211200.0,0.0,1.0
2000-02-18,7.75,7.813,6.75,6.875,6.6138,630400.0,0.0,1.0
2000-02-22,7.125,7.688,7.063,7.438,7.1555,411400.0,0.0,1.0
2000-02-23,7.625,7.875,7.25,7.688,7.396,468400.0,0.0,1.0
2000-02-24,7.563,7.75,7.438,7.75,7.4556,273800.0,0.0,1.0
2000-02-25,7.688,7.938,7.375,7.438,7.1555,210700.0,0.0,1.0
2000-02-28,7.25,7.75,7.188,7.688,7.396,146600.0,0.0,1.0
2000-02-29,7.625,8.375,7.5,8.313,7.9972,363300.0,0.0,1.0
2000-03-01,8.188,9.0,7.875,8.438,8.1175,387800.0,0.0,1.0
2000-03-02,8.313,8.813,8.25,8.75,8.4176,385300.0,0.0,1.0
2000-03-03,8.688,8.75,8.188,8.188,7.877,217400.0,0.0,1.0
2000-03-06,8.313,8.5,8.188,8.375,8.0569,200300.0,0.0,1.0
2000-03-07,8.313,9.563,8.313,9.063,8.7187,551500.0,0.0,1.0
2000-03-08,9.0,9.125,8.688,9.125,8.7784,383800.0,0.0,1.0
2000-03-09,9.125,9.5,8.875,9.438,9.0795,337800.0,0.0,1.0
2000-03-10,9.438,9.688,8.938,8.938,8.5985,184000.0,0.0,1.0
2000-03-13,9.188,9.188,8.438,8.438,8.1175,111500.0,0.0,1.0
2000-03-14,8.563,9.125,8.563,8.75,8.4176,205100.0,0.0,1.0
2000-03-15,8.75,8.938,8.313,8.563,8.2377,296100.0,0.0,1.0
2000-03-16,8.75,9.25,8.563,9.25,8.8986,218400.0,0.0,1.0
2000-03-17,8.625,9.25,8.625,9.0,8.6581,384900.0,0.0,1.0
2000-03-20,9.125,9.125,8.563,8.813,8.4782,190400.0,0.0,1.0
2000-03-21,8.813,9.125,8.688,9.0,8.6581,232400.0,0.0,1.0
2000-03-22,9.0,9.25,9.0,9.25,8.8986,230500.0,0.0,1.0
2000-03-23,9.25,9.438,9.0,9.125,8.7784,124100.0,0.0,1.0
2000-03-24,9.063,9.688,9.063,9.375,9.0189,174500.0,0.0,1.0
2000-03-27,9.25,9.375,9.063,9.25,8.8986,80900.0,0.0,1.0
2000-03-28,9.25,9.313,8.875,9.0,8.6581,196300.0,0.0,1.0
2000-03-29,9.063,9.313,9.0,9.188,8.839,175400.0,0.0,1.0
2000-03-30,9.313,10.31,9.313,10.0,9.6201,362000.0,0.0,1.0
2000-03-31,10.13,10.75,10.13,10.5,10.1011,435600.0,0.0,1.0
2000-04-03,10.63,10.88,10.25,10.5,10.1011,328400.0,0.0,1.0
2000-04-04,10.38,10.38,9.125,9.938,9.5605,298600.0,0.0,1.0
2000-04-05,9.563,10.0,9.5,9.75,9.3796,198500.0,0.0,1.0
2000-04-06,9.875,10.13,9.875,10.0,9.6201,207000.0,0.0,1.0
2000-04-07,10.0,10.0,9.563,9.875,9.4999,120300.0,0.0,1.0
2000-04-10,9.938,9.938,9.188,9.188,8.839,132500.0,0.0,1.0
2000-04-11,9.188,9.5,9.125,9.188,8.839,158100.0,0.0,1.0
2000-04-12,9.313,9.75,9.25,9.688,9.32,95900.0,0.0,1.0
2000-04-13,9.688,9.813,9.688,9.75,9.3796,123200.0,0.0,1.0
2000-04-14,9.625,9.813,9.625,9.75,9.3796,210500.0,0.0,1.0
2000-04-17,9.688,9.75,9.0,9.563,9.1997,162600.0,0.0,1.0
2000-04-18,9.688,9.938,9.188,9.813,9.4402,161300.0,0.0,1.0
2000-04-19,9.688,10.19,9.625,9.75,9.3796,152200.0,0.0,1.0
