date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,49.06,49.19,45.38,46.38,34.6861,592200.0,0.0,1.0
2000-01-04,46.38,46.38,44.81,44.81,33.512,330200.0,0.0,1.0
2000-01-05,45.06,47.62,44.5,47.56,35.5686,525300.0,0.0,1.0
2000-01-06,47.31,49.12,46.94,48.5,36.2716,511100.0,0.0,1.0
2000-01-07,48.25,49.5,48.0,49.25,36.8325,421900.0,0.0,1.0
2000-01-10,49.5,52.44,49.25,51.94,38.8443,528500.0,0.0,1.0
2000-01-11,54.5,54.5,51.31,52.12,38.9789,516000.0,0.0,1.0
2000-01-12,52.25,52.88,51.88,52.31,39.121,265900.0,0.0,1.0
2000-01-13,52.56,53.69,51.75,53.62,40.1007,208400.0,0.0,1.0
2000-01-14,53.88,56.38,53.25,55.69,41.6488,876500.0,0.0,1.0
2000-01-18,55.0,55.44,54.75,55.19,41.2749,579200.0,0.0,1.0
2000-01-19,54.5,55.75,54.5,55.44,41.4618,281100.0,0.0,1.0
2000-01-20,55.38,55.88,54.56,54.75,40.9458,268300.0,0.0,1.0
2000-01-21,55.0,55.12,53.12,53.75,40.1979,528300.0,0.0,1.0
2000-01-24,54.12,54.12,51.38,52.25,39.0761,571900.0,0.0,1.0
2000-01-25,51.5,53.31,50.75,52.44,39.2182,1942200.0,0.0,1.0
2000-01-26,52.69,55.19,52.25,55.0,41.1328,1744500.0,0.0,1.0
2000-01-27,55.0,55.0,53.69,53.75,40.1979,772500.0,0.0,1.0
2000-01-28,54.0,54.0,50.75,51.38,38.4255,930400.0,0.0,1.0
2000-01-31,50.94,50.94,46.0,49.44,36.9746,1349300.0,0.0,1.0
2000-02-01,49.5,49.5,47.0,47.38,35.434,829200.0,0.0,1.0
2000-02-02,47.5,48.44,46.75,46.94,35.1049,656100.0,0.0,1.0
2000-02-03,47.19,48.5,47.19,48.19,36.0398,379200.0,0.0,1.0
2000-02-04,48.25,48.62,47.38,47.69,35.6658,167900.0,0.0,1.0
2000-02-07,47.69,47.69,44.38,44.69,33.4222,553200.0,0.0,1.0
2000-02-08,45.19,45.62,43.75,45.0,33.6541,949300.0,0.0,1.0
2000-02-09,45.12,45.94,44.88,45.0,33.6541,479800.0,0.0,1.0
2000-02-10,45.12,45.56,44.5,45.0,33.6541,262000.0,0.0,1.0
2000-02-11,45.12,45.12,41.5,41.75,31.2235,680500.0,0.0,1.0
2000-02-14,41.88,41.88,35.56,36.5,27.2972,2773600.0,0.0,1.0
2000-02-15,37.0,37.75,35.62,37.44,28.0002,3512600.0,0.0,1.0
2000-02-16,37.75,39.0,36.88,37.25,27.8581,1290000.0,0.0,1.0
2000-02-17,37.62,39.12,37.5,37.69,28.1872,808600.0,0.0,1.0
2000-02-18,37.94,37.94,36.31,36.5,27.2972,407000.0,0.0,1.0
2000-02-22,37.0,37.62,36.56,37.06,27.716,350600.0,0.0,1.0
2000-02-23,37.12,37.38,36.56,36.69,27.4393,267000.0,0.0,1.0
2000-02-24,36.25,36.25,34.06,34.5,25.8015,303400.0,0.0,1.0
2000-02-25,34.94,35.31,33.19,33.94,25.3827,683200.0,0.0,1.0
2000-02-28,34.0,34.38,33.12,33.94,25.4649,1376400.0,0.11,1.0
2000-02-29,35.38,36.62,34.69,35.38,26.5453,2141500.0,0.0,1.0
2000-03-01,34.75,34.75,28.62,29.38,22.0436,4187500.0,0.0,1.0
2000-03-02,28.75,28.94,26.12,28.38,21.2933,3086100.0,0.0,1.0
2000-03-03,28.88,29.88,27.69,29.0,21.7585,3509500.0,0.0,1.0
2000-03-06,29.25,29.88,28.62,29.0,21.7585,1504300.0,0.0,1.0
2000-03-07,28.75,28.88,27.5,27.75,20.8206,690200.0,0.0,1.0
2000-03-08,27.5,27.5,26.5,26.8,20.1078,812500.0,0.0,1.0
2000-03-09,27.5,27.94,27.0,27.5,20.633,686500.0,0.0,1.0
2000-03-10,27.75,27.75,26.69,26.88,20.1679,251700.0,0.0,1.0
2000-03-13,26.62,26.75,26.06,26.12,19.5976,398300.0,0.0,1.0
2000-03-14,26.75,26.88,25.75,26.0,19.5076,742800.0,0.0,1.0
2000-03-15,26.0,27.0,25.31,27.0,20.2579,2120300.0,0.0,1.0
2000-03-16,28.0,33.0,27.94,31.5,23.6342,2289300.0,0.0,1.0
2000-03-17,31.5,31.5,26.0,28.69,21.5259,1509700.0,0.0,1.0
2000-03-20,28.75,30.19,27.88,28.38,21.2933,764600.0,0.0,1.0
2000-03-21,28.69,30.0,28.38,30.0,22.5088,555900.0,0.0,1.0
2000-03-22,29.19,30.19,29.19,29.88,22.4187,496500.0,0.0,1.0
2000-03-23,30.0,30.94,30.0,30.56,22.9289,907700.0,0.0,1.0
2000-03-24,30.75,31.19,30.75,30.75,23.0715,754400.0,0.0,1.0
