date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,19.88,19.94,19.69,19.94,8.1323,28300.0,0.0,1.0
2000-01-04,19.88,20.0,19.69,20.0,8.1567,34700.0,0.0,1.0
2000-01-05,20.0,20.0,19.75,19.94,8.1323,229100.0,0.0,1.0
2000-01-06,19.81,20.0,19.75,20.0,8.1567,32000.0,0.0,1.0
2000-01-07,20.0,20.69,19.94,20.69,8.4381,67600.0,0.0,1.0
2000-01-10,20.75,20.94,20.5,20.75,8.4626,194800.0,0.0,1.0
2000-01-11,20.69,20.75,20.5,20.75,8.4626,38700.0,0.0,1.0
2000-01-12,20.75,20.88,20.44,20.5,8.3606,79100.0,0.0,1.0
2000-01-13,20.44,20.5,20.25,20.31,8.2832,138200.0,0.0,1.0
2000-01-14,20.44,20.5,20.06,20.19,8.2342,59500.0,0.0,1.0
2000-01-18,20.25,20.38,19.31,20.25,8.2587,65400.0,0.0,1.0
2000-01-19,20.13,20.5,20.06,20.5,8.3606,57000.0,0.0,1.0
2000-01-20,20.56,20.63,20.44,20.5,8.3606,23100.0,0.0,1.0
2000-01-21,20.31,20.5,20.25,20.31,8.2832,27600.0,0.0,1.0
2000-01-24,20.38,20.38,19.88,19.88,8.1078,34100.0,0.0,1.0
2000-01-25,19.88,20.06,19.88,19.88,8.1078,19400.0,0.0,1.0
2000-01-26,19.88,20.13,19.88,20.06,8.1812,29100.0,0.0,1.0
2000-01-27,20.19,20.19,19.94,19.94,8.1323,30200.0,0.0,1.0
2000-01-28,19.94,20.0,19.13,19.13,7.8019,35300.0,0.0,1.0
2000-01-31,19.25,19.69,19.25,19.56,7.9773,48100.0,0.0,1.0
2000-02-01,19.56,19.63,19.5,19.63,8.0058,63600.0,0.0,1.0
2000-02-02,19.63,19.81,19.56,19.69,8.0303,70900.0,0.0,1.0
2000-02-03,19.81,19.88,19.81,19.88,8.1078,67500.0,0.0,1.0
2000-02-04,19.88,19.88,19.81,19.88,8.1078,73600.0,0.0,1.0
2000-02-07,18.75,19.88,18.75,19.81,8.0792,115100.0,0.0,1.0
