date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,17.31,17.5,17.31,17.44,15.2041,217000.0,0.0,1.0
2000-01-04,17.19,17.25,16.63,16.75,14.6026,92700.0,0.0,1.0
2000-01-05,16.69,17.13,16.5,17.0,14.8206,237600.0,0.0,1.0
2000-01-06,17.06,17.13,17.0,17.06,14.8729,238100.0,0.0,1.0
2000-01-07,17.06,17.5,16.81,17.5,15.2565,368400.0,0.0,1.0
2000-01-10,18.31,18.44,17.63,18.25,15.9103,241100.0,0.0,1.0
2000-01-11,18.13,18.19,17.44,17.63,15.3698,196500.0,0.0,1.0
2000-01-12,17.0,17.5,16.63,16.75,14.6026,135600.0,0.0,1.0
2000-01-13,16.0,16.44,15.31,16.44,14.3323,909000.0,0.0,1.0
2000-01-14,16.63,16.81,16.25,16.31,14.219,266300.0,0.0,1.0
2000-01-18,16.13,16.13,15.88,16.0,13.9488,137200.0,0.0,1.0
2000-01-19,15.75,16.25,15.75,16.25,14.1667,165200.0,0.0,1.0
2000-01-20,16.38,16.44,15.75,15.75,13.7308,301600.0,0.0,1.0
2000-01-21,15.88,15.88,15.5,15.5,13.5129,285000.0,0.0,1.0
2000-01-24,15.63,15.75,14.94,15.06,13.1293,268600.0,0.0,1.0
2000-01-25,14.94,15.13,14.56,14.75,12.859,80200.0,0.0,1.0
2000-01-26,14.81,15.5,14.75,15.13,13.1903,211200.0,0.0,1.0
2000-01-27,15.25,15.69,15.13,15.5,13.5129,170200.0,0.0,1.0
2000-01-28,15.88,16.13,15.38,15.38,13.4082,283000.0,0.0,1.0
2000-01-31,15.25,15.5,14.75,14.88,12.9723,131800.0,0.0,1.0
2000-02-01,14.81,15.19,14.25,14.63,12.7544,237500.0,0.0,1.0
2000-02-02,15.13,15.13,14.44,14.56,12.6934,389800.0,0.0,1.0
2000-02-03,14.63,14.75,14.31,14.38,12.5364,377500.0,0.0,1.0
2000-02-04,14.13,14.75,14.13,14.13,12.3185,298300.0,0.0,1.0
2000-02-07,14.88,16.44,14.75,16.25,14.1667,723000.0,0.0,1.0
2000-02-08,16.75,17.44,16.38,16.44,14.3323,612000.0,0.0,1.0
2000-02-09,16.44,16.44,15.38,16.0,13.9488,255300.0,0.0,1.0
2000-02-10,16.0,16.0,15.0,15.06,13.1293,263400.0,0.0,1.0
2000-02-11,15.06,15.38,14.44,15.13,13.1903,398800.0,0.0,1.0
2000-02-14,15.5,15.75,15.44,15.5,13.5129,240100.0,0.0,1.0
2000-02-15,15.63,15.69,15.5,15.56,13.5652,285500.0,0.0,1.0
2000-02-16,15.56,15.63,15.44,15.56,13.5652,178300.0,0.0,1.0
2000-02-17,15.5,15.5,15.0,15.19,13.2426,206000.0,0.0,1.0
2000-02-18,15.06,15.38,15.0,15.0,13.077,133600.0,0.0,1.0
2000-02-22,15.0,15.06,14.5,14.94,13.0247,118800.0,0.0,1.0
2000-02-23,14.94,14.94,14.5,14.88,12.9723,101000.0,0.0,1.0
2000-02-24,14.81,15.0,14.63,14.69,12.8067,74000.0,0.0,1.0
2000-02-25,15.0,15.06,14.81,14.88,12.9723,149400.0,0.0,1.0
2000-02-28,14.75,15.69,14.75,15.69,13.6785,173200.0,0.0,1.0
2000-02-29,15.63,16.75,15.63,16.75,14.6026,336500.0,0.0,1.0
2000-03-01,16.56,17.06,16.44,17.0,14.8206,249600.0,0.0,1.0
2000-03-02,17.5,17.5,17.0,17.25,15.0385,308200.0,0.0,1.0
2000-03-03,16.88,16.94,16.31,16.44,14.3323,211500.0,0.0,1.0
2000-03-06,16.38,16.44,15.81,15.94,13.8965,156700.0,0.0,1.0
