date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,42.25,42.25,40.5,40.88,4.5591,96300.0,0.0,1.0
2000-01-04,40.5,41.0,40.38,40.69,4.5379,77600.0,0.0,1.0
2000-01-05,40.62,40.88,39.94,40.69,4.5379,105700.0,0.0,1.0
2000-01-06,40.69,41.0,40.5,40.75,4.5446,33200.0,0.0,1.0
2000-01-07,40.88,41.19,40.75,40.88,4.5591,126600.0,0.0,1.0
2000-01-10,41.12,41.38,40.5,41.38,4.6149,121700.0,0.0,1.0
2000-01-11,42.25,43.0,41.38,41.62,4.6417,37600.0,0.0,1.0
2000-01-12,41.75,41.75,40.5,40.88,4.5591,52400.0,0.0,1.0
2000-01-13,40.88,43.5,40.88,43.38,4.8379,133200.0,0.0,1.0
2000-01-14,43.0,44.0,42.38,42.44,4.7331,124900.0,0.0,1.0
2000-01-18,43.0,44.88,43.0,44.88,5.0052,112900.0,0.0,1.0
2000-01-19,45.0,45.94,45.0,45.88,5.1167,124600.0,0.0,1.0
2000-01-20,46.62,48.38,46.38,48.38,5.3956,70400.0,0.0,1.0
2000-01-21,49.0,55.12,49.0,54.5,6.0781,188000.0,0.0,1.0
2000-01-24,54.5,57.0,54.25,54.88,6.1205,125400.0,0.0,1.0
2000-01-25,55.0,55.0,49.38,49.94,5.5695,252500.0,0.0,1.0
2000-01-26,50.06,50.06,46.62,47.88,5.3398,156500.0,0.0,1.0
2000-01-27,47.88,47.88,44.0,44.75,4.9907,106100.0,0.0,1.0
2000-01-28,44.75,46.44,43.25,44.0,4.9071,272900.0,0.0,1.0
2000-01-31,44.0,44.0,42.12,43.0,4.7956,120600.0,0.0,1.0
2000-02-01,42.75,44.5,42.5,44.38,4.9495,133600.0,0.0,1.0
2000-02-02,44.31,45.62,42.5,42.75,4.7677,39000.0,0.0,1.0
2000-02-03,49.88,52.0,48.0,51.06,5.6944,311800.0,0.0,1.0
2000-02-04,52.0,55.75,51.88,54.56,6.0848,282300.0,0.0,1.0
2000-02-07,54.62,59.75,54.62,55.5,6.1896,162900.0,0.0,1.0
2000-02-08,55.5,56.75,53.75,56.0,6.2454,127300.0,0.0,1.0
2000-02-09,57.0,59.75,57.0,58.56,6.5309,206500.0,0.0,1.0
2000-02-10,58.56,61.0,58.56,61.0,6.803,102900.0,0.0,1.0
2000-02-11,61.0,61.0,56.75,57.5,6.4127,55800.0,0.0,1.0
2000-02-14,57.5,58.0,57.5,57.69,6.4339,49400.0,0.0,1.0
2000-02-15,57.88,57.88,56.56,56.62,6.3145,67000.0,0.0,1.0
2000-02-16,56.88,57.12,56.0,56.56,6.3078,29400.0,0.0,1.0
2000-02-17,57.12,57.38,56.5,56.88,6.3435,107500.0,0.0,1.0
2000-02-18,56.88,57.56,56.75,57.25,6.3848,84700.0,0.0,1.0
2000-02-22,57.88,59.56,57.12,59.38,6.6223,93400.0,0.0,1.0
2000-02-23,59.12,60.0,58.12,59.69,6.6569,191900.0,0.0,1.0
2000-02-24,60.38,70.0,60.38,68.62,7.6528,213600.0,0.0,1.0
2000-02-25,69.0,73.0,66.38,68.12,7.5971,317200.0,0.0,1.0
2000-02-28,71.75,74.19,70.75,74.0,8.2528,129900.0,0.0,1.0
2000-02-29,76.75,76.75,73.81,74.62,8.322,274200.0,0.0,1.0
2000-03-01,77.0,79.25,76.0,79.06,8.8171,214500.0,0.0,1.0
2000-03-02,80.12,80.38,77.31,78.5,8.7547,137500.0,0.0,1.0
2000-03-03,77.75,78.75,77.5,77.62,8.6565,87100.0,0.0,1.0
2000-03-06,77.62,78.94,77.0,78.94,8.8038,88400.0,0.0,1.0
2000-03-07,79.0,79.5,76.5,77.19,8.6086,96000.0,0.0,1.0
2000-03-08,76.12,77.12,73.06,77.12,8.6008,143000.0,0.0,1.0
2000-03-09,78.0,79.38,78.0,79.0,8.8104,77900.0,0.0,1.0
2000-03-10,79.0,79.0,75.0,75.25,8.3922,73300.0,0.0,1.0
2000-03-13,74.25,74.88,72.19,72.75,8.1134,80500.0,0.0,1.0
2000-03-14,70.88,70.88,58.0,60.0,6.6915,317800.0,0.0,1.0
2000-03-15,60.0,67.5,59.75,66.5,7.4164,200800.0,0.0,1.0
2000-03-16,68.0,73.5,68.0,73.5,8.1971,90000.0,0.0,1.0
2000-03-17,72.75,73.25,72.0,73.0,8.1413,69200.0,0.0,1.0
2000-03-20,72.5,73.06,72.31,72.75,8.1134,43200.0,0.0,1.0
2000-03-21,72.5,73.88,71.75,73.88,8.2394,66800.0,0.0,1.0
2000-03-22,73.88,79.38,73.88,79.25,8.8383,85800.0,0.0,1.0
2000-03-23,79.25,81.38,78.88,79.0,8.8104,190500.0,0.0,1.0
2000-03-24,78.75,78.75,70.25,71.06,7.9249,171300.0,0.0,1.0
2000-03-27,72.44,73.31,68.0,68.0,7.5837,223700.0,0.0,1.0
2000-03-28,69.75,73.25,69.75,72.69,8.1067,203100.0,0.0,1.0
2000-03-29,72.69,73.5,68.88,69.0,7.6952,107500.0,0.0,1.0
2000-03-30,67.5,70.94,67.5,69.56,7.7577,168900.0,0.0,1.0
2000-03-31,70.25,71.75,70.25,71.38,7.9606,100500.0,0.0,1.0
2000-04-03,36.12,39.0,36.12,36.88,8.2261,50900.0,0.0,2.0
2000-04-04,36.88,36.88,30.0,31.62,7.0528,148600.0,0.0,1.0
2000-04-05,32.75,35.88,31.94,35.0,7.8067,315600.0,0.0,1.0
2000-04-06,35.0,35.06,33.12,33.38,7.4454,77900.0,0.0,1.0
2000-04-07,34.25,34.5,33.62,34.19,7.6261,42700.0,0.0,1.0
2000-04-10,34.06,37.75,34.06,36.44,8.1279,134900.0,0.0,1.0
2000-04-11,37.62,38.62,32.75,33.25,7.4164,168100.0,0.0,1.0
2000-04-12,33.75,34.75,32.25,32.25,7.1933,81500.0,0.0,1.0
2000-04-13,32.25,32.62,28.75,29.12,6.4952,183500.0,0.0,1.0
2000-04-14,29.25,29.62,29.12,29.5,6.58,441000.0,0.0,1.0
2000-04-17,28.25,30.5,28.25,29.44,6.5666,173900.0,0.0,1.0
2000-04-18,29.81,34.38,29.81,34.38,7.6684,83800.0,0.0,1.0
2000-04-19,33.25,34.25,32.75,33.25,7.4164,77800.0,0.0,1.0
2000-04-20,33.25,33.88,31.69,31.81,7.0952,40900.0,0.0,1.0
2000-04-24,31.81,31.81,26.75,27.0,6.0223,183500.0,0.0,1.0
2000-04-25,28.5,30.75,28.5,30.44,6.7896,166100.0,0.0,1.0
2000-04-26,31.0,33.88,31.0,33.88,7.5569,215700.0,0.0,1.0
2000-04-27,33.62,34.5,33.0,33.88,7.5569,130500.0,0.0,1.0
2000-04-28,34.62,35.75,34.0,34.0,7.5837,109700.0,0.0,1.0
2000-05-01,35.5,38.62,35.5,38.06,8.4893,114200.0,0.0,1.0
2000-05-02,38.12,38.12,35.75,36.0,8.0298,167600.0,0.0,1.0
2000-05-03,29.0,29.62,26.38,27.88,6.2186,896800.0,0.0,1.0
2000-05-04,29.0,29.25,27.31,27.88,6.2186,650600.0,0.0,1.0
2000-05-05,27.88,28.75,27.69,28.75,6.4127,515700.0,0.0,1.0
