date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,37.81,37.94,35.38,35.56,15.7389,44000.0,0.0,1.0
2000-01-04,35.0,35.38,33.5,33.94,15.0219,76600.0,0.0,1.0
2000-01-05,33.94,33.94,32.69,33.44,14.8006,131100.0,0.0,1.0
2000-01-06,33.5,33.69,33.13,33.5,14.8271,105900.0,0.0,1.0
2000-01-07,33.38,34.0,33.25,34.0,15.0484,90800.0,0.0,1.0
2000-01-10,34.25,34.38,33.75,34.31,15.1856,53500.0,0.0,1.0
2000-01-11,34.25,34.25,33.56,33.88,14.9953,39500.0,0.0,1.0
2000-01-12,34.0,34.06,33.38,34.06,15.1059,50800.0,0.07,1.0
2000-01-13,34.06,34.06,33.5,33.75,14.9685,53700.0,0.0,1.0
2000-01-14,33.75,33.94,33.5,33.69,14.9419,55700.0,0.0,1.0
2000-01-18,33.81,34.0,33.44,33.44,14.831,36600.0,0.0,1.0
2000-01-19,33.44,33.63,33.31,33.44,14.831,25900.0,0.0,1.0
2000-01-20,33.31,34.56,33.13,34.56,15.3277,50500.0,0.0,1.0
2000-01-21,34.56,36.56,34.56,36.5,16.1881,98700.0,0.0,1.0
2000-01-24,36.5,37.25,36.06,36.19,16.0506,150800.0,0.0,1.0
2000-01-25,36.0,36.25,34.75,34.81,15.4386,157600.0,0.0,1.0
2000-01-26,34.94,36.44,34.94,35.75,15.8555,59300.0,0.0,1.0
2000-01-27,35.5,35.56,34.56,34.56,15.3277,66800.0,0.0,1.0
2000-01-28,34.44,35.0,33.75,34.63,15.3588,43200.0,0.0,1.0
2000-01-31,34.44,34.44,32.75,33.56,14.8842,59100.0,0.0,1.0
2000-02-01,33.56,33.56,32.81,33.44,14.831,95900.0,0.0,1.0
2000-02-02,33.62,34.12,33.38,34.12,15.1326,33900.0,0.0,1.0
2000-02-03,34.25,35.75,34.13,35.75,15.8555,72700.0,0.0,1.0
2000-02-04,36.0,37.38,36.0,36.06,15.993,97500.0,0.0,1.0
2000-02-07,35.94,36.44,35.63,35.88,15.9131,32400.0,0.0,1.0
2000-02-08,35.88,36.31,35.13,35.44,15.718,54500.0,0.0,1.0
2000-02-09,35.69,35.69,32.25,33.38,14.8044,270600.0,0.0,1.0
2000-02-10,33.38,33.5,32.38,33.13,14.6935,244500.0,0.0,1.0
2000-02-11,33.13,33.19,30.75,31.25,13.8597,119600.0,0.0,1.0
2000-02-14,31.25,33.31,30.19,33.13,14.6935,182800.0,0.0,1.0
2000-02-15,33.25,33.25,33.0,33.25,14.7467,24700.0,0.0,1.0
2000-02-16,33.25,33.38,33.13,33.38,14.8044,62700.0,0.0,1.0
2000-02-17,33.38,33.38,32.63,33.13,14.6935,52300.0,0.0,1.0
2000-02-18,32.88,32.88,30.94,30.94,13.7222,54900.0,0.0,1.0
2000-02-22,30.94,30.94,29.88,30.94,13.7222,96400.0,0.0,1.0
2000-02-23,30.94,31.69,30.94,31.69,14.0548,50200.0,0.0,1.0
2000-02-24,31.81,31.81,30.63,30.75,13.6379,44700.0,0.0,1.0
2000-02-25,30.63,30.63,28.75,28.88,12.8086,158700.0,0.0,1.0
2000-02-28,28.88,28.88,26.69,27.44,12.1699,252300.0,0.0,1.0
2000-02-29,27.31,27.63,27.25,27.25,12.0856,132700.0,0.0,1.0
2000-03-01,27.0,27.0,25.81,26.63,11.8107,159500.0,0.0,1.0
2000-03-02,26.81,31.0,26.5,31.0,13.7488,339300.0,0.0,1.0
2000-03-03,30.81,34.69,30.81,34.06,15.1059,246800.0,0.0,1.0
2000-03-06,33.81,33.81,31.88,32.31,14.3298,103600.0,0.0,1.0
2000-03-07,32.19,32.19,31.25,31.44,13.944,85300.0,0.0,1.0
2000-03-08,31.31,31.31,30.0,30.75,13.6379,140800.0,0.0,1.0
2000-03-09,30.75,30.75,30.13,30.44,13.5004,48300.0,0.0,1.0
2000-03-10,30.56,32.0,30.44,31.81,14.1081,26500.0,0.0,1.0
2000-03-13,31.75,33.5,31.38,32.94,14.6092,116400.0,0.0,1.0
2000-03-14,32.75,32.81,31.44,31.75,14.0814,50500.0,0.0,1.0
2000-03-15,31.56,32.19,31.0,32.19,14.2766,54700.0,0.0,1.0
2000-03-16,32.19,35.0,32.19,35.0,15.5228,54800.0,0.0,1.0
2000-03-17,35.0,35.06,33.81,34.13,15.137,63900.0,0.0,1.0
2000-03-20,33.88,34.06,33.38,33.75,14.9685,38700.0,0.0,1.0
2000-03-21,33.56,33.94,32.69,33.81,14.9951,87500.0,0.0,1.0
2000-03-22,33.94,33.94,33.25,33.44,14.831,87100.0,0.0,1.0
2000-03-23,33.44,34.13,33.25,33.75,14.9685,69600.0,0.0,1.0
2000-03-24,33.88,34.12,33.75,33.81,14.9951,43400.0,0.0,1.0
2000-03-27,33.81,33.81,33.5,33.5,14.8576,33600.0,0.0,1.0
2000-03-28,33.5,34.75,33.34,34.13,15.137,100900.0,0.0,1.0
2000-03-29,33.94,34.0,32.63,33.13,14.6935,106400.0,0.0,1.0
2000-03-30,33.13,33.88,32.0,33.19,14.7201,60600.0,0.0,1.0
2000-03-31,33.19,34.13,33.0,33.94,15.0527,120600.0,0.0,1.0
2000-04-03,34.0,34.0,32.44,32.63,14.4717,65100.0,0.0,1.0
2000-04-04,32.63,32.63,31.13,31.31,13.8863,76200.0,0.0,1.0
2000-04-05,31.31,31.31,30.0,30.88,13.6956,152200.0,0.0,1.0
2000-04-06,31.0,31.03,30.13,30.63,13.5847,108700.0,0.0,1.0
2000-04-07,30.75,30.88,30.06,30.19,13.3896,26400.0,0.0,1.0
2000-04-10,30.38,30.5,30.0,30.0,13.3053,34800.0,0.0,1.0
2000-04-11,30.0,31.56,29.94,31.0,13.7488,37100.0,0.0,1.0
2000-04-12,30.88,30.94,30.0,30.0,13.3363,63100.0,0.07,1.0
2000-04-13,30.0,30.31,29.69,30.25,13.4475,99800.0,0.0,1.0
2000-04-14,30.13,30.19,29.63,30.0,13.3363,106500.0,0.0,1.0
2000-04-17,30.0,30.56,29.56,30.56,13.5853,64700.0,0.0,1.0
2000-04-18,30.44,32.0,30.19,31.31,13.9187,98200.0,0.0,1.0
2000-04-19,31.13,31.5,30.88,31.5,14.0032,45200.0,0.0,1.0
2000-04-20,31.75,31.94,31.63,31.88,14.1721,36200.0,0.0,1.0
2000-04-24,31.75,31.75,30.06,30.06,13.363,103200.0,0.0,1.0
2000-04-25,30.06,30.75,30.06,30.75,13.6698,117000.0,0.0,1.0
2000-04-26,30.63,31.25,30.19,30.5,13.5586,51200.0,0.0,1.0
2000-04-27,30.63,31.75,30.5,31.19,13.8654,37500.0,0.0,1.0
2000-04-28,31.44,31.5,31.13,31.5,14.0032,13100.0,0.0,1.0
2000-05-01,31.5,33.56,31.19,33.44,14.8656,111900.0,0.0,1.0
