date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,3.31,3.38,2.75,2.81,1.7902,108067.0,0.0,1.0
2000-01-04,2.75,2.875,2.625,2.75,1.752,73467.0,0.0,1.0
2000-01-05,2.625,2.75,2.625,2.625,1.6723,49400.0,0.0,1.0
2000-01-06,2.688,2.813,2.625,2.75,1.752,92000.0,0.0,1.0
2000-01-07,2.813,2.813,2.688,2.75,1.752,74267.0,0.0,1.0
2000-01-10,2.75,2.813,2.688,2.688,1.7125,45067.0,0.0,1.0
2000-01-11,2.688,2.688,2.625,2.625,1.6723,55067.0,0.0,1.0
2000-01-12,2.625,2.625,2.563,2.563,1.6328,119667.0,0.0,1.0
2000-01-13,2.563,2.75,2.563,2.75,1.752,135800.0,0.0,1.0
2000-01-14,2.75,2.938,2.688,2.938,1.8717,133067.0,0.0,1.0
2000-01-18,3.0,3.313,3.0,3.188,2.031,192000.0,0.0,1.0
2000-01-19,3.125,3.438,3.125,3.25,2.0705,176667.0,0.0,1.0
2000-01-20,3.313,3.313,3.063,3.125,1.9909,126000.0,0.0,1.0
2000-01-21,3.063,3.063,2.813,2.938,1.8717,163200.0,0.0,1.0
2000-01-24,2.938,3.0,2.813,2.813,1.7921,116667.0,0.0,1.0
2000-01-25,2.813,3.0,2.813,2.938,1.8717,70267.0,0.0,1.0
2000-01-26,2.938,2.938,2.75,2.875,1.8316,115267.0,0.0,1.0
2000-01-27,2.75,2.813,2.688,2.75,1.752,90600.0,0.0,1.0
2000-01-28,2.688,2.75,2.625,2.688,1.7125,57267.0,0.0,1.0
2000-01-31,2.688,2.75,2.625,2.688,1.7125,48267.0,0.0,1.0
2000-02-01,2.75,2.875,2.688,2.813,1.7921,74800.0,0.0,1.0
2000-02-02,2.813,2.875,2.75,2.75,1.752,96600.0,0.0,1.0
2000-02-03,2.75,2.813,2.688,2.75,1.752,136667.0,0.0,1.0
2000-02-04,2.813,2.813,2.688,2.688,1.7125,118067.0,0.0,1.0
2000-02-07,2.75,2.75,2.688,2.75,1.752,39800.0,0.0,1.0
2000-02-08,2.688,2.688,2.563,2.688,1.7125,99600.0,0.0,1.0
2000-02-09,2.625,2.625,2.563,2.625,1.6723,70000.0,0.0,1.0
2000-02-10,2.625,2.625,2.5,2.563,1.6328,155200.0,0.0,1.0
2000-02-11,2.563,2.688,2.5,2.563,1.6328,253867.0,0.0,1.0
2000-02-14,2.563,2.563,2.25,2.313,1.4736,360000.0,0.0,1.0
2000-02-15,2.313,2.438,2.25,2.313,1.4736,116400.0,0.0,1.0
2000-02-16,2.313,2.438,2.25,2.438,1.5532,335467.0,0.0,1.0
2000-02-17,2.438,2.438,2.25,2.313,1.4736,326867.0,0.0,1.0
2000-02-18,2.313,2.375,2.063,2.063,1.3143,489800.0,0.0,1.0
2000-02-22,2.125,2.25,2.063,2.125,1.3538,197400.0,0.0,1.0
