date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,26.62,26.75,25.75,26.12,15.8386,887000.0,0.0,1.0
2000-01-04,26.12,26.62,25.94,25.94,15.7295,877700.0,0.0,1.0
2000-01-05,25.62,26.31,25.5,26.25,15.9174,970500.0,0.0,1.0
2000-01-06,26.25,26.56,25.87,26.37,15.9902,1218100.0,0.0,1.0
2000-01-07,26.62,28.37,26.5,27.94,16.9422,1549500.0,0.0,1.0
2000-01-10,28.31,28.5,27.56,27.62,16.7482,794200.0,0.0,1.0
2000-01-11,27.56,27.87,27.19,27.56,16.7118,790700.0,0.0,1.0
2000-01-12,27.56,27.62,26.31,26.5,16.069,1326800.0,0.0,1.0
2000-01-13,26.56,26.69,26.0,26.19,15.8811,1042500.0,0.0,1.0
2000-01-14,25.94,26.06,25.19,25.37,15.3838,1100800.0,0.0,1.0
2000-01-18,23.0,23.0,18.81,19.0,11.5212,8621000.0,0.0,1.0
2000-01-19,19.0,19.75,18.87,19.69,11.9396,8641600.0,0.0,1.0
2000-01-20,19.94,20.19,18.44,18.75,11.3696,6643600.0,0.0,1.0
2000-01-21,19.0,19.62,18.62,19.62,11.8972,5781400.0,0.0,1.0
2000-01-24,19.94,20.12,18.19,18.31,11.1028,4579600.0,0.0,1.0
2000-01-25,19.5,20.25,18.75,20.0,12.1276,3517200.0,0.0,1.0
2000-01-26,20.5,21.94,20.31,21.5,13.0371,3084700.0,0.0,1.0
2000-01-27,22.0,23.37,21.94,23.06,13.9831,3148500.0,0.0,1.0
2000-01-28,23.12,24.56,22.75,24.06,14.5895,1733500.0,0.0,1.0
2000-01-31,24.12,24.12,22.19,22.81,13.8315,2113800.0,0.0,1.0
2000-02-01,22.75,22.75,21.44,21.94,13.304,1889700.0,0.0,1.0
2000-02-02,21.94,22.56,21.5,22.5,13.6435,862600.0,0.0,1.0
2000-02-03,22.37,22.44,21.44,22.19,13.4555,1382600.0,0.0,1.0
2000-02-04,22.19,22.19,21.62,22.0,13.3403,1460700.0,0.0,1.0
2000-02-07,22.75,22.75,21.25,21.62,13.1099,1188000.0,0.0,1.0
2000-02-08,21.75,22.31,21.25,21.56,13.0735,1830900.0,0.0,1.0
2000-02-09,21.5,22.0,21.12,21.25,12.8856,2175900.0,0.0,1.0
2000-02-10,21.31,21.5,20.94,20.94,12.6976,994400.0,0.0,1.0
2000-02-11,20.94,21.0,20.75,20.87,12.6551,589100.0,0.0,1.0
2000-02-14,20.94,21.0,20.31,20.37,12.3519,1008600.0,0.0,1.0
2000-02-15,20.5,20.75,20.25,20.25,12.2792,1528400.0,0.0,1.0
2000-02-16,20.37,20.5,20.0,20.0,12.1276,753800.0,0.0,1.0
2000-02-17,20.31,20.44,19.87,19.87,12.0487,825100.0,0.0,1.0
2000-02-18,19.87,20.12,19.44,19.69,11.9396,999700.0,0.0,1.0
2000-02-22,19.5,21.06,19.12,20.94,12.6976,1033700.0,0.0,1.0
