date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,26.63,26.69,26.5,26.69,11.8769,350700.0,0.0,1.0
2000-01-04,26.69,26.69,25.88,26.19,11.6544,153200.0,0.0,1.0
2000-01-05,26.38,26.75,26.25,26.38,11.7389,580200.0,0.0,1.0
2000-01-06,26.44,26.44,26.0,26.13,11.6277,700200.0,0.0,1.0
2000-01-07,26.25,26.38,26.0,26.31,11.7078,353000.0,0.0,1.0
2000-01-10,26.38,26.38,26.06,26.25,11.6811,254500.0,0.0,1.0
2000-01-11,26.13,26.31,25.63,25.63,11.4052,364800.0,0.0,1.0
2000-01-12,25.69,26.0,25.69,25.88,11.5164,184600.0,0.0,1.0
2000-01-13,25.75,26.25,25.63,26.19,11.6544,304400.0,0.0,1.0
2000-01-14,26.25,26.56,26.0,26.44,11.7656,271100.0,0.0,1.0
2000-01-18,26.44,26.69,26.25,26.38,11.7389,372900.0,0.0,1.0
2000-01-19,26.38,27.0,26.38,26.69,11.8769,374800.0,0.0,1.0
2000-01-20,26.63,27.13,26.63,27.06,12.0415,587600.0,0.0,1.0
2000-01-21,27.63,28.69,27.5,28.31,12.5978,1739100.0,0.0,1.0
2000-01-24,28.69,29.0,28.13,28.44,12.6556,1370900.0,0.0,1.0
2000-01-25,28.63,28.63,27.75,27.88,12.4064,279500.0,0.0,1.0
2000-01-26,27.81,28.38,27.81,27.88,12.4064,223900.0,0.0,1.0
2000-01-27,27.88,28.44,27.25,27.5,12.2373,657300.0,0.0,1.0
2000-01-28,27.5,27.81,27.38,27.44,12.2106,337700.0,0.0,1.0
2000-01-31,27.44,27.75,27.06,27.19,12.0994,600600.0,0.0,1.0
2000-02-01,27.38,27.63,27.25,27.56,12.264,443800.0,0.0,1.0
2000-02-02,27.56,27.69,27.44,27.44,12.2106,334600.0,0.0,1.0
2000-02-03,27.56,28.38,27.56,27.81,12.3753,749900.0,0.0,1.0
2000-02-04,27.75,27.81,27.44,27.5,12.2373,456800.0,0.0,1.0
2000-02-07,27.56,27.63,27.44,27.5,12.2373,758500.0,0.0,1.0
2000-02-08,27.56,27.94,27.38,27.81,12.3753,1799400.0,0.0,1.0
2000-02-09,27.94,27.94,27.63,27.69,12.3219,1374000.0,0.0,1.0
2000-02-10,27.31,27.31,26.88,27.06,12.0415,415000.0,0.0,1.0
2000-02-11,26.75,27.12,26.25,27.0,12.0148,1165700.0,0.0,1.0
2000-02-14,26.88,27.0,26.75,26.81,11.9303,154000.0,0.0,1.0
2000-02-15,26.81,26.94,26.62,26.62,11.8457,143600.0,0.0,1.0
2000-02-16,26.75,26.81,26.56,26.81,11.9303,141200.0,0.0,1.0
2000-02-17,26.62,26.88,26.62,26.75,11.9036,125300.0,0.0,1.0
2000-02-18,26.75,26.75,26.56,26.56,11.819,80700.0,0.0,1.0
2000-02-22,26.56,26.56,26.38,26.44,11.7656,45700.0,0.0,1.0
2000-02-23,26.5,26.81,25.81,25.94,11.5431,614900.0,0.0,1.0
2000-02-24,25.94,25.94,23.75,24.25,10.7911,640100.0,0.0,1.0
2000-02-25,23.75,24.0,23.69,23.88,10.6264,1250400.0,0.0,1.0
2000-02-28,23.75,24.63,23.38,24.63,10.9602,397700.0,0.0,1.0
2000-02-29,24.63,24.63,23.5,23.81,10.5953,467800.0,0.0,1.0
2000-03-01,23.69,23.75,22.75,23.56,10.484,517100.0,0.0,1.0
2000-03-02,23.5,23.88,23.31,23.69,10.5419,739300.0,0.0,1.0
2000-03-03,23.88,23.88,23.44,23.56,10.484,324500.0,0.0,1.0
2000-03-06,23.63,23.75,23.19,23.19,10.3194,362100.0,0.0,1.0
2000-03-07,23.0,23.38,22.56,22.81,10.1503,218300.0,0.0,1.0
2000-03-08,22.25,23.13,22.25,23.06,10.3895,1037800.0,0.2875,1.0
2000-03-09,22.88,23.13,22.75,22.94,10.3354,500300.0,0.0,1.0
2000-03-10,22.81,23.06,22.63,22.94,10.3354,298300.0,0.0,1.0
2000-03-13,22.69,22.88,22.5,22.63,10.1957,233900.0,0.0,1.0
2000-03-14,22.25,23.13,22.0,22.56,10.1642,508600.0,0.0,1.0
2000-03-15,22.56,23.75,22.56,23.5,10.5877,393500.0,0.0,1.0
2000-03-16,23.38,25.13,23.38,24.69,11.1239,345000.0,0.0,1.0
2000-03-17,24.0,24.31,23.88,23.88,10.7589,208100.0,0.0,1.0
2000-03-20,24.0,24.0,23.44,23.56,10.6147,220800.0,0.0,1.0
2000-03-21,23.56,23.88,23.25,23.38,10.5337,321900.0,0.0,1.0
2000-03-22,23.38,23.56,22.06,22.63,10.1957,236800.0,0.0,1.0
2000-03-23,22.75,23.13,22.75,23.13,10.421,239100.0,0.0,1.0
2000-03-24,23.0,23.0,22.63,22.88,10.3084,136400.0,0.0,1.0
