date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-01-02,58.5,58.5,56.38,56.75,19.7718,296500.0,0.0,1.0
2001-01-03,56.56,57.88,55.81,57.25,19.946,783700.0,0.0,1.0
2001-01-04,58.38,61.69,57.5,60.88,21.2107,717100.0,0.0,1.0
2001-01-05,60.75,60.88,59.69,59.88,20.8623,526700.0,0.0,1.0
2001-01-08,59.75,60.13,58.88,59.94,20.8832,692500.0,0.0,1.0
2001-01-09,59.38,60.0,57.88,58.25,20.2944,939700.0,0.0,1.0
2001-01-10,58.31,59.56,58.31,59.0,20.5558,471000.0,0.0,1.0
2001-01-11,58.88,60.0,58.88,59.81,20.838,456500.0,0.0,1.0
2001-01-12,59.81,60.0,59.06,60.0,20.9042,600400.0,0.0,1.0
2001-01-16,60.0,61.19,59.75,60.56,21.0993,1114200.0,0.0,1.0
2001-01-17,61.75,62.94,61.63,62.25,21.6881,784800.0,0.0,1.0
2001-01-18,62.13,62.5,61.63,61.94,21.5801,877300.0,0.0,1.0
2001-01-19,62.13,62.44,60.94,62.06,21.6219,553800.0,0.0,1.0
2001-01-22,61.88,62.63,59.25,60.31,21.0122,834700.0,0.0,1.0
2001-01-23,60.38,62.63,60.38,61.75,21.5139,512200.0,0.0,1.0
2001-01-24,61.5,62.38,60.75,61.5,21.4268,471200.0,0.0,1.0
2001-01-25,61.63,63.0,60.44,62.75,21.8623,831700.0,0.0,1.0
2001-01-26,62.0,62.13,59.75,61.75,21.5139,512100.0,0.0,1.0
2001-01-29,61.75,61.99,61.15,61.45,21.4093,615400.0,0.0,1.0
2001-01-30,61.21,61.5,59.78,61.14,21.3013,718200.0,0.0,1.0
2001-01-31,62.2,64.0,61.6,63.85,22.2455,710300.0,0.0,1.0
2001-02-01,63.61,63.85,62.78,63.16,22.0051,624900.0,0.0,1.0
2001-02-02,63.25,64.6,63.23,64.08,22.3256,539700.0,0.0,1.0
2001-02-05,63.65,64.74,63.12,64.38,22.4302,634500.0,0.0,1.0
2001-02-06,64.38,64.65,63.55,63.66,22.1793,880900.0,0.0,1.0
2001-02-07,63.25,63.33,61.3,61.66,21.4825,785900.0,0.0,1.0
2001-02-08,61.56,62.01,61.5,61.69,21.493,609400.0,0.0,1.0
2001-02-09,62.25,62.8,61.0,62.34,21.7194,437400.0,0.0,1.0
2001-02-12,62.75,63.09,62.37,62.86,21.9006,514000.0,0.0,1.0
2001-02-13,61.5,62.73,61.5,62.55,21.7926,1062300.0,0.0,1.0
2001-02-14,61.6,61.6,57.25,58.15,20.2596,2533100.0,0.0,1.0
2001-02-15,58.25,59.43,58.23,59.25,20.6429,1367800.0,0.0,1.0
2001-02-16,59.2,60.05,59.02,59.75,20.8171,585700.0,0.0,1.0
2001-02-20,59.75,60.44,58.8,59.15,20.608,709600.0,0.0,1.0
2001-02-21,59.3,61.87,59.12,61.11,21.2909,850400.0,0.0,1.0
2001-02-22,61.0,61.25,58.9,59.64,20.8641,806500.0,0.245,1.0
2001-02-23,59.5,59.75,57.76,58.76,20.5562,648500.0,0.0,1.0
2001-02-26,58.6,59.2,57.35,58.07,20.3148,569800.0,0.0,1.0
2001-02-27,59.0,60.35,58.2,59.85,20.9376,615100.0,0.0,1.0
2001-02-28,60.2,60.23,58.81,58.96,20.6262,403900.0,0.0,1.0
2001-03-01,58.98,59.98,58.92,59.36,20.7661,401800.0,0.0,1.0
2001-03-02,59.45,61.2,59.4,60.68,21.2279,440400.0,0.0,1.0
2001-03-05,60.9,60.9,58.56,59.25,20.7277,418800.0,0.0,1.0
2001-03-06,59.25,60.25,59.0,59.83,20.9306,298600.0,0.0,1.0
2001-03-07,59.75,59.75,58.0,58.1,20.3253,506700.0,0.0,1.0
2001-03-08,58.3,59.28,58.25,59.24,20.7242,591700.0,0.0,1.0
2001-03-09,59.24,59.6,58.6,59.42,20.7871,425200.0,0.0,1.0
2001-03-12,59.1,59.11,56.09,56.09,19.6222,645200.0,0.0,1.0
2001-03-13,56.15,57.48,55.44,57.1,19.9755,604400.0,0.0,1.0
2001-03-14,56.75,57.55,56.0,57.08,19.9685,814500.0,0.0,1.0
2001-03-15,56.8,59.0,56.13,58.68,20.5282,579400.0,0.0,1.0
2001-03-16,57.5,58.05,56.74,57.34,20.0595,1013200.0,0.0,1.0
2001-03-19,57.34,57.49,55.7,56.83,19.8811,401200.0,0.0,1.0
2001-03-20,56.7,57.75,55.85,56.6,19.8006,359700.0,0.0,1.0
2001-03-21,56.68,56.7,55.41,55.62,19.4578,542500.0,0.0,1.0
2001-03-22,55.62,56.0,54.09,55.83,19.5312,683900.0,0.0,1.0
2001-03-23,55.65,56.44,55.01,56.38,19.7236,411800.0,0.0,1.0
2001-03-26,56.55,57.94,56.35,57.91,20.2589,339600.0,0.0,1.0
2001-03-27,57.75,57.85,57.0,57.8,20.2204,491800.0,0.0,1.0
2001-03-28,57.85,57.9,56.94,56.95,19.923,593800.0,0.0,1.0
2001-03-29,56.9,58.64,56.8,58.64,20.5143,826500.0,0.0,1.0
2001-03-30,58.83,59.65,57.58,59.65,20.8676,519400.0,0.0,1.0
2001-04-02,59.05,59.75,58.5,58.97,20.6297,642200.0,0.0,1.0
2001-04-03,58.97,59.09,57.84,57.95,20.2729,580200.0,0.0,1.0
2001-04-04,58.15,59.9,57.95,58.85,20.5877,708500.0,0.0,1.0
2001-04-05,59.5,61.8,59.49,61.52,21.5218,800700.0,0.0,1.0
2001-04-06,59.85,60.09,58.8,59.04,20.6542,732000.0,0.0,1.0
2001-04-09,59.5,60.4,59.4,59.56,20.8361,417200.0,0.0,1.0
2001-04-10,59.8,61.29,59.75,60.98,21.3329,792700.0,0.0,1.0
2001-04-11,62.5,62.5,60.3,60.3,21.095,904700.0,0.0,1.0
