date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,68.0,68.06,63.5,64.69,41.6646,900600.0,0.0,1.0
2000-01-04,62.38,63.25,61.63,62.31,40.1317,787100.0,0.0,1.0
2000-01-05,62.44,62.75,61.25,61.69,39.7324,914500.0,0.0,1.0
2000-01-06,61.25,62.81,61.0,62.44,40.2155,1279900.0,0.0,1.0
2000-01-07,62.13,62.38,61.44,62.31,40.1317,719000.0,0.0,1.0
2000-01-10,62.5,62.5,59.38,59.5,38.3219,631000.0,0.0,1.0
2000-01-11,59.5,59.5,58.06,59.13,38.0836,1103500.0,0.0,1.0
2000-01-12,59.25,61.31,59.25,60.13,38.7277,988600.0,0.0,1.0
2000-01-13,60.94,62.13,60.75,61.5,39.6101,647000.0,0.0,1.0
2000-01-14,63.0,63.75,62.56,63.0,40.5762,592300.0,0.0,1.0
2000-01-18,62.5,62.75,61.38,61.75,39.7711,755800.0,0.0,1.0
2000-01-19,61.69,63.38,60.13,60.19,38.7663,981600.0,0.0,1.0
2000-01-20,60.44,60.44,58.38,58.56,37.7165,569700.0,0.0,1.0
2000-01-21,59.56,59.56,58.06,58.44,37.6392,673400.0,0.0,1.0
2000-01-24,58.44,58.63,55.5,55.88,35.9904,656600.0,0.0,1.0
2000-01-25,57.0,57.25,56.38,56.81,36.5894,786800.0,0.0,1.0
2000-01-26,56.81,59.06,56.13,58.25,37.5168,827400.0,0.0,1.0
2000-01-27,58.88,60.0,58.38,58.88,37.9226,641600.0,0.0,1.0
2000-01-28,59.0,59.0,57.0,57.19,36.8341,847200.0,0.0,1.0
2000-01-31,57.88,59.81,57.38,59.56,38.3606,1001500.0,0.0,1.0
2000-02-01,59.5,59.63,58.31,59.06,38.0385,473500.0,0.0,1.0
2000-02-02,58.94,58.94,57.38,57.75,37.1948,410200.0,0.0,1.0
2000-02-03,57.69,58.0,55.63,56.38,36.3124,1068200.0,0.0,1.0
2000-02-04,55.0,56.56,55.0,55.0,35.4236,687200.0,0.0,1.0
2000-02-07,55.0,55.13,53.38,54.25,34.9406,614500.0,0.0,1.0
2000-02-08,54.25,56.44,54.25,56.13,36.1514,613300.0,0.0,1.0
2000-02-09,56.0,56.0,54.0,54.0,34.7796,439300.0,0.0,1.0
2000-02-10,54.19,55.56,53.0,53.25,34.2965,1247600.0,0.0,1.0
2000-02-11,54.0,54.75,53.0,53.38,34.3802,481800.0,0.0,1.0
2000-02-14,53.75,54.13,52.31,52.63,33.8972,644500.0,0.0,1.0
2000-02-15,52.75,54.13,52.31,53.88,34.7023,479300.0,0.0,1.0
2000-02-16,54.0,54.81,52.88,53.06,34.1741,582000.0,0.0,1.0
2000-02-17,53.38,53.63,52.13,52.56,33.8521,673600.0,0.0,1.0
2000-02-18,52.56,52.63,51.0,51.44,33.1308,838000.0,0.0,1.0
2000-02-22,51.25,52.25,51.0,51.94,33.4528,638600.0,0.0,1.0
2000-02-23,51.38,51.5,50.5,50.63,32.6091,550600.0,0.0,1.0
2000-02-24,50.81,50.81,48.69,49.63,31.965,698400.0,0.0,1.0
2000-02-25,49.94,51.25,49.63,49.81,32.0809,504000.0,0.0,1.0
2000-02-28,49.94,51.88,49.94,51.13,33.1694,572500.0,0.37,1.0
2000-02-29,50.88,51.0,49.81,50.81,32.9618,906000.0,0.0,1.0
2000-03-01,50.0,50.88,49.38,50.75,32.9229,608700.0,0.0,1.0
2000-03-02,50.69,50.69,49.5,50.06,32.4753,516400.0,0.0,1.0
2000-03-03,51.06,51.88,50.63,50.75,32.9229,690500.0,0.0,1.0
2000-03-06,50.25,51.0,49.94,50.5,32.7607,466800.0,0.0,1.0
2000-03-07,50.38,50.38,48.38,48.44,31.4243,573400.0,0.0,1.0
2000-03-08,47.94,48.06,47.31,47.63,30.8989,663800.0,0.0,1.0
2000-03-09,47.75,48.44,47.19,48.13,31.2232,952700.0,0.0,1.0
2000-03-10,48.0,48.31,47.31,47.38,30.7367,557100.0,0.0,1.0
2000-03-13,46.88,48.94,46.81,48.31,31.34,677400.0,0.0,1.0
2000-03-14,48.13,49.0,47.56,47.56,30.8534,431400.0,0.0,1.0
2000-03-15,47.63,51.81,47.38,51.81,33.6105,1166500.0,0.0,1.0
2000-03-16,53.5,58.13,53.19,56.94,36.9385,1450500.0,0.0,1.0
2000-03-17,56.94,58.63,55.75,56.31,36.5298,1096000.0,0.0,1.0
2000-03-20,56.88,56.88,54.5,55.44,35.9654,966500.0,0.0,1.0
2000-03-21,55.5,58.81,55.5,57.81,37.5029,727800.0,0.0,1.0
2000-03-22,57.69,58.88,56.5,58.63,38.0348,462300.0,0.0,1.0
2000-03-23,58.25,60.94,57.94,60.69,39.3712,679500.0,0.0,1.0
2000-03-24,60.44,61.69,59.38,60.06,38.9625,477800.0,0.0,1.0
2000-03-27,60.19,60.25,58.0,58.69,38.0738,1825700.0,0.0,1.0
2000-03-28,58.63,61.5,58.19,60.44,39.209,1848300.0,0.0,1.0
2000-03-29,60.38,60.44,58.88,59.0,38.2749,558800.0,0.0,1.0
2000-03-30,59.25,59.25,57.13,57.38,37.2239,535800.0,0.0,1.0
2000-03-31,57.44,58.81,56.06,57.75,37.464,1091100.0,0.0,1.0
2000-04-03,59.0,60.13,58.88,60.0,38.9236,744500.0,0.0,1.0
2000-04-04,59.5,61.25,57.44,58.94,38.236,850200.0,0.0,1.0
2000-04-05,58.69,59.94,58.63,58.75,38.1127,598000.0,0.0,1.0
2000-04-06,58.63,59.25,57.31,58.56,37.9894,327100.0,0.0,1.0
2000-04-07,57.56,58.19,56.75,56.94,36.9385,423300.0,0.0,1.0
2000-04-10,56.69,58.31,55.69,57.38,37.2239,611500.0,0.0,1.0
