date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,73.0,73.0,68.44,69.75,27.2193,647700.0,0.0,1.0
2000-01-04,69.5,69.5,65.13,65.88,25.7091,658000.0,0.0,1.0
2000-01-05,65.88,68.13,65.25,67.5,26.3413,519700.0,0.0,1.0
2000-01-06,67.0,70.38,66.81,69.88,27.2701,678100.0,0.0,1.0
2000-01-07,70.63,72.69,70.13,72.38,28.2457,581200.0,0.0,1.0
2000-01-10,71.75,72.81,71.63,71.94,28.074,518300.0,0.0,1.0
2000-01-11,72.0,74.19,71.81,73.38,28.6359,690500.0,0.0,1.0
2000-01-12,72.38,75.0,72.38,74.56,29.0964,643900.0,0.0,1.0
2000-01-13,75.75,76.81,75.19,76.38,29.8066,708000.0,0.0,1.0
2000-01-14,77.25,79.38,76.38,79.06,30.8525,610900.0,0.0,1.0
2000-01-18,78.88,78.88,75.0,76.5,29.8535,987500.0,0.0,1.0
2000-01-19,76.5,77.5,75.88,76.38,29.8066,541000.0,0.0,1.0
2000-01-20,76.38,76.38,74.5,75.94,29.6349,533600.0,0.0,1.0
2000-01-21,76.44,77.25,75.19,76.94,30.0252,659100.0,0.0,1.0
2000-01-24,77.0,77.38,74.75,75.19,29.3423,476400.0,0.0,1.0
2000-01-25,75.19,78.0,75.06,77.94,30.4154,583600.0,0.0,1.0
2000-01-26,77.5,80.81,77.06,80.81,31.5354,404400.0,0.0,1.0
2000-01-27,81.44,82.75,80.75,82.75,32.2925,631500.0,0.0,1.0
2000-01-28,80.88,81.13,78.38,78.75,30.7315,638000.0,0.0,1.0
2000-01-31,77.88,80.5,77.5,80.19,31.2935,742800.0,0.0,1.0
2000-02-01,80.0,82.44,79.06,82.13,32.0505,527500.0,0.0,1.0
2000-02-02,81.88,82.5,80.31,82.25,32.0974,604000.0,0.0,1.0
2000-02-03,82.25,83.69,80.56,83.69,32.6593,509400.0,0.0,1.0
2000-02-04,80.81,84.44,80.06,80.81,31.5354,570000.0,0.0,1.0
2000-02-07,81.06,81.25,79.69,80.06,31.2427,238700.0,0.0,1.0
2000-02-08,81.0,84.19,80.63,84.19,32.8544,613500.0,0.0,1.0
2000-02-09,82.75,82.75,80.38,80.5,31.4144,322200.0,0.0,1.0
