date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,51.0,51.0,48.25,49.81,6.0203,108600.0,0.0,1.0
2000-01-04,51.5,52.0,47.31,47.94,5.7943,155000.0,0.0,1.0
2000-01-05,48.19,49.63,47.25,49.56,5.9901,275600.0,0.0,1.0
2000-01-06,49.81,51.94,49.56,51.5,6.2246,159200.0,0.0,1.0
2000-01-07,51.75,53.56,51.75,53.0,6.4059,84700.0,0.0,1.0
2000-01-10,52.75,53.63,48.88,51.0,6.1641,322400.0,0.0,1.0
2000-01-11,51.0,51.0,49.25,50.44,6.0965,137300.0,0.0,1.0
2000-01-12,50.19,51.13,50.06,50.88,6.1496,73500.0,0.0,1.0
2000-01-13,51.0,51.5,50.94,51.44,6.2173,74900.0,0.0,1.0
2000-01-14,51.5,52.25,51.5,51.88,6.2705,45100.0,0.0,1.0
2000-01-18,51.94,52.44,51.56,52.25,6.3152,63600.0,0.0,1.0
2000-01-19,52.31,53.56,52.31,53.44,6.4591,85100.0,0.0,1.0
2000-01-20,53.25,54.13,52.75,53.69,6.4893,58400.0,0.0,1.0
2000-01-21,53.5,53.56,51.63,52.13,6.3007,26900.0,0.0,1.0
2000-01-24,52.38,52.88,50.56,50.69,6.1267,75600.0,0.0,1.0
2000-01-25,50.75,51.0,50.5,51.0,6.1641,87200.0,0.0,1.0
2000-01-26,51.25,52.94,51.25,52.0,6.285,54000.0,0.0,1.0
2000-01-27,52.06,52.06,50.63,51.5,6.2246,41200.0,0.0,1.0
2000-01-28,51.25,51.44,50.56,50.94,6.1569,41700.0,0.0,1.0
2000-01-31,50.94,52.25,50.38,51.88,6.2705,55400.0,0.0,1.0
2000-02-01,51.94,53.0,51.63,52.75,6.3757,101500.0,0.0,1.0
2000-02-02,52.75,53.5,52.75,52.94,6.3986,59000.0,0.0,1.0
2000-02-03,52.75,53.38,52.75,52.88,6.3914,42300.0,0.0,1.0
2000-02-04,52.94,52.94,50.75,51.0,6.1641,58800.0,0.0,1.0
2000-02-07,51.13,53.25,51.13,52.63,6.3612,48300.0,0.0,1.0
2000-02-08,52.63,52.94,51.5,51.5,6.2246,27400.0,0.0,1.0
2000-02-09,51.56,53.0,51.38,52.63,6.3612,54600.0,0.0,1.0
2000-02-10,52.69,54.69,52.5,53.5,6.4663,110100.0,0.0,1.0
2000-02-11,53.25,53.75,52.5,52.56,6.3527,95500.0,0.0,1.0
2000-02-14,52.63,54.0,52.56,53.44,6.4591,54100.0,0.0,1.0
2000-02-15,53.44,54.63,53.0,53.19,6.4288,96300.0,0.0,1.0
2000-02-16,52.94,53.13,51.13,52.06,6.2923,107800.0,0.0,1.0
2000-02-17,52.25,52.63,51.69,51.69,6.2475,107000.0,0.0,1.0
2000-02-18,51.63,51.69,49.81,50.06,6.0505,49400.0,0.0,1.0
2000-02-22,50.0,52.38,49.13,52.19,6.308,98400.0,0.0,1.0
2000-02-23,51.94,52.0,49.75,49.75,6.0131,86000.0,0.0,1.0
2000-02-24,49.63,50.25,48.31,49.63,5.9986,48800.0,0.0,1.0
2000-02-25,49.63,49.81,48.63,48.69,5.8849,48100.0,0.0,1.0
2000-02-28,48.94,49.13,47.75,49.13,5.9381,63600.0,0.0,1.0
2000-02-29,51.38,51.63,48.44,49.0,5.9224,104300.0,0.0,1.0
2000-03-01,48.75,49.88,48.63,49.69,6.0058,39200.0,0.0,1.0
2000-03-02,49.75,49.75,48.19,48.25,5.8318,36700.0,0.0,1.0
2000-03-03,48.06,50.06,47.88,49.81,6.0203,49900.0,0.0,1.0
2000-03-06,50.06,50.13,49.81,49.81,6.0203,37600.0,0.0,1.0
2000-03-07,49.56,49.56,46.75,46.75,5.6505,62500.0,0.0,1.0
2000-03-08,46.75,46.75,44.75,44.75,5.4087,94900.0,0.0,1.0
2000-03-09,45.0,45.0,42.63,44.56,5.3858,96400.0,0.0,1.0
2000-03-10,44.38,44.38,42.44,42.94,5.19,73200.0,0.0,1.0
2000-03-13,42.94,44.81,42.31,44.19,5.341,111900.0,0.0,1.0
2000-03-14,44.06,44.5,42.56,42.56,5.144,26400.0,0.0,1.0
2000-03-15,42.81,45.75,40.38,45.56,5.5066,223100.0,0.0,1.0
2000-03-16,45.38,50.0,45.31,49.69,6.0058,163900.0,0.0,1.0
2000-03-17,49.38,49.5,46.56,46.69,5.6432,81800.0,0.0,1.0
2000-03-20,46.94,47.0,45.5,45.69,5.5223,24300.0,0.0,1.0
2000-03-21,45.75,47.63,45.75,47.13,5.6964,93900.0,0.0,1.0
2000-03-22,47.13,47.75,47.06,47.75,5.7713,25800.0,0.0,1.0
2000-03-23,47.56,49.44,47.13,49.31,5.9599,72700.0,0.0,1.0
2000-03-24,49.56,49.56,48.13,48.38,5.8475,111800.0,0.0,1.0
2000-03-27,49.0,49.19,46.63,48.25,5.8318,165100.0,0.0,1.0
2000-03-28,48.13,49.13,48.0,48.75,5.8922,57500.0,0.0,1.0
2000-03-29,48.5,48.56,46.94,47.94,5.7943,38000.0,0.0,1.0
2000-03-30,47.69,49.44,47.69,48.75,5.8922,97800.0,0.0,1.0
2000-03-31,49.0,51.0,49.0,51.0,6.1641,55800.0,0.0,1.0
2000-04-03,50.81,52.25,50.75,51.5,6.2246,113200.0,0.0,1.0
2000-04-04,51.5,52.0,50.0,50.81,6.1412,109900.0,0.0,1.0
2000-04-05,50.81,52.0,50.56,52.0,6.285,69600.0,0.0,1.0
