date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,29.88,30.13,28.63,28.75,17.9495,297300.0,0.0,1.0
2000-01-04,28.5,28.94,27.94,28.13,17.5624,127000.0,0.0,1.0
2000-01-05,28.13,28.25,27.63,27.69,17.2877,121300.0,0.0,1.0
2000-01-06,27.56,28.5,27.38,27.63,17.2503,225100.0,0.0,1.0
2000-01-07,27.63,28.13,27.38,28.13,17.5624,222500.0,0.0,1.0
2000-01-10,28.06,28.13,27.0,27.88,17.4063,160800.0,0.0,1.0
2000-01-11,27.75,28.13,27.38,27.56,17.2066,142000.0,0.0,1.0
2000-01-12,27.44,29.31,27.31,28.69,17.9121,407000.0,0.0,1.0
2000-01-13,28.69,29.0,28.69,28.75,17.9495,135700.0,0.0,1.0
2000-01-14,28.38,28.38,27.38,27.88,17.4063,258700.0,0.0,1.0
2000-01-18,27.25,27.44,26.81,26.94,16.8195,142700.0,0.0,1.0
2000-01-19,26.69,28.06,26.56,27.69,17.2877,353800.0,0.0,1.0
2000-01-20,27.63,29.13,26.94,27.0,16.8569,335600.0,0.0,1.0
2000-01-21,27.13,27.13,25.69,26.06,16.2701,180300.0,0.0,1.0
2000-01-24,26.06,26.06,25.38,25.5,15.9204,122300.0,0.0,1.0
2000-01-25,25.5,25.5,24.56,25.13,15.6894,174000.0,0.0,1.0
2000-01-26,25.06,25.13,24.0,24.5,15.2961,218000.0,0.0,1.0
2000-01-27,25.5,26.13,25.19,25.25,15.7644,308700.0,0.0,1.0
2000-01-28,25.06,25.38,24.75,24.75,15.4522,147800.0,0.0,1.0
2000-01-31,24.75,25.25,24.25,25.13,15.6894,187700.0,0.0,1.0
2000-02-01,25.25,25.56,25.06,25.13,15.6894,272300.0,0.0,1.0
2000-02-02,25.25,26.13,25.25,25.94,16.1951,395100.0,0.0,1.0
2000-02-03,25.88,26.31,25.0,26.13,16.3138,192500.0,0.0,1.0
2000-02-04,25.63,26.25,25.44,25.63,16.0016,524300.0,0.0,1.0
2000-02-07,25.63,25.63,24.69,24.94,15.5708,199700.0,0.0,1.0
2000-02-08,25.13,25.56,24.81,24.94,15.5708,174200.0,0.0,1.0
2000-02-09,24.81,24.94,24.25,24.31,15.1775,232500.0,0.0,1.0
2000-02-10,24.31,24.44,23.5,23.81,14.8653,251400.0,0.0,1.0
2000-02-11,23.75,23.75,23.19,23.19,14.4782,149200.0,0.0,1.0
2000-02-14,23.25,24.06,23.25,23.63,14.7529,204000.0,0.0,1.0
2000-02-15,23.75,25.0,23.75,24.81,15.4897,237700.0,0.0,1.0
2000-02-16,24.38,25.0,24.31,24.56,15.3336,480300.0,0.0,1.0
2000-02-17,24.44,25.06,24.44,24.63,15.3773,152900.0,0.0,1.0
2000-02-18,24.5,25.25,23.56,23.56,14.7092,355000.0,0.0,1.0
2000-02-22,23.56,25.13,23.56,24.31,15.1775,226900.0,0.0,1.0
2000-02-23,24.19,24.19,23.5,23.5,14.6718,210500.0,0.0,1.0
2000-02-24,23.75,23.75,22.25,22.75,14.2035,283600.0,0.0,1.0
2000-02-25,22.75,23.5,22.5,22.69,14.1661,185700.0,0.0,1.0
2000-02-28,22.69,23.38,22.38,22.88,14.2847,171900.0,0.0,1.0
2000-02-29,22.63,23.31,22.5,23.0,14.3596,182500.0,0.0,1.0
2000-03-01,22.88,23.44,22.88,23.06,14.3971,195800.0,0.0,1.0
2000-03-02,22.81,23.75,22.81,23.31,14.6905,235700.0,0.22,1.0
2000-03-03,23.13,24.69,22.81,24.25,15.2829,226700.0,0.0,1.0
2000-03-06,23.75,23.94,23.19,23.69,14.93,194600.0,0.0,1.0
2000-03-07,23.44,23.5,22.56,23.0,14.4951,164700.0,0.0,1.0
2000-03-08,22.94,23.75,22.63,23.5,14.8102,152700.0,0.0,1.0
2000-03-09,23.25,23.94,23.13,23.88,15.0497,129700.0,0.0,1.0
2000-03-10,24.06,24.94,23.88,24.25,15.2829,258300.0,0.0,1.0
2000-03-13,24.31,24.31,23.56,23.94,15.0875,208000.0,0.0,1.0
2000-03-14,23.88,25.0,23.75,24.0,15.1254,252100.0,0.0,1.0
2000-03-15,24.0,25.69,23.38,25.19,15.8753,173900.0,0.0,1.0
2000-03-16,25.19,27.0,25.19,26.56,16.7387,422800.0,0.0,1.0
2000-03-17,26.44,26.44,25.81,26.0,16.3858,415800.0,0.0,1.0
2000-03-20,25.75,25.88,25.0,25.44,16.0329,225700.0,0.0,1.0
2000-03-21,25.19,25.31,24.75,24.81,15.6358,314800.0,0.0,1.0
2000-03-22,24.94,25.0,24.38,24.81,15.6358,390900.0,0.0,1.0
2000-03-23,24.56,25.5,24.38,25.19,15.8753,1590300.0,0.0,1.0
2000-03-24,25.44,26.38,25.25,25.38,15.9951,251100.0,0.0,1.0
2000-03-27,25.44,25.44,24.5,24.63,15.5224,170800.0,0.0,1.0
2000-03-28,24.81,25.38,24.31,24.81,15.6358,144700.0,0.0,1.0
2000-03-29,24.81,26.19,24.81,25.63,16.1526,418200.0,0.0,1.0
2000-03-30,25.81,27.25,25.75,26.5,16.7009,357200.0,0.0,1.0
2000-03-31,26.5,27.0,26.0,26.38,16.6253,438100.0,0.0,1.0
2000-04-03,26.63,26.81,25.56,26.56,16.7387,206900.0,0.0,1.0
2000-04-04,26.56,27.44,25.56,26.31,16.5812,574200.0,0.0,1.0
2000-04-05,26.56,27.0,26.19,26.56,16.7387,150900.0,0.0,1.0
2000-04-06,26.75,27.56,26.75,27.13,17.098,142400.0,0.0,1.0
2000-04-07,27.0,27.25,26.13,26.69,16.8207,169900.0,0.0,1.0
2000-04-10,26.5,26.69,25.88,26.13,16.4677,166600.0,0.0,1.0
2000-04-11,26.13,27.38,26.0,26.94,16.9782,220900.0,0.0,1.0
2000-04-12,27.5,28.81,27.31,28.31,17.8416,457000.0,0.0,1.0
2000-04-13,28.31,28.75,27.88,28.13,17.7282,199300.0,0.0,1.0
2000-04-14,27.63,28.0,27.25,27.31,17.2114,337700.0,0.0,1.0
2000-04-17,27.5,28.75,27.5,28.44,17.9236,267700.0,0.0,1.0
2000-04-18,28.19,28.56,27.75,28.25,17.8038,200200.0,0.0,1.0
2000-04-19,28.25,28.88,27.5,27.94,17.6084,179200.0,0.0,1.0
2000-04-20,27.69,29.06,27.69,29.0,18.2765,260600.0,0.0,1.0
