date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,59.75,59.81,55.62,56.88,5.1653,1456700.0,0.0,1.0
2000-01-04,56.69,58.75,54.06,54.25,4.9265,1068000.0,0.0,1.0
2000-01-05,53.5,54.25,48.25,50.88,4.6205,1621700.0,0.0,1.0
2000-01-06,50.25,51.0,47.13,48.06,4.3644,1455300.0,0.0,1.0
2000-01-07,48.0,52.88,47.88,51.88,4.7113,2022200.0,0.0,1.0
2000-01-10,53.5,57.0,53.0,56.75,5.1535,969600.0,0.0,1.0
2000-01-11,56.75,56.75,51.13,52.13,4.734,790600.0,0.0,1.0
2000-01-12,52.75,53.38,51.13,53.38,4.8475,808800.0,0.0,1.0
2000-01-13,53.72,55.88,53.0,54.69,4.9665,500100.0,0.0,1.0
2000-01-14,55.13,56.75,52.88,52.88,4.8021,554300.0,0.0,1.0
2000-01-18,53.97,56.75,53.69,54.75,4.9719,629300.0,0.0,1.0
2000-01-19,55.5,57.63,55.0,56.5,5.1308,844200.0,0.0,1.0
2000-01-20,59.13,61.25,58.25,60.44,5.4886,2437900.0,0.0,1.0
2000-01-21,60.5,60.88,57.38,58.28,5.2925,1056600.0,0.0,1.0
2000-01-24,58.0,61.69,58.0,58.44,5.307,1250200.0,0.0,1.0
2000-01-25,59.0,59.13,56.0,58.0,5.2671,720300.0,0.0,1.0
2000-01-26,58.0,60.75,57.38,57.81,5.2498,992900.0,0.0,1.0
2000-01-27,59.0,59.0,51.0,53.13,4.8248,1050100.0,0.0,1.0
2000-01-28,52.63,53.94,49.63,50.06,4.546,1357500.0,0.0,1.0
2000-01-31,50.25,51.25,46.5,50.06,4.546,1322400.0,0.0,1.0
2000-02-01,50.88,51.0,48.25,50.81,4.6141,653300.0,0.0,1.0
2000-02-02,52.0,55.0,51.0,53.63,4.8702,966400.0,0.0,1.0
2000-02-03,56.38,58.91,54.75,57.81,5.2498,1097200.0,0.0,1.0
2000-02-04,57.88,59.0,57.0,58.63,5.3243,893900.0,0.0,1.0
2000-02-07,59.75,65.0,58.5,63.44,5.7611,2504700.0,0.0,1.0
2000-02-08,64.5,65.25,60.75,61.06,5.5449,1722300.0,0.0,1.0
2000-02-09,62.25,63.75,61.0,62.88,5.7102,721100.0,0.0,1.0
