date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,20.38,20.5,20.06,20.31,4.1427,1810500.0,0.0,1.0
2000-01-04,20.06,20.25,18.63,19.25,3.9265,2277100.0,0.0,1.0
2000-01-05,19.25,19.44,18.69,18.69,3.8123,3002800.0,0.0,1.0
2000-01-06,20.0,20.75,19.69,19.81,4.0408,3374000.0,0.0,1.0
2000-01-07,19.88,20.81,19.5,20.31,4.1427,2177500.0,0.0,1.0
2000-01-10,20.19,20.31,19.94,20.0,4.0795,1904100.0,0.0,1.0
2000-01-11,20.0,20.19,19.63,19.69,4.0163,2447300.0,0.0,1.0
2000-01-12,19.69,19.75,19.5,19.5,3.9775,2047200.0,0.0,1.0
2000-01-13,19.5,19.69,19.06,19.5,3.9775,2342200.0,0.0,1.0
2000-01-14,19.44,19.94,19.38,19.69,4.0163,1158100.0,0.0,1.0
2000-01-18,19.44,19.56,18.94,19.06,3.8878,986000.0,0.0,1.0
2000-01-19,19.31,19.38,18.38,18.44,3.7613,1810700.0,0.0,1.0
2000-01-20,18.88,19.0,18.19,18.5,3.7735,1154900.0,0.0,1.0
2000-01-21,18.25,18.31,16.88,17.25,3.5186,5423700.0,0.0,1.0
2000-01-24,16.75,17.19,16.5,16.63,3.3921,3547800.0,0.0,1.0
2000-01-25,16.63,17.19,16.56,17.0,3.4676,1645900.0,0.0,1.0
2000-01-26,16.81,17.5,16.81,17.38,3.5451,2058200.0,0.0,1.0
2000-01-27,17.31,17.81,16.88,17.13,3.4941,1528600.0,0.0,1.0
2000-01-28,16.88,16.94,16.25,16.31,3.3268,1741500.0,0.0,1.0
2000-01-31,16.38,16.5,16.06,16.31,3.3268,1412100.0,0.0,1.0
2000-02-01,16.06,16.69,16.06,16.63,3.3921,1311900.0,0.0,1.0
2000-02-02,16.69,17.75,16.06,17.5,3.5696,1490200.0,0.0,1.0
2000-02-03,17.25,18.56,17.0,18.19,3.7103,2790200.0,0.0,1.0
2000-02-04,18.31,18.63,17.25,18.31,3.7348,2686100.0,0.0,1.0
2000-02-07,17.88,17.94,16.94,17.19,3.5063,2246700.0,0.0,1.0
2000-02-08,17.38,17.75,17.38,17.56,3.5889,1647400.0,0.035,1.0
2000-02-09,17.5,17.5,17.0,17.06,3.4868,1133100.0,0.0,1.0
2000-02-10,17.0,17.5,16.38,17.25,3.5256,1156200.0,0.0,1.0
2000-02-11,17.38,17.38,16.38,16.75,3.4234,1179400.0,0.0,1.0
2000-02-14,16.81,16.88,16.31,16.69,3.4111,818200.0,0.0,1.0
2000-02-15,16.69,16.69,16.13,16.31,3.3335,1165400.0,0.0,1.0
2000-02-16,16.38,16.38,15.5,15.56,3.1802,1671500.0,0.0,1.0
2000-02-17,15.56,16.19,15.0,15.19,3.1046,1932000.0,0.0,1.0
2000-02-18,15.38,15.63,15.0,15.13,3.0923,1632700.0,0.0,1.0
2000-02-22,15.38,15.38,14.75,14.88,3.0412,1044700.0,0.0,1.0
2000-02-23,15.0,15.19,14.69,14.69,3.0024,768300.0,0.0,1.0
2000-02-24,14.5,14.63,13.94,14.25,2.9124,1355700.0,0.0,1.0
2000-02-25,14.25,14.75,13.94,14.13,2.8879,1647600.0,0.0,1.0
2000-02-28,14.13,15.0,14.13,15.0,3.0657,3012000.0,0.0,1.0
2000-02-29,15.13,16.25,15.13,15.94,3.2578,3318300.0,0.0,1.0
2000-03-01,16.19,16.63,15.63,16.5,3.3723,3396800.0,0.0,1.0
2000-03-02,16.56,17.31,16.5,16.75,3.4234,1977400.0,0.0,1.0
2000-03-03,16.25,17.25,15.56,16.94,3.4622,1489500.0,0.0,1.0
2000-03-06,16.75,16.75,16.13,16.38,3.3478,945500.0,0.0,1.0
2000-03-07,16.25,16.31,15.5,15.63,3.1945,1031500.0,0.0,1.0
2000-03-08,15.0,15.75,14.81,15.75,3.219,2187100.0,0.0,1.0
2000-03-09,15.5,15.69,15.25,15.63,3.1945,3175900.0,0.0,1.0
2000-03-10,15.31,15.5,15.19,15.25,3.1168,2094100.0,0.0,1.0
2000-03-13,15.13,15.13,14.5,15.0,3.0657,2357500.0,0.0,1.0
2000-03-14,14.94,15.38,14.75,15.13,3.0923,1974300.0,0.0,1.0
2000-03-15,14.88,17.19,14.75,17.0,3.4745,3463600.0,0.0,1.0
2000-03-16,17.75,21.0,17.56,20.0,4.0876,6316100.0,0.0,1.0
2000-03-17,20.13,20.19,19.0,19.0,3.8833,3933700.0,0.0,1.0
2000-03-20,19.25,19.75,19.0,19.69,4.0243,1723100.0,0.0,1.0
2000-03-21,19.94,20.25,19.69,20.0,4.0876,3646300.0,0.0,1.0
2000-03-22,19.94,20.0,19.5,19.94,4.0754,2610800.0,0.0,1.0
2000-03-23,19.94,20.0,19.56,19.94,4.0754,1624400.0,0.0,1.0
2000-03-24,20.0,20.94,19.88,20.88,4.2675,2427200.0,0.0,1.0
2000-03-27,20.69,21.06,20.5,20.69,4.2287,2368000.0,0.0,1.0
2000-03-28,20.94,22.44,20.81,21.06,4.3043,2554300.0,0.0,1.0
2000-03-29,21.25,21.38,20.63,21.13,4.3186,2727600.0,0.0,1.0
2000-03-30,21.06,24.0,21.06,22.94,4.6885,4528600.0,0.0,1.0
2000-03-31,23.13,24.56,22.13,22.19,4.5352,5568700.0,0.0,1.0
2000-04-03,22.5,24.0,22.5,23.81,4.8663,2272500.0,0.0,1.0
2000-04-04,23.81,24.44,22.25,23.31,4.7641,2736900.0,0.0,1.0
2000-04-05,23.56,23.88,23.06,23.69,4.8418,1167400.0,0.0,1.0
2000-04-06,23.63,23.69,22.5,23.0,4.7008,3703500.0,0.0,1.0
2000-04-07,23.0,23.56,22.56,22.88,4.6763,2259600.0,0.0,1.0
2000-04-10,22.56,22.63,22.0,22.19,4.5352,2806500.0,0.0,1.0
2000-04-11,22.0,22.13,21.31,21.75,4.4453,2545100.0,0.0,1.0
2000-04-12,21.75,22.31,21.56,21.56,4.4065,2277900.0,0.0,1.0
2000-04-13,21.81,22.13,21.06,21.06,4.3043,3318200.0,0.0,1.0
2000-04-14,21.0,21.06,19.38,19.75,4.0365,2716800.0,0.0,1.0
2000-04-17,20.0,20.19,19.81,20.0,4.0876,2043700.0,0.0,1.0
2000-04-18,20.0,20.38,19.88,20.13,4.1142,1145300.0,0.0,1.0
2000-04-19,20.38,20.69,20.19,20.44,4.1776,919100.0,0.0,1.0
2000-04-20,20.63,20.69,20.31,20.5,4.1898,1380500.0,0.0,1.0
2000-04-24,20.25,20.69,20.19,20.44,4.1776,1460900.0,0.0,1.0
2000-04-25,20.19,20.31,19.75,19.81,4.0488,2697600.0,0.0,1.0
2000-04-26,19.94,20.0,18.44,18.56,3.7933,2519200.0,0.0,1.0
2000-04-27,18.0,18.44,17.38,18.0,3.6789,2304700.0,0.0,1.0
2000-04-28,19.25,19.88,18.94,19.19,3.9221,1953400.0,0.0,1.0
2000-05-01,19.31,19.44,19.06,19.38,3.9609,1711400.0,0.0,1.0
2000-05-02,19.0,19.19,18.06,19.06,3.8955,2218800.0,0.0,1.0
2000-05-03,18.63,18.63,17.81,17.88,3.6543,2477500.0,0.0,1.0
2000-05-04,18.75,19.13,18.38,18.69,3.8199,1655400.0,0.0,1.0
2000-05-05,18.44,19.25,18.44,18.81,3.8444,1231200.0,0.0,1.0
2000-05-08,18.75,18.81,18.0,18.19,3.7177,2009300.0,0.0,1.0
2000-05-09,18.44,18.75,18.25,18.56,3.8015,1061900.0,0.04,1.0
2000-05-10,18.38,18.56,18.13,18.25,3.738,1233100.0,0.0,1.0
2000-05-11,18.13,18.25,17.63,18.0,3.6868,1377100.0,0.0,1.0
2000-05-12,18.13,18.25,17.94,18.06,3.6991,1152200.0,0.0,1.0
2000-05-15,18.13,19.5,18.13,19.5,3.994,1723900.0,0.0,1.0
2000-05-16,20.38,20.63,19.75,20.0,4.0964,2387800.0,0.0,1.0
2000-05-17,19.75,20.0,19.56,19.63,4.0207,1842400.0,0.0,1.0
2000-05-18,19.13,20.06,19.13,20.0,4.0964,2113200.0,0.0,1.0
2000-05-19,19.81,20.63,19.81,20.5,4.1989,1991800.0,0.0,1.0
2000-05-22,20.63,20.88,20.19,20.38,4.1743,1019300.0,0.0,1.0
2000-05-23,20.5,21.69,20.44,21.19,4.3402,1478600.0,0.0,1.0
2000-05-24,21.31,21.31,20.56,20.88,4.2767,2173200.0,0.0,1.0
2000-05-25,20.88,21.25,20.75,20.88,4.2767,1555000.0,0.0,1.0
2000-05-26,20.88,20.88,20.69,20.69,4.2378,429700.0,0.0,1.0
2000-05-30,20.75,21.38,20.69,21.06,4.3136,580800.0,0.0,1.0
2000-05-31,21.31,22.19,21.13,22.0,4.5061,750900.0,0.0,1.0
2000-06-01,21.25,22.38,21.19,21.94,4.4938,1232600.0,0.0,1.0
2000-06-02,22.0,22.31,21.94,22.25,4.5573,763100.0,0.0,1.0
2000-06-05,22.25,22.38,21.75,21.75,4.4549,732300.0,0.0,1.0
2000-06-06,21.38,21.38,20.19,20.31,4.1599,1096100.0,0.0,1.0
2000-06-07,20.44,21.44,20.44,21.19,4.3402,826700.0,0.0,1.0
2000-06-08,21.25,21.25,20.44,20.88,4.2767,912900.0,0.0,1.0
2000-06-09,20.75,21.13,20.75,20.75,4.2501,634600.0,0.0,1.0
2000-06-12,21.0,21.0,20.06,20.13,4.1231,748300.0,0.0,1.0
2000-06-13,19.94,20.0,19.56,19.94,4.0842,971900.0,0.0,1.0
2000-06-14,19.75,19.94,19.25,19.56,4.0063,1341000.0,0.0,1.0
2000-06-15,19.63,20.5,19.63,20.13,4.1231,817200.0,0.0,1.0
2000-06-16,20.13,20.19,19.69,20.0,4.0964,1766100.0,0.0,1.0
2000-06-19,19.94,20.06,19.5,19.56,4.0063,960700.0,0.0,1.0
2000-06-20,19.5,19.5,18.63,18.63,3.8158,1381500.0,0.0,1.0
2000-06-21,18.88,19.06,18.19,18.38,3.7646,1798300.0,0.0,1.0
2000-06-22,18.63,18.94,18.31,18.31,3.7503,1879400.0,0.0,1.0
2000-06-23,18.5,18.56,18.25,18.56,3.8015,1546700.0,0.0,1.0
2000-06-26,18.5,18.88,18.38,18.44,3.7769,846300.0,0.0,1.0
2000-06-27,18.56,19.25,18.5,19.19,3.9305,1451900.0,0.0,1.0
2000-06-28,19.13,19.25,18.69,19.02,3.8957,969100.0,0.0,1.0
2000-06-29,18.88,18.94,18.56,18.75,3.8404,555700.0,0.0,1.0
2000-06-30,18.63,19.13,18.63,18.75,3.8404,1980700.0,0.0,1.0
2000-07-03,18.63,18.69,18.44,18.56,3.8015,497400.0,0.0,1.0
2000-07-05,18.44,18.5,17.88,18.31,3.7503,812400.0,0.0,1.0
2000-07-06,18.13,18.31,17.69,18.0,3.6868,2177100.0,0.0,1.0
2000-07-07,18.25,18.25,17.75,18.19,3.7257,3462900.0,0.0,1.0
2000-07-10,18.19,18.25,17.69,18.25,3.738,2874200.0,0.0,1.0
2000-07-11,18.25,18.5,17.88,18.5,3.7892,2008100.0,0.0,1.0
2000-07-12,18.5,18.5,18.25,18.44,3.7769,1018700.0,0.0,1.0
2000-07-13,18.44,18.56,18.13,18.5,3.7892,1517500.0,0.0,1.0
2000-07-14,18.38,18.63,18.25,18.63,3.8158,897500.0,0.0,1.0
2000-07-17,18.63,18.63,17.94,18.13,3.7134,944100.0,0.0,1.0
2000-07-18,18.13,18.25,17.75,17.94,3.6745,1083100.0,0.0,1.0
2000-07-19,17.94,17.94,17.31,17.44,3.5721,1846100.0,0.0,1.0
2000-07-20,17.63,17.69,16.81,17.13,3.5086,3114900.0,0.0,1.0
2000-07-21,17.19,17.56,17.13,17.19,3.5209,1544600.0,0.0,1.0
2000-07-24,17.19,17.56,17.13,17.5,3.5844,2222600.0,0.0,1.0
2000-07-25,17.5,17.63,17.13,17.19,3.5209,1946600.0,0.0,1.0
2000-07-26,17.13,17.5,17.13,17.25,3.5332,2015000.0,0.0,1.0
2000-07-27,17.44,17.56,16.81,16.94,3.4697,2321900.0,0.0,1.0
2000-07-28,16.63,16.88,16.0,16.19,3.3161,3569500.0,0.0,1.0
2000-07-31,16.5,16.88,16.38,16.75,3.4308,1609200.0,0.0,1.0
2000-08-01,16.5,16.75,16.13,16.25,3.3284,1460500.0,0.0,1.0
2000-08-02,16.13,16.97,16.13,16.75,3.4308,1272200.0,0.0,1.0
2000-08-03,16.75,17.19,16.25,16.25,3.3284,2604800.0,0.0,1.0
2000-08-04,16.5,16.5,15.81,16.06,3.2894,2619900.0,0.0,1.0
2000-08-07,16.0,17.06,15.94,16.94,3.4697,1642300.0,0.0,1.0
2000-08-08,16.88,18.0,16.88,17.69,3.6315,1964400.0,0.04,1.0
2000-08-09,17.75,17.75,17.19,17.5,3.5925,2312500.0,0.0,1.0
2000-08-10,17.38,17.44,16.81,16.81,3.4508,1886700.0,0.0,1.0
2000-08-11,16.75,17.5,16.75,17.31,3.5535,1742300.0,0.0,1.0
2000-08-14,17.25,17.38,16.75,17.38,3.5679,2460200.0,0.0,1.0
2000-08-15,17.5,17.63,16.88,16.88,3.4652,2428100.0,0.0,1.0
2000-08-16,17.0,17.13,16.81,17.06,3.5022,2118200.0,0.0,1.0
2000-08-17,17.13,17.38,17.06,17.31,3.5535,3187800.0,0.0,1.0
2000-08-18,17.31,17.31,17.19,17.25,3.5412,2000900.0,0.0,1.0
2000-08-21,17.25,17.5,17.25,17.44,3.5802,865600.0,0.0,1.0
2000-08-22,17.5,17.81,17.44,17.75,3.6438,958700.0,0.0,1.0
2000-08-23,17.75,18.88,17.75,18.69,3.8368,2670600.0,0.0,1.0
2000-08-24,18.69,18.75,18.25,18.44,3.7855,2665400.0,0.0,1.0
2000-08-25,18.44,18.69,18.44,18.5,3.7978,716800.0,0.0,1.0
2000-08-28,18.38,18.63,18.25,18.25,3.7465,1319900.0,0.0,1.0
2000-08-29,18.25,18.44,18.06,18.25,3.7465,2015800.0,0.0,1.0
2000-08-30,18.38,18.5,18.25,18.44,3.7855,918000.0,0.0,1.0
2000-08-31,18.38,19.06,18.13,18.83,3.8655,2368400.0,0.0,1.0
2000-09-01,18.81,20.25,18.81,19.94,4.0934,1483600.0,0.0,1.0
2000-09-05,19.94,20.94,19.88,20.75,4.2597,1368700.0,0.0,1.0
2000-09-06,20.63,20.81,20.44,20.5,4.2084,1803400.0,0.0,1.0
2000-09-07,20.5,21.5,20.5,21.25,4.3623,2041400.0,0.0,1.0
2000-09-08,22.19,22.38,22.0,22.06,4.5286,1279700.0,0.0,1.0
2000-09-11,21.94,22.0,21.5,21.63,4.4403,1179100.0,0.0,1.0
2000-09-12,21.81,22.0,21.69,22.0,4.5163,1401200.0,0.0,1.0
2000-09-13,22.06,22.69,22.06,22.44,4.6066,699600.0,0.0,1.0
2000-09-14,22.56,22.69,22.31,22.56,4.6312,793900.0,0.0,1.0
2000-09-15,22.94,23.06,22.44,22.63,4.6456,1736100.0,0.0,1.0
2000-09-18,22.88,22.88,22.0,22.0,4.5163,997100.0,0.0,1.0
2000-09-19,21.75,21.88,21.06,21.31,4.3746,1065000.0,0.0,1.0
2000-09-20,21.31,21.44,21.06,21.25,4.3623,899900.0,0.0,1.0
2000-09-21,21.25,22.25,21.13,22.19,4.5553,1477300.0,0.0,1.0
2000-09-22,22.19,22.56,21.81,22.13,4.543,1002700.0,0.0,1.0
2000-09-25,22.38,22.88,22.25,22.44,4.6066,910400.0,0.0,1.0
2000-09-26,22.5,22.63,21.88,22.0,4.5163,1589700.0,0.0,1.0
2000-09-27,22.0,22.06,21.13,21.44,4.4013,2868000.0,0.0,1.0
2000-09-28,21.56,22.06,21.56,21.94,4.504,962100.0,0.0,1.0
2000-09-29,22.0,22.56,21.94,22.5,4.6189,766200.0,0.0,1.0
2000-10-02,22.56,23.75,22.56,22.56,4.6312,1186500.0,0.0,1.0
2000-10-03,22.56,23.13,22.56,22.94,4.7093,910100.0,0.0,1.0
2000-10-04,22.94,25.63,22.94,24.31,4.9905,4420800.0,0.0,1.0
2000-10-05,26.0,26.31,25.13,25.69,5.2738,3367800.0,0.0,1.0
2000-10-06,25.94,25.94,24.44,24.69,5.0685,2510700.0,0.0,1.0
2000-10-09,24.81,24.94,24.5,24.75,5.0808,1523400.0,0.0,1.0
2000-10-10,24.69,24.75,24.25,24.31,4.9905,1429500.0,0.0,1.0
2000-10-11,24.06,24.13,23.0,23.38,4.7996,1578500.0,0.0,1.0
2000-10-12,23.25,23.31,22.75,23.06,4.7339,2538500.0,0.0,1.0
2000-10-13,23.13,24.25,23.06,23.5,4.8242,1147800.0,0.0,1.0
2000-10-16,23.63,25.0,23.56,24.31,4.9905,1479100.0,0.0,1.0
2000-10-17,24.38,24.44,23.0,23.19,4.7606,1620800.0,0.0,1.0
2000-10-18,23.0,24.0,22.94,23.63,4.8509,1541400.0,0.0,1.0
2000-10-19,23.75,24.75,23.75,24.69,5.0685,1078800.0,0.0,1.0
2000-10-20,24.81,24.81,24.06,24.06,4.9392,1122100.0,0.0,1.0
2000-10-23,24.06,24.5,23.88,24.31,4.9905,1051100.0,0.0,1.0
2000-10-24,24.38,25.63,24.38,25.56,5.2471,1008600.0,0.0,1.0
2000-10-25,25.5,25.5,24.81,25.0,5.1321,1908600.0,0.0,1.0
2000-10-26,25.0,25.31,24.94,25.19,5.1711,721900.0,0.0,1.0
2000-10-27,25.19,25.5,25.19,25.5,5.2348,730800.0,0.0,1.0
2000-10-30,25.5,27.0,25.5,26.19,5.3764,1245100.0,0.0,1.0
2000-10-31,26.31,27.44,26.31,27.25,5.594,1551500.0,0.0,1.0
2000-11-01,27.38,27.5,26.44,26.81,5.5037,1840500.0,0.0,1.0
2000-11-02,26.69,27.81,26.56,27.69,5.6844,1904700.0,0.0,1.0
2000-11-03,27.88,28.0,27.25,27.38,5.6207,1984700.0,0.0,1.0
2000-11-06,27.38,29.0,27.38,28.94,5.941,2888500.0,0.0,1.0
2000-11-07,29.0,29.44,28.69,29.13,5.9882,2681200.0,0.04,1.0
2000-11-08,29.38,31.5,29.38,29.75,6.1156,4568200.0,0.0,1.0
2000-11-09,29.5,29.5,27.13,27.81,5.7168,2092900.0,0.0,1.0
2000-11-10,27.94,27.94,27.06,27.06,5.5627,1334400.0,0.0,1.0
2000-11-13,26.81,28.19,26.5,28.13,5.7826,1197500.0,0.0,1.0
2000-11-14,28.38,28.88,22.5,24.31,4.9973,14370200.0,0.0,1.0
2000-11-15,24.75,25.81,24.38,25.69,5.281,3165200.0,0.0,1.0
2000-11-16,25.5,25.81,25.44,25.75,5.2934,1025200.0,0.0,1.0
2000-11-17,26.25,26.25,25.5,25.81,5.3057,1059900.0,0.0,1.0
2000-11-20,25.75,25.88,24.44,24.63,5.0631,1146500.0,0.0,1.0
2000-11-21,24.75,25.0,24.69,24.75,5.0878,1466900.0,0.0,1.0
2000-11-22,24.75,25.19,24.69,25.0,5.1392,824400.0,0.0,1.0
2000-11-24,25.13,25.13,24.81,25.13,5.1659,310100.0,0.0,1.0
2000-11-27,25.19,26.56,25.19,26.5,5.4475,1717700.0,0.0,1.0
2000-11-28,26.5,26.56,24.75,25.13,5.1659,2350200.0,0.0,1.0
