date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,37.06,37.25,34.62,35.12,11.6454,374400.0,0.0,1.0
2000-01-04,34.69,35.13,34.0,34.06,11.2939,538100.0,0.0,1.0
2000-01-05,33.75,34.94,33.5,34.13,11.3171,525200.0,0.0,1.0
2000-01-06,33.94,35.0,33.38,35.0,11.6056,239100.0,0.0,1.0
2000-01-07,35.22,35.5,34.5,34.75,11.5227,233100.0,0.0,1.0
2000-01-10,35.31,35.75,34.88,35.0,11.6056,203800.0,0.0,1.0
2000-01-11,35.0,35.56,34.56,35.0,11.6056,201200.0,0.0,1.0
2000-01-12,35.56,36.5,35.19,36.5,12.1029,358600.0,0.0,1.0
2000-01-13,36.63,39.69,36.59,38.5,12.7661,881700.0,0.0,1.0
2000-01-14,38.75,39.13,38.38,39.06,12.9518,509600.0,0.0,1.0
2000-01-18,38.81,38.88,37.19,37.56,12.4544,336800.0,0.0,1.0
2000-01-19,37.69,39.25,37.63,38.13,12.6434,185900.0,0.0,1.0
2000-01-20,38.56,38.63,37.75,38.13,12.6434,189900.0,0.0,1.0
2000-01-21,38.88,40.19,38.38,39.94,13.2436,533600.0,0.0,1.0
2000-01-24,40.13,41.88,39.25,39.5,13.0977,565500.0,0.0,1.0
2000-01-25,39.44,42.5,38.5,42.38,14.0527,509900.0,0.0,1.0
2000-01-26,42.38,42.63,39.63,42.0,13.9267,492000.0,0.0,1.0
2000-01-27,41.88,42.88,39.19,39.25,13.0148,637800.0,0.0,1.0
2000-01-28,39.38,39.38,36.38,36.5,12.1029,607900.0,0.0,1.0
2000-01-31,36.25,38.88,35.88,38.88,12.8921,425800.0,0.0,1.0
2000-02-01,38.63,39.31,37.38,39.13,12.975,403600.0,0.0,1.0
2000-02-02,39.13,39.75,38.0,39.63,13.1408,581500.0,0.0,1.0
2000-02-03,40.0,40.13,37.5,38.44,12.7462,557900.0,0.0,1.0
2000-02-04,38.75,38.75,36.94,37.13,12.3118,288800.0,0.0,1.0
2000-02-07,38.81,38.81,36.56,36.69,12.1659,288200.0,0.0,1.0
2000-02-08,37.19,37.25,36.5,36.69,12.1659,274800.0,0.0,1.0
2000-02-09,36.69,37.5,35.63,35.94,11.9173,298700.0,0.0,1.0
2000-02-10,36.0,36.88,35.5,35.69,11.8344,232100.0,0.0,1.0
2000-02-11,35.63,36.0,35.0,35.09,11.6354,212900.0,0.0,1.0
2000-02-14,35.34,35.44,33.19,33.69,11.1712,500000.0,0.0,1.0
2000-02-15,33.5,36.0,33.13,35.31,11.7084,379300.0,0.0,1.0
2000-02-16,35.25,36.0,34.38,35.38,11.7316,714400.0,0.0,1.0
2000-02-17,35.38,35.56,32.94,33.31,11.0452,376800.0,0.0,1.0
2000-02-18,33.13,33.5,32.38,32.44,10.7567,334900.0,0.0,1.0
2000-02-22,33.25,33.31,32.25,32.63,10.8197,232000.0,0.0,1.0
2000-02-23,32.44,33.38,32.25,32.31,10.7136,344900.0,0.0,1.0
2000-02-24,32.5,35.38,32.19,35.38,11.7316,747700.0,0.0,1.0
2000-02-25,35.44,35.5,33.88,34.19,11.337,332100.0,0.0,1.0
2000-02-28,34.31,34.63,33.19,34.25,11.3569,436500.0,0.0,1.0
2000-02-29,34.25,34.44,32.88,32.94,10.9225,602300.0,0.0,1.0
2000-03-01,33.31,33.81,32.88,33.31,11.0452,395600.0,0.0,1.0
2000-03-02,33.5,34.56,32.94,34.31,11.3768,638300.0,0.0,1.0
2000-03-03,34.75,34.75,33.75,34.06,11.2939,337300.0,0.0,1.0
2000-03-06,34.0,34.81,33.5,33.63,11.1513,316500.0,0.0,1.0
2000-03-07,34.0,34.06,32.38,32.56,10.7965,390600.0,0.0,1.0
2000-03-08,32.25,32.31,30.5,30.88,10.2394,743000.0,0.0,1.0
2000-03-09,30.88,32.38,30.13,31.88,10.571,462000.0,0.0,1.0
2000-03-10,31.44,33.25,31.31,32.06,10.6307,489600.0,0.0,1.0
2000-03-13,31.13,31.5,30.69,30.75,10.1963,997600.0,0.0,1.0
2000-03-14,30.81,31.06,30.06,30.19,10.0106,551300.0,0.0,1.0
2000-03-15,30.44,35.0,30.25,34.88,11.5658,721100.0,0.0,1.0
2000-03-16,35.63,36.56,34.88,36.0,11.9371,930800.0,0.0,1.0
2000-03-17,34.56,36.5,34.5,36.38,12.0632,878900.0,0.0,1.0
2000-03-20,36.38,37.0,35.88,36.06,11.957,307000.0,0.0,1.0
2000-03-21,36.0,36.56,35.63,36.0,11.9371,215000.0,0.0,1.0
2000-03-22,35.88,36.0,34.56,35.06,11.6686,299700.0,0.13,1.0
2000-03-23,34.81,38.31,34.38,38.19,12.7103,666700.0,0.0,1.0
2000-03-24,37.88,39.0,37.5,38.56,12.8334,685400.0,0.0,1.0
2000-03-27,39.75,39.88,35.69,36.5,12.1478,496400.0,0.0,1.0
2000-03-28,36.19,36.63,35.13,36.06,12.0014,340700.0,0.0,1.0
2000-03-29,36.81,38.25,36.19,36.56,12.1678,386500.0,0.0,1.0
2000-03-30,36.06,39.13,36.0,38.31,12.7502,523800.0,0.0,1.0
2000-03-31,38.63,39.63,37.31,39.5,13.1463,624000.0,0.0,1.0
2000-04-03,39.44,39.63,38.25,38.44,12.7935,387600.0,0.0,1.0
2000-04-04,38.38,39.19,35.5,37.13,12.3575,599400.0,0.0,1.0
2000-04-05,37.25,38.94,36.75,38.5,12.8135,365400.0,0.0,1.0
2000-04-06,38.66,39.88,37.06,38.5,12.8135,305300.0,0.0,1.0
2000-04-07,38.75,41.06,38.19,40.44,13.4591,1019700.0,0.0,1.0
2000-04-10,40.63,41.31,39.38,40.25,13.3959,355200.0,0.0,1.0
2000-04-11,40.55,41.31,39.0,40.47,13.4691,598300.0,0.0,1.0
