date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,16.38,16.38,16.0,16.06,12.9717,235200.0,0.0,1.0
2000-01-04,16.0,16.13,15.94,16.0,12.9232,188600.0,0.0,1.0
2000-01-05,16.0,16.31,16.0,16.06,12.9717,168900.0,0.0,1.0
2000-01-06,16.19,16.31,16.0,16.19,13.0767,177700.0,0.0,1.0
2000-01-07,16.31,16.94,16.31,16.94,13.6825,170300.0,0.0,1.0
2000-01-10,16.94,16.94,16.69,16.75,13.529,204000.0,0.0,1.0
2000-01-11,16.5,16.94,16.5,16.88,13.634,182200.0,0.0,1.0
2000-01-12,16.81,16.94,16.5,16.56,13.3755,90500.0,0.0,1.0
2000-01-13,17.38,17.38,17.0,17.19,13.8844,602200.0,0.0,1.0
2000-01-14,17.19,17.19,16.13,16.31,13.1736,227500.0,0.0,1.0
2000-01-18,16.31,16.38,15.94,16.0,12.9232,228600.0,0.0,1.0
2000-01-19,16.0,16.06,15.75,15.75,12.7213,199800.0,0.0,1.0
2000-01-20,15.88,15.94,15.63,15.63,12.6244,215600.0,0.0,1.0
2000-01-21,15.69,15.69,15.38,15.44,12.4709,152800.0,0.0,1.0
2000-01-24,15.38,15.5,14.81,14.81,11.9621,293500.0,0.0,1.0
2000-01-25,14.88,14.88,13.63,14.25,11.5097,723800.0,0.0,1.0
2000-01-26,14.25,14.56,13.88,14.0,11.3078,262000.0,0.0,1.0
2000-01-27,14.0,14.25,13.81,14.19,11.4613,239100.0,0.0,1.0
2000-01-28,14.25,14.31,13.88,14.25,11.5097,251700.0,0.0,1.0
2000-01-31,14.38,14.38,13.56,13.69,11.0574,506400.0,0.0,1.0
2000-02-01,13.69,14.0,13.69,13.88,11.2109,348800.0,0.0,1.0
2000-02-02,14.0,14.13,13.5,13.56,10.9524,717300.0,0.0,1.0
2000-02-03,13.63,13.75,13.13,13.25,10.702,486700.0,0.0,1.0
2000-02-04,13.13,13.25,12.94,13.0,10.5001,442700.0,0.0,1.0
2000-02-07,13.0,13.0,12.56,12.88,10.4032,217400.0,0.0,1.0
2000-02-08,12.88,12.88,12.56,12.81,10.3467,539500.0,0.0,1.0
2000-02-09,12.88,12.94,12.44,12.5,10.0963,280900.0,0.0,1.0
2000-02-10,12.38,12.56,11.75,11.94,9.644,414400.0,0.0,1.0
2000-02-11,11.94,12.0,11.0,11.25,9.0866,826500.0,0.0,1.0
2000-02-14,11.25,11.44,10.75,11.0,8.8847,605600.0,0.0,1.0
2000-02-15,11.0,11.13,10.75,10.81,8.7313,714100.0,0.0,1.0
2000-02-16,10.94,11.0,10.75,10.75,8.6828,423500.0,0.0,1.0
2000-02-17,10.94,11.06,10.63,10.75,8.6828,518300.0,0.0,1.0
2000-02-18,10.75,10.81,10.56,10.69,8.6343,353300.0,0.0,1.0
2000-02-22,10.81,10.94,10.5,10.63,8.5859,443700.0,0.0,1.0
2000-02-23,10.63,10.63,9.813,9.938,8.0269,455300.0,0.0,1.0
2000-02-24,10.0,10.06,9.75,9.938,8.0269,769400.0,0.0,1.0
2000-02-25,10.13,11.56,10.13,10.94,8.8363,720700.0,0.0,1.0
2000-02-28,11.63,11.75,10.75,10.88,8.8201,394900.0,0.04,1.0
2000-02-29,10.88,11.25,10.31,10.31,8.358,688900.0,0.0,1.0
2000-03-01,10.44,11.0,10.25,10.56,8.5607,377800.0,0.0,1.0
2000-03-02,10.63,10.81,10.31,10.44,8.4634,395000.0,0.0,1.0
2000-03-03,10.56,10.75,10.19,10.44,8.4634,321000.0,0.0,1.0
2000-03-06,10.44,10.63,10.06,10.06,8.1553,361700.0,0.0,1.0
2000-03-07,10.06,10.31,9.75,9.875,8.0054,443200.0,0.0,1.0
2000-03-08,9.938,10.19,9.875,10.0,8.1067,665400.0,0.0,1.0
2000-03-09,10.13,10.63,10.0,10.13,8.2121,532400.0,0.0,1.0
2000-03-10,10.0,10.13,9.125,9.375,7.6,837900.0,0.0,1.0
2000-03-13,9.5,9.875,9.313,9.375,7.6,304400.0,0.0,1.0
2000-03-14,9.563,9.75,9.25,9.313,7.5498,421300.0,0.0,1.0
2000-03-15,9.0,9.0,8.5,9.0,7.296,1607400.0,0.0,1.0
2000-03-16,9.0,10.5,8.875,10.13,8.2121,970200.0,0.0,1.0
2000-03-17,9.875,10.38,9.75,9.75,7.904,657400.0,0.0,1.0
2000-03-20,10.0,10.5,9.875,10.06,8.1553,436500.0,0.0,1.0
2000-03-21,10.19,10.5,10.0,10.44,8.4634,424100.0,0.0,1.0
2000-03-22,10.5,10.56,10.38,10.5,8.512,578700.0,0.0,1.0
2000-03-23,10.75,11.0,10.56,10.88,8.8201,459900.0,0.0,1.0
2000-03-24,10.88,10.88,10.44,10.63,8.6174,799700.0,0.0,1.0
2000-03-27,10.63,10.75,10.0,10.13,8.2121,409200.0,0.0,1.0
2000-03-28,10.0,10.44,10.0,10.25,8.3094,468100.0,0.0,1.0
2000-03-29,10.25,10.38,9.938,10.13,8.2121,339700.0,0.0,1.0
2000-03-30,10.13,11.13,10.13,10.69,8.6661,560900.0,0.0,1.0
2000-03-31,10.81,11.13,10.31,11.13,9.0228,1130400.0,0.0,1.0
2000-04-03,11.13,11.19,10.13,10.25,8.3094,485300.0,0.0,1.0
2000-04-04,10.38,10.75,10.38,10.75,8.7147,291100.0,0.0,1.0
2000-04-05,10.88,11.13,10.56,11.13,9.0228,372700.0,0.0,1.0
2000-04-06,11.0,11.0,10.25,10.38,8.4148,469600.0,0.0,1.0
2000-04-07,10.13,10.38,10.06,10.13,8.2121,304900.0,0.0,1.0
2000-04-10,10.5,10.5,10.13,10.19,8.2607,192000.0,0.0,1.0
2000-04-11,10.31,10.38,10.06,10.38,8.4148,170700.0,0.0,1.0
2000-04-12,10.44,10.56,10.0,10.06,8.1553,203800.0,0.0,1.0
2000-04-13,10.19,10.88,10.13,10.81,8.7634,483400.0,0.0,1.0
2000-04-14,10.81,10.81,10.13,10.13,8.2121,253600.0,0.0,1.0
2000-04-17,10.19,10.5,10.0,10.44,8.4634,325100.0,0.0,1.0
2000-04-18,10.31,10.38,10.13,10.38,8.4148,165300.0,0.0,1.0
2000-04-19,10.44,10.44,10.13,10.31,8.358,196800.0,0.0,1.0
2000-04-20,10.19,10.56,10.19,10.44,8.4634,146200.0,0.0,1.0
2000-04-24,10.56,10.63,10.25,10.44,8.4634,257100.0,0.0,1.0
2000-04-25,10.5,11.13,10.5,11.0,8.9174,355300.0,0.0,1.0
2000-04-26,11.0,11.25,11.0,11.0,8.9174,459400.0,0.0,1.0
2000-04-27,11.0,11.38,10.94,11.0,8.9174,961900.0,0.0,1.0
2000-04-28,11.06,11.06,10.44,10.44,8.4634,384800.0,0.0,1.0
2000-05-01,10.56,10.94,10.44,10.44,8.4634,194400.0,0.0,1.0
2000-05-02,10.5,10.69,10.31,10.38,8.4148,138200.0,0.0,1.0
2000-05-03,10.38,10.75,10.25,10.25,8.3094,370800.0,0.0,1.0
2000-05-04,10.56,10.88,10.44,10.75,8.7147,438900.0,0.0,1.0
