date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,76.69,77.5,74.56,74.94,29.2789,921000.0,0.0,1.0
2000-01-04,74.94,76.25,73.38,73.69,28.7905,524400.0,0.0,1.0
2000-01-05,73.69,74.0,72.63,72.69,28.3998,452600.0,0.0,1.0
2000-01-06,71.38,71.38,69.5,71.0,27.7395,1069800.0,0.0,1.0
2000-01-07,70.88,72.75,70.31,72.75,28.4232,567600.0,0.0,1.0
2000-01-10,72.75,74.44,72.5,73.63,28.7671,447000.0,0.0,1.0
2000-01-11,73.0,73.38,71.81,73.06,28.5444,386700.0,0.0,1.0
2000-01-12,73.0,73.19,71.31,71.69,28.0091,398000.0,0.0,1.0
2000-01-13,71.25,71.5,68.69,68.88,26.9112,828400.0,0.0,1.0
2000-01-14,68.88,70.0,68.38,68.88,26.9112,524600.0,0.0,1.0
2000-01-18,67.13,67.5,66.75,67.13,26.2275,399800.0,0.0,1.0
2000-01-19,63.0,65.5,62.88,63.25,24.7116,1855600.0,0.0,1.0
2000-01-20,63.25,63.38,57.0,57.88,22.6136,3139000.0,0.0,1.0
2000-01-21,57.94,61.5,57.88,60.38,23.5903,1740800.0,0.0,1.0
2000-01-24,61.88,62.25,60.31,60.88,23.7857,1187800.0,0.0,1.0
2000-01-25,60.13,61.5,59.75,60.25,23.5395,907700.0,0.0,1.0
2000-01-26,59.94,60.81,59.94,60.25,23.5395,450100.0,0.0,1.0
2000-01-27,60.75,62.19,59.75,60.75,23.7349,631600.0,0.0,1.0
2000-01-28,59.63,60.19,58.88,59.0,23.0512,1001400.0,0.0,1.0
2000-01-31,59.25,60.06,59.25,59.69,23.3207,465700.0,0.0,1.0
2000-02-01,59.56,60.31,59.38,60.0,23.4419,779000.0,0.0,1.0
2000-02-02,59.75,61.75,59.75,61.69,24.1021,903900.0,0.0,1.0
2000-02-03,61.69,62.56,61.0,61.69,24.1021,714600.0,0.0,1.0
2000-02-04,61.75,61.88,61.56,61.75,24.1256,465700.0,0.0,1.0
2000-02-07,62.0,62.0,60.38,61.13,23.8833,484400.0,0.0,1.0
2000-02-08,61.13,62.44,60.94,61.5,24.0279,711200.0,0.0,1.0
2000-02-09,61.25,61.25,60.31,61.13,23.8833,632000.0,0.0,1.0
2000-02-10,60.63,61.75,60.56,60.94,23.8091,609600.0,0.0,1.0
2000-02-11,60.94,61.06,59.69,59.88,23.395,486000.0,0.0,1.0
2000-02-14,59.81,60.13,59.44,59.69,23.3207,298400.0,0.0,1.0
2000-02-15,60.63,60.88,58.5,60.38,23.5903,383900.0,0.0,1.0
2000-02-16,60.25,60.38,58.5,59.94,23.4184,300200.0,0.0,1.0
2000-02-17,59.38,60.13,58.0,59.31,23.1723,298000.0,0.0,1.0
2000-02-18,58.81,59.88,58.81,59.44,23.2231,504700.0,0.0,1.0
2000-02-22,59.0,59.81,58.5,59.5,23.2465,462900.0,0.0,1.0
2000-02-23,59.5,62.0,59.0,59.81,23.3676,558600.0,0.0,1.0
2000-02-24,59.56,61.13,59.0,60.38,23.5903,1449000.0,0.0,1.0
2000-02-25,60.38,61.38,59.56,59.56,23.2699,730900.0,0.0,1.0
2000-02-28,59.81,61.69,59.81,60.94,23.8091,461400.0,0.0,1.0
2000-02-29,60.5,61.69,60.5,61.0,23.8326,605900.0,0.0,1.0
2000-03-01,60.13,60.31,57.5,59.13,23.1019,602700.0,0.0,1.0
2000-03-02,59.56,59.63,57.63,57.63,22.5159,492700.0,0.0,1.0
2000-03-03,57.63,60.31,57.63,59.0,23.0512,827300.0,0.0,1.0
2000-03-06,59.13,59.19,57.63,57.69,22.5393,529800.0,0.0,1.0
2000-03-07,57.69,58.0,56.06,56.31,22.0002,404700.0,0.0,1.0
2000-03-08,55.19,56.63,54.88,55.88,21.9592,779400.0,0.325,1.0
2000-03-09,54.25,54.88,53.25,53.88,21.1732,755100.0,0.0,1.0
2000-03-10,53.38,53.81,51.0,52.56,20.6545,1066900.0,0.0,1.0
2000-03-13,51.0,54.25,51.0,52.69,20.7056,878100.0,0.0,1.0
2000-03-14,52.75,53.5,51.44,51.5,20.2379,600400.0,0.0,1.0
2000-03-15,51.63,54.81,51.44,54.81,21.5387,728800.0,0.0,1.0
2000-03-16,58.0,59.63,55.5,59.31,23.307,1385000.0,0.0,1.0
2000-03-17,59.5,60.69,59.25,60.0,23.5782,806500.0,0.0,1.0
2000-03-20,61.75,62.0,59.31,60.38,23.7275,796100.0,0.0,1.0
2000-03-21,60.63,61.0,58.88,59.94,23.5546,610800.0,0.0,1.0
2000-03-22,60.0,60.19,59.13,59.88,23.531,796200.0,0.0,1.0
2000-03-23,59.88,62.88,59.0,61.63,24.2187,731500.0,0.0,1.0
2000-03-24,60.13,61.88,59.06,59.44,23.3581,535300.0,0.0,1.0
2000-03-27,59.31,59.75,57.81,57.88,22.7451,520500.0,0.0,1.0
2000-03-28,58.06,59.94,58.06,58.38,22.9416,407200.0,0.0,1.0
2000-03-29,57.88,58.75,57.81,58.44,22.9652,310400.0,0.0,1.0
2000-03-30,58.44,61.38,58.44,60.0,23.5782,633400.0,0.0,1.0
2000-03-31,60.5,62.31,59.94,60.88,23.924,578500.0,0.0,1.0
2000-04-03,60.88,64.06,60.88,64.0,25.1501,569700.0,0.0,1.0
2000-04-04,65.5,65.75,63.56,64.38,25.2994,614700.0,0.0,1.0
