date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,43.06,43.06,43.06,43.06,7.6442,1025300.0,0.0,1.0
2000-01-04,43.06,43.38,42.63,43.0,7.6335,1216300.0,0.0,1.0
2000-01-05,43.0,43.75,42.94,43.25,7.6779,894900.0,0.0,1.0
2000-01-06,43.0,46.0,43.0,45.63,8.1004,1554000.0,0.0,1.0
2000-01-07,45.63,45.69,44.63,45.31,8.0436,814000.0,0.0,1.0
2000-01-10,46.38,46.75,45.5,46.38,8.2335,1077900.0,0.0,1.0
2000-01-11,46.25,47.19,46.25,46.75,8.2992,596000.0,0.0,1.0
2000-01-12,46.5,46.81,45.63,45.81,8.1324,574700.0,0.0,1.0
2000-01-13,45.81,47.63,45.38,46.63,8.2779,773100.0,0.0,1.0
2000-01-14,46.75,46.94,45.69,46.06,8.1767,608900.0,0.0,1.0
2000-01-18,45.56,45.88,44.25,44.38,7.8785,741900.0,0.0,1.0
2000-01-19,43.13,43.69,42.25,43.63,7.7454,1442900.0,0.0,1.0
2000-01-20,44.25,44.81,40.88,42.0,7.456,2017700.0,0.0,1.0
2000-01-21,42.56,44.19,42.5,43.75,7.7667,1276300.0,0.0,1.0
2000-01-24,43.81,44.25,42.38,42.44,7.5341,751000.0,0.0,1.0
2000-01-25,42.44,42.69,40.0,40.94,7.2678,1264200.0,0.0,1.0
2000-01-26,41.0,41.81,39.94,41.81,7.4223,962300.0,0.0,1.0
2000-01-27,42.0,42.0,40.06,40.25,7.1453,917600.0,0.0,1.0
2000-01-28,40.31,41.31,39.75,40.63,7.2128,897600.0,0.0,1.0
2000-01-31,40.63,41.13,39.81,40.25,7.1453,920600.0,0.0,1.0
2000-02-01,40.0,40.38,39.5,40.31,7.156,703300.0,0.0,1.0
2000-02-02,40.12,40.25,38.62,38.75,6.879,1055100.0,0.0,1.0
2000-02-03,39.25,39.56,39.0,39.31,6.9785,900200.0,0.0,1.0
2000-02-04,39.75,40.88,39.75,40.31,7.156,1159300.0,0.0,1.0
2000-02-07,40.25,40.5,39.5,39.69,7.0459,727800.0,0.0,1.0
2000-02-08,39.94,40.0,38.63,38.75,6.879,918800.0,0.0,1.0
2000-02-09,39.25,40.63,38.81,38.94,6.9128,1216400.0,0.0,1.0
2000-02-10,38.94,38.94,35.88,37.06,6.579,2084900.0,0.0,1.0
2000-02-11,37.13,37.38,36.63,36.75,6.524,891400.0,0.0,1.0
2000-02-14,37.25,38.0,36.88,38.0,6.7459,1094400.0,0.0,1.0
2000-02-15,38.5,38.81,37.75,38.81,6.8897,1812700.0,0.0,1.0
2000-02-16,39.0,39.38,37.0,37.38,6.6358,1283600.0,0.0,1.0
2000-02-17,37.5,38.0,36.75,37.88,6.7246,773400.0,0.0,1.0
2000-02-18,38.0,38.25,37.75,37.75,6.7015,851700.0,0.0,1.0
2000-02-22,37.94,39.38,37.88,38.81,6.8897,778300.0,0.0,1.0
2000-02-23,38.81,39.38,38.75,39.31,6.9785,1010700.0,0.0,1.0
2000-02-24,39.5,39.56,36.25,37.25,6.6128,1776200.0,0.0,1.0
2000-02-25,37.25,37.5,36.56,37.44,6.6465,759500.0,0.0,1.0
2000-02-28,37.44,38.75,36.81,38.5,6.8347,800800.0,0.0,1.0
2000-02-29,38.44,38.81,37.94,38.0,6.7459,854300.0,0.0,1.0
2000-03-01,38.13,38.63,38.0,38.25,6.7903,1653000.0,0.0,1.0
2000-03-02,38.19,38.19,37.38,37.81,6.7122,898300.0,0.0,1.0
2000-03-03,37.75,40.0,37.56,39.38,6.9909,1407900.0,0.0,1.0
2000-03-06,39.13,39.13,37.31,37.75,6.7015,772500.0,0.0,1.0
2000-03-07,37.25,37.5,35.69,36.0,6.3909,1314100.0,0.0,1.0
2000-03-08,36.5,37.06,36.25,36.31,6.4459,1179500.0,0.0,1.0
2000-03-09,36.5,36.5,34.56,35.94,6.3802,1568900.0,0.0,1.0
2000-03-10,35.69,36.25,34.88,35.06,6.224,1628300.0,0.0,1.0
2000-03-13,34.94,35.25,34.25,35.25,6.2932,895500.0,0.2,1.0
2000-03-14,35.5,35.5,34.88,35.25,6.2932,864300.0,0.0,1.0
2000-03-15,35.13,37.38,35.13,37.38,6.6735,976300.0,0.0,1.0
2000-03-16,37.81,39.81,37.19,39.81,7.1073,1750800.0,0.0,1.0
2000-03-17,40.0,40.63,39.75,40.25,7.1859,1136700.0,0.0,1.0
2000-03-20,40.44,40.69,37.69,38.25,6.8288,1008100.0,0.0,1.0
2000-03-21,37.75,40.13,37.75,40.0,7.1412,1209400.0,0.0,1.0
2000-03-22,40.25,40.44,38.31,38.63,6.8966,987400.0,0.0,1.0
2000-03-23,38.0,38.75,37.63,38.69,6.9074,745500.0,0.0,1.0
2000-03-24,38.56,38.88,37.75,38.12,6.8056,719500.0,0.0,1.0
2000-03-27,38.0,38.88,38.0,38.69,6.9074,558200.0,0.0,1.0
2000-03-28,38.38,38.69,37.0,37.19,6.6396,825100.0,0.0,1.0
2000-03-29,37.19,37.88,37.0,37.88,6.7628,780600.0,0.0,1.0
2000-03-30,38.0,38.0,37.0,37.19,6.6396,710100.0,0.0,1.0
