date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,69.69,69.75,67.0,67.06,43.2078,1273200.0,0.0,1.0
2000-01-04,67.0,67.0,64.63,64.94,41.8418,1385800.0,0.0,1.0
2000-01-05,64.88,66.5,64.75,65.94,42.4862,1401700.0,0.0,1.0
2000-01-06,65.88,68.13,65.0,68.0,43.8135,1959100.0,0.0,1.0
2000-01-07,67.63,67.63,65.75,66.38,42.7697,996000.0,0.0,1.0
2000-01-10,66.88,67.44,66.44,67.06,43.2078,1191700.0,0.0,1.0
2000-01-11,67.13,67.44,66.31,66.38,42.7697,1020000.0,0.0,1.0
2000-01-12,66.13,67.5,65.44,67.38,43.414,1097700.0,0.0,1.0
2000-01-13,67.63,68.5,67.38,68.31,44.0132,1071200.0,0.0,1.0
2000-01-14,68.88,69.25,68.31,69.06,44.4964,1160000.0,0.0,1.0
2000-01-18,69.0,69.0,67.38,68.69,44.258,980500.0,0.0,1.0
2000-01-19,68.5,68.56,67.44,68.25,43.9745,1087300.0,0.0,1.0
2000-01-20,68.13,69.13,68.13,68.88,44.3805,1972000.0,0.0,1.0
2000-01-21,68.88,68.88,66.69,67.25,43.3302,1270100.0,0.0,1.0
2000-01-24,67.88,68.25,66.0,66.0,42.5248,831400.0,0.0,1.0
2000-01-25,65.63,66.63,64.75,65.88,42.4475,1263000.0,0.0,1.0
2000-01-26,65.25,65.63,64.5,65.13,41.9643,933400.0,0.0,1.0
2000-01-27,65.31,65.38,64.0,65.13,41.9643,1128400.0,0.0,1.0
2000-01-28,65.13,65.88,64.0,64.94,41.8418,1324700.0,0.0,1.0
2000-01-31,63.0,64.0,59.0,60.0,38.6589,5745800.0,0.0,1.0
2000-02-01,59.69,61.5,58.31,61.38,39.5481,4761000.0,0.0,1.0
2000-02-02,59.75,59.94,57.19,58.25,37.5314,4740600.0,0.0,1.0
2000-02-03,59.25,59.5,57.38,57.63,37.1319,1951900.0,0.0,1.0
2000-02-04,58.19,58.19,56.06,56.38,36.3265,1745200.0,0.0,1.0
2000-02-07,56.63,56.81,55.5,55.75,35.9206,1480200.0,0.0,1.0
2000-02-08,56.25,59.38,55.75,59.38,38.2595,2055100.0,0.0,1.0
2000-02-09,59.5,59.63,58.0,58.0,37.3703,1209400.0,0.0,1.0
2000-02-10,58.06,58.5,56.5,57.06,36.7646,995700.0,0.0,1.0
2000-02-11,56.81,57.0,55.13,55.13,35.5211,1013900.0,0.0,1.0
2000-02-14,55.31,55.5,54.13,54.38,35.0379,2052800.0,0.0,1.0
2000-02-15,54.44,55.0,53.56,54.94,35.3987,1182900.0,0.0,1.0
2000-02-16,55.19,56.44,54.5,56.0,36.0817,1530000.0,0.0,1.0
2000-02-17,56.5,58.25,56.13,58.0,37.3703,1036000.0,0.0,1.0
2000-02-18,58.0,59.44,55.25,56.94,36.6873,1529200.0,0.0,1.0
2000-02-22,56.94,56.94,54.56,55.0,35.4374,1226000.0,0.0,1.0
2000-02-23,55.06,56.25,54.06,54.94,35.3987,855700.0,0.0,1.0
2000-02-24,55.0,55.0,53.81,54.06,34.9412,1049300.0,0.17,1.0
2000-02-25,54.94,55.75,54.06,55.5,35.872,961700.0,0.0,1.0
2000-02-28,55.56,55.63,54.5,55.0,35.5488,565600.0,0.0,1.0
2000-02-29,55.0,55.31,54.5,54.63,35.3096,750900.0,0.0,1.0
2000-03-01,54.63,54.69,51.88,52.5,33.9329,1471000.0,0.0,1.0
2000-03-02,52.13,53.63,52.06,53.31,34.4565,1136600.0,0.0,1.0
2000-03-03,53.31,53.5,52.56,52.69,34.0557,1030700.0,0.0,1.0
2000-03-06,54.38,54.38,52.5,52.75,34.0945,1431500.0,0.0,1.0
2000-03-07,52.75,52.81,49.0,50.63,32.7243,2319100.0,0.0,1.0
2000-03-08,52.75,54.5,51.31,54.31,35.1028,2275300.0,0.0,1.0
2000-03-09,54.5,54.5,52.44,53.0,34.2561,1199700.0,0.0,1.0
2000-03-10,53.75,54.38,53.06,53.44,34.5405,776700.0,0.0,1.0
2000-03-13,52.25,54.19,52.13,52.75,34.0945,671700.0,0.0,1.0
2000-03-14,52.5,53.5,52.31,52.56,33.9717,1072500.0,0.0,1.0
2000-03-15,52.94,55.38,51.63,54.94,35.51,2274800.0,0.0,1.0
2000-03-16,55.88,57.63,55.06,56.25,36.3567,1635300.0,0.0,1.0
2000-03-17,57.06,57.06,55.5,55.5,35.872,622400.0,0.0,1.0
2000-03-20,56.5,56.88,55.25,56.56,36.5571,843400.0,0.0,1.0
2000-03-21,56.31,58.38,55.25,58.19,37.6106,889000.0,0.0,1.0
2000-03-22,58.19,59.06,56.81,56.88,36.7639,763100.0,0.0,1.0
2000-03-23,56.81,59.94,56.0,59.63,38.5414,1472900.0,0.0,1.0
2000-03-24,60.0,64.13,59.81,63.75,41.2043,2148200.0,0.0,1.0
2000-03-27,63.0,64.0,62.63,63.19,40.8423,960400.0,0.0,1.0
2000-03-28,62.5,63.0,60.06,60.25,38.9421,639300.0,0.0,1.0
2000-03-29,61.25,61.25,58.31,59.06,38.1729,869700.0,0.0,1.0
2000-03-30,58.81,60.13,58.31,58.56,37.8498,682400.0,0.0,1.0
2000-03-31,59.56,63.0,58.19,62.99,40.7131,727100.0,0.0,1.0
2000-04-03,62.0,62.0,59.0,59.38,38.3798,830000.0,0.0,1.0
2000-04-04,59.38,59.75,55.38,57.81,37.365,1309000.0,0.0,1.0
2000-04-05,56.81,58.25,56.81,58.19,37.6106,478000.0,0.0,1.0
2000-04-06,58.31,60.19,58.31,59.88,38.7029,800700.0,0.0,1.0
2000-04-07,59.88,61.44,59.13,60.88,39.3493,778200.0,0.0,1.0
2000-04-10,61.13,63.94,61.06,62.94,40.6807,1275600.0,0.0,1.0
2000-04-11,63.31,63.31,62.13,63.19,40.8423,616700.0,0.0,1.0
2000-04-12,62.81,62.88,61.25,61.5,39.75,608700.0,0.0,1.0
2000-04-13,61.5,61.5,59.44,60.25,38.9421,566300.0,0.0,1.0
2000-04-14,58.5,58.75,55.0,55.0,35.5488,859800.0,0.0,1.0
2000-04-17,57.0,59.5,55.0,58.0,37.4878,1152900.0,0.0,1.0
2000-04-18,58.0,61.19,58.0,60.69,39.2265,714900.0,0.0,1.0
2000-04-19,60.19,60.5,58.75,59.06,38.1729,510200.0,0.0,1.0
2000-04-20,61.0,63.88,60.63,63.5,41.0427,1730600.0,0.0,1.0
2000-04-24,63.0,63.25,62.0,62.63,40.4804,1071000.0,0.0,1.0
2000-04-25,64.31,66.44,63.81,66.44,42.9429,1644600.0,0.0,1.0
2000-04-26,66.5,66.94,64.94,66.19,42.7814,1239300.0,0.0,1.0
2000-04-27,65.5,66.56,65.19,65.94,42.6198,689400.0,0.0,1.0
2000-04-28,66.69,66.75,65.5,66.5,42.9817,1011200.0,0.0,1.0
2000-05-01,66.63,66.94,64.25,64.25,41.5275,904600.0,0.0,1.0
2000-05-02,64.06,64.44,63.25,63.81,41.2431,1565300.0,0.0,1.0
2000-05-03,64.06,64.06,62.31,62.38,40.3188,566400.0,0.0,1.0
2000-05-04,62.13,62.13,60.0,60.94,39.3881,669000.0,0.0,1.0
2000-05-05,59.75,60.88,59.0,59.88,38.7029,834300.0,0.0,1.0
2000-05-08,59.0,61.75,58.31,61.06,39.4656,1726400.0,0.0,1.0
2000-05-09,61.5,63.38,60.81,62.5,40.3964,859200.0,0.0,1.0
2000-05-10,62.0,62.38,60.63,60.81,39.304,880400.0,0.0,1.0
2000-05-11,60.88,61.69,60.88,61.25,39.5884,934200.0,0.0,1.0
2000-05-12,61.5,62.63,61.38,61.56,39.7888,603600.0,0.0,1.0
2000-05-15,61.56,64.0,60.69,63.31,40.9199,1110200.0,0.0,1.0
2000-05-16,64.0,64.0,61.88,62.0,40.0732,526500.0,0.0,1.0
2000-05-17,61.75,62.88,61.19,62.31,40.2735,466300.0,0.0,1.0
2000-05-18,62.25,62.25,61.38,62.13,40.1572,626500.0,0.0,1.0
2000-05-19,61.88,62.19,60.5,61.88,39.9956,754800.0,0.0,1.0
2000-05-22,61.63,61.88,59.88,61.44,39.7112,701700.0,0.0,1.0
2000-05-23,61.19,62.25,61.13,61.88,39.9956,669500.0,0.0,1.0
2000-05-24,61.0,61.38,59.13,59.63,38.5414,592700.0,0.0,1.0
2000-05-25,59.44,60.25,58.0,58.88,38.1665,795300.0,0.17,1.0
2000-05-26,59.0,59.31,56.75,57.19,37.071,1003100.0,0.0,1.0
2000-05-30,57.0,59.31,57.0,59.06,38.2832,602100.0,0.0,1.0
2000-05-31,59.94,60.38,59.63,60.0,38.8925,794000.0,0.0,1.0
2000-06-01,60.81,62.06,60.63,61.5,39.8648,1261000.0,0.0,1.0
2000-06-02,62.19,62.44,60.94,61.0,39.5407,745100.0,0.0,1.0
2000-06-05,60.88,62.5,60.81,61.56,39.9037,812100.0,0.0,1.0
2000-06-06,61.56,61.88,60.75,61.75,40.0268,585000.0,0.0,1.0
2000-06-07,61.75,62.19,61.44,62.06,40.2278,729800.0,0.0,1.0
2000-06-08,62.0,62.13,60.25,60.25,39.0545,606300.0,0.0,1.0
2000-06-09,60.25,60.25,59.31,59.31,38.4452,505500.0,0.0,1.0
2000-06-12,59.0,59.88,57.5,59.34,38.4646,1105100.0,0.0,1.0
2000-06-13,59.5,62.06,59.25,61.31,39.7416,958400.0,0.0,1.0
2000-06-14,61.19,61.88,60.88,61.25,39.7027,898600.0,0.0,1.0
2000-06-15,61.5,62.5,61.44,62.38,40.4352,1076100.0,0.0,1.0
2000-06-16,62.44,62.75,61.38,61.75,40.0268,721300.0,0.0,1.0
2000-06-19,61.75,62.19,60.25,62.13,40.2731,1019300.0,0.0,1.0
2000-06-20,61.88,62.0,60.88,61.44,39.8259,630200.0,0.0,1.0
2000-06-21,60.94,61.81,60.56,61.75,40.0268,627200.0,0.0,1.0
2000-06-22,61.56,62.94,61.25,62.94,40.7982,1331900.0,0.0,1.0
2000-06-23,62.81,62.81,61.31,61.44,39.8259,672500.0,0.0,1.0
2000-06-26,60.75,61.0,60.31,60.75,39.3786,596300.0,0.0,1.0
2000-06-27,60.75,60.94,59.63,60.13,38.9767,1001700.0,0.0,1.0
2000-06-28,60.19,60.81,59.56,59.63,38.6526,754100.0,0.0,1.0
2000-06-29,59.63,60.31,58.63,60.25,39.0545,1002300.0,0.0,1.0
2000-06-30,60.31,62.0,58.9,58.9,38.1794,1990200.0,0.0,1.0
2000-07-03,59.5,59.88,59.31,59.44,38.5295,375000.0,0.0,1.0
2000-07-05,59.63,61.31,59.5,61.0,39.5407,829500.0,0.0,1.0
2000-07-06,61.0,61.44,61.0,61.31,39.7416,570100.0,0.0,1.0
2000-07-07,60.38,61.0,60.13,60.69,39.3397,733000.0,0.0,1.0
2000-07-10,60.0,61.06,59.88,61.0,39.5407,596000.0,0.0,1.0
2000-07-11,60.31,60.94,60.31,60.81,39.4175,469800.0,0.0,1.0
2000-07-12,60.5,61.06,60.19,60.69,39.3397,613300.0,0.0,1.0
2000-07-13,60.56,60.75,60.06,60.31,39.0934,631200.0,0.0,1.0
2000-07-14,60.69,61.0,60.44,60.88,39.4629,678100.0,0.0,1.0
2000-07-17,60.94,61.38,60.06,60.44,39.1777,944800.0,0.0,1.0
