date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,23.44,23.62,22.0,22.25,9.7092,3457700.0,0.0,1.0
2000-01-04,21.94,22.0,21.19,21.5,9.3819,3548100.0,0.0,1.0
2000-01-05,21.25,21.81,21.25,21.44,9.3557,2739800.0,0.0,1.0
2000-01-06,21.5,22.44,21.25,22.12,9.6525,2451000.0,0.0,1.0
2000-01-07,22.12,22.69,22.06,22.62,9.8706,2678000.0,0.0,1.0
2000-01-10,22.81,22.94,22.0,22.0,9.6001,1875800.0,0.0,1.0
2000-01-11,22.0,22.5,22.0,22.12,9.6525,2145900.0,0.0,1.0
2000-01-12,22.06,22.81,22.06,22.31,9.7354,1786500.0,0.0,1.0
2000-01-13,22.62,23.19,22.62,22.94,10.0103,2169600.0,0.0,1.0
2000-01-14,24.0,24.0,22.81,23.06,10.0626,3185900.0,0.0,1.0
2000-01-18,22.62,22.87,21.87,22.12,9.6525,2529300.0,0.0,1.0
2000-01-19,22.06,22.94,21.62,21.81,9.5172,4464000.0,0.0,1.0
2000-01-20,21.87,21.87,21.0,21.36,9.3208,3345400.0,0.0,1.0
2000-01-21,21.37,21.37,20.5,20.87,9.107,7066900.0,0.0,1.0
2000-01-24,20.87,21.12,20.5,20.62,8.9979,2732400.0,0.0,1.0
2000-01-25,20.25,21.12,20.19,20.81,9.0808,2321400.0,0.0,1.0
2000-01-26,20.94,21.75,20.87,21.56,9.4081,1641400.0,0.0,1.0
2000-01-27,21.81,22.56,21.81,22.12,9.6525,2945600.0,0.0,1.0
2000-01-28,22.12,22.12,21.0,21.0,9.1637,2103000.0,0.0,1.0
2000-01-31,21.0,22.25,20.94,22.19,9.683,3286500.0,0.0,1.0
2000-02-01,22.19,22.69,21.87,22.25,9.7092,2368900.0,0.0,1.0
2000-02-02,22.0,22.56,21.75,22.0,9.6001,1557000.0,0.0,1.0
2000-02-03,22.19,22.44,21.75,21.94,9.5739,1863700.0,0.0,1.0
2000-02-04,22.06,22.37,21.19,21.31,9.299,1811400.0,0.0,1.0
2000-02-07,21.25,21.44,20.87,21.31,9.299,1581200.0,0.0,1.0
2000-02-08,21.37,22.25,21.37,21.69,9.4648,2272100.0,0.0,1.0
2000-02-09,21.44,21.5,20.5,21.06,9.1899,2094200.0,0.0,1.0
2000-02-10,20.75,21.0,20.06,20.19,8.8103,2128300.0,0.0,1.0
2000-02-11,20.5,20.75,19.87,19.94,8.7012,3388400.0,0.0,1.0
2000-02-14,20.12,20.12,19.06,19.25,8.4001,2796700.0,0.0,1.0
2000-02-15,19.19,19.56,18.94,19.31,8.4263,6960000.0,0.0,1.0
