date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,4.25,4.25,4.0,4.0,1.1551,17100.0,0.0,1.0
2000-01-04,4.0,4.0,3.938,4.0,1.1551,39800.0,0.0,1.0
2000-01-05,3.938,4.063,3.938,4.0,1.1551,30400.0,0.0,1.0
2000-01-06,3.938,4.125,3.938,4.0,1.1551,27500.0,0.0,1.0
2000-01-07,3.938,4.0,3.875,3.938,1.1372,84500.0,0.0,1.0
2000-01-10,3.938,4.125,3.938,4.0,1.1551,54100.0,0.0,1.0
2000-01-11,3.875,3.938,3.875,3.938,1.1372,52300.0,0.0,1.0
2000-01-12,3.875,3.938,3.875,3.875,1.119,15600.0,0.0,1.0
2000-01-13,3.875,4.063,3.875,3.938,1.1372,31000.0,0.0,1.0
2000-01-14,3.938,4.0,3.938,4.0,1.1551,36200.0,0.0,1.0
2000-01-18,4.0,4.063,3.938,4.063,1.1733,20600.0,0.0,1.0
2000-01-19,4.0,4.063,3.938,4.063,1.1733,28300.0,0.0,1.0
2000-01-20,4.063,4.063,4.0,4.0,1.1551,32100.0,0.0,1.0
2000-01-21,4.0,4.0,3.938,3.938,1.1372,40600.0,0.0,1.0
2000-01-24,3.938,4.0,3.688,3.688,1.065,104500.0,0.0,1.0
2000-01-25,3.75,3.75,3.438,3.5,1.0107,357600.0,0.0,1.0
2000-01-26,3.438,3.625,3.375,3.5,1.0107,74100.0,0.0,1.0
2000-01-27,3.5,3.625,3.375,3.5,1.0107,108200.0,0.0,1.0
2000-01-28,3.438,3.5,3.375,3.438,0.9928,126200.0,0.0,1.0
2000-01-31,3.5,3.75,3.375,3.625,1.0468,226600.0,0.0,1.0
2000-02-01,3.625,3.75,3.563,3.688,1.065,91500.0,0.0,1.0
2000-02-02,3.625,3.813,3.625,3.75,1.0829,39100.0,0.0,1.0
2000-02-03,3.688,3.875,3.625,3.688,1.065,175400.0,0.0,1.0
2000-02-04,3.625,3.625,3.5,3.5,1.0107,125700.0,0.0,1.0
2000-02-07,3.75,3.813,3.563,3.688,1.065,40900.0,0.0,1.0
2000-02-08,3.625,3.813,3.375,3.5,1.0107,62800.0,0.0,1.0
2000-02-09,3.5,3.563,3.5,3.5,1.0107,60400.0,0.0,1.0
2000-02-10,3.5,3.5,3.438,3.438,0.9928,124800.0,0.0,1.0
2000-02-11,3.375,3.438,3.188,3.25,0.9385,125000.0,0.0,1.0
2000-02-14,3.25,3.25,3.125,3.188,0.9206,65900.0,0.0,1.0
2000-02-15,3.125,3.188,3.125,3.188,0.9206,68100.0,0.0,1.0
2000-02-16,3.125,3.313,3.125,3.313,0.9567,63400.0,0.0,1.0
2000-02-17,3.25,3.438,3.25,3.313,0.9567,41500.0,0.0,1.0
2000-02-18,3.375,3.375,3.313,3.313,0.9567,12400.0,0.0,1.0
2000-02-22,3.313,3.375,3.313,3.313,0.9567,25000.0,0.0,1.0
2000-02-23,3.313,3.313,3.313,3.313,0.9567,9800.0,0.0,1.0
2000-02-24,3.313,3.375,3.25,3.313,0.9567,29300.0,0.0,1.0
2000-02-25,3.25,3.5,3.25,3.375,0.9746,101300.0,0.0,1.0
2000-02-28,3.375,3.438,3.375,3.438,0.9928,14100.0,0.0,1.0
2000-02-29,3.438,3.563,3.375,3.375,0.9746,624000.0,0.0,1.0
2000-03-01,3.375,3.5,3.313,3.313,0.9567,218700.0,0.0,1.0
2000-03-02,3.313,3.375,3.313,3.375,0.9746,96300.0,0.0,1.0
2000-03-03,3.438,3.688,3.438,3.563,1.0289,60900.0,0.0,1.0
2000-03-06,3.438,3.625,3.313,3.563,1.0289,42300.0,0.0,1.0
2000-03-07,3.5,3.625,3.375,3.5,1.0107,303300.0,0.0,1.0
2000-03-08,3.5,3.5,3.375,3.375,0.9746,21300.0,0.0,1.0
2000-03-09,3.375,3.375,3.125,3.25,0.9385,141000.0,0.0,1.0
2000-03-10,3.313,3.313,3.125,3.188,0.9206,71800.0,0.0,1.0
2000-03-13,3.188,3.375,3.188,3.375,0.9746,49400.0,0.0,1.0
2000-03-14,3.313,3.313,3.125,3.125,0.9024,73200.0,0.0,1.0
2000-03-15,3.125,3.125,2.813,2.813,0.8123,207300.0,0.0,1.0
2000-03-16,2.75,3.188,2.75,3.125,0.9024,149100.0,0.0,1.0
2000-03-17,3.0,3.063,2.875,2.938,0.8484,80000.0,0.0,1.0
2000-03-20,2.938,2.938,2.875,2.938,0.8484,37200.0,0.0,1.0
2000-03-21,3.0,3.5,3.0,3.438,0.9928,313200.0,0.0,1.0
2000-03-22,3.563,3.938,3.563,3.75,1.0829,162900.0,0.0,1.0
2000-03-23,3.75,3.875,3.125,3.25,0.9385,227000.0,0.0,1.0
2000-03-24,3.25,3.5,3.25,3.25,0.9385,57700.0,0.0,1.0
2000-03-27,3.25,3.313,3.188,3.188,0.9206,49100.0,0.0,1.0
2000-03-28,3.188,3.25,3.125,3.125,0.9024,78100.0,0.0,1.0
2000-03-29,3.25,3.25,3.125,3.188,0.9206,21000.0,0.0,1.0
2000-03-30,3.125,3.313,3.0,3.313,0.9567,104900.0,0.0,1.0
2000-03-31,3.375,3.375,3.125,3.313,0.9567,70100.0,0.0,1.0
2000-04-03,3.313,3.313,3.25,3.313,0.9567,14100.0,0.0,1.0
2000-04-04,3.313,3.438,3.313,3.438,0.9928,82500.0,0.0,1.0
2000-04-05,3.375,3.5,3.375,3.375,0.9746,24600.0,0.0,1.0
2000-04-06,3.25,3.563,3.25,3.438,0.9928,27600.0,0.0,1.0
2000-04-07,3.438,3.563,3.313,3.563,1.0289,49900.0,0.0,1.0
2000-04-10,3.438,3.75,3.438,3.688,1.065,51700.0,0.0,1.0
2000-04-11,3.75,3.813,3.75,3.75,1.0829,15300.0,0.0,1.0
2000-04-12,3.75,3.938,3.75,3.875,1.119,23200.0,0.0,1.0
2000-04-13,3.813,3.938,3.813,3.813,1.1011,50900.0,0.0,1.0
2000-04-14,3.75,3.813,3.5,3.563,1.0289,61800.0,0.0,1.0
2000-04-17,3.563,3.688,3.563,3.688,1.065,92800.0,0.0,1.0
2000-04-18,3.625,3.813,3.625,3.75,1.0829,24200.0,0.0,1.0
2000-04-19,3.75,3.875,3.75,3.813,1.1011,11100.0,0.0,1.0
2000-04-20,3.875,3.875,3.813,3.813,1.1011,10700.0,0.0,1.0
