date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,4.25,4.25,3.94,3.94,3.42,2461900.0,0.0,1.0
2000-01-04,3.938,5.0,3.875,4.688,4.0693,7660300.0,0.0,1.0
2000-01-05,4.75,4.75,4.125,4.625,4.0146,3944600.0,0.0,1.0
2000-01-06,4.5,4.688,4.313,4.563,3.9608,2468400.0,0.0,1.0
2000-01-07,4.625,5.625,4.625,5.625,4.8827,9783000.0,0.0,1.0
2000-01-10,5.5,5.563,5.0,5.0,4.3402,4961300.0,0.0,1.0
2000-01-11,4.875,5.125,4.5,4.625,4.0146,4393600.0,0.0,1.0
2000-01-12,4.938,5.0,4.0,4.563,3.9608,3791800.0,0.0,1.0
2000-01-13,4.75,4.875,4.25,4.313,3.7438,2919000.0,0.0,1.0
2000-01-14,4.375,4.75,4.313,4.5,3.9061,2952200.0,0.0,1.0
2000-01-18,4.875,5.25,4.563,5.125,4.4487,4523500.0,0.0,1.0
2000-01-19,5.063,6.688,5.0,6.688,5.8054,7651500.0,0.0,1.0
2000-01-20,6.375,6.375,5.313,5.563,4.8289,8872700.0,0.0,1.0
2000-01-21,5.5,5.563,5.0,5.125,4.4487,3447300.0,0.0,1.0
2000-01-24,5.313,5.375,4.75,4.75,4.1231,3333300.0,0.0,1.0
2000-01-25,4.875,5.5,4.75,5.5,4.7742,3379800.0,0.0,1.0
2000-01-26,5.25,5.75,4.938,5.75,4.9912,2750500.0,0.0,1.0
2000-01-27,5.125,5.375,4.625,4.625,4.0146,3692800.0,0.0,1.0
2000-01-28,4.75,5.125,4.688,5.0,4.3402,2153600.0,0.0,1.0
2000-01-31,4.938,4.938,4.625,4.75,4.1231,1273400.0,0.0,1.0
2000-02-01,4.75,4.813,4.563,4.688,4.0693,1669000.0,0.0,1.0
2000-02-02,4.625,4.75,4.563,4.75,4.1231,1297000.0,0.0,1.0
2000-02-03,4.688,5.188,4.625,5.063,4.3948,3049900.0,0.0,1.0
2000-02-04,5.188,5.25,4.875,5.063,4.3948,2031000.0,0.0,1.0
2000-02-07,5.063,5.5,5.0,5.25,4.5572,2992100.0,0.0,1.0
2000-02-08,5.25,5.563,5.0,5.125,4.4487,3046000.0,0.0,1.0
2000-02-09,5.125,5.188,4.875,5.0,4.3402,1744700.0,0.0,1.0
2000-02-10,5.0,5.0,4.75,4.813,4.1778,2456600.0,0.0,1.0
2000-02-11,4.813,4.938,4.25,4.938,4.2863,2678600.0,0.0,1.0
2000-02-14,4.688,4.75,4.625,4.688,4.0693,1473100.0,0.0,1.0
2000-02-15,4.625,4.688,4.5,4.5,3.9061,1696700.0,0.0,1.0
2000-02-16,4.625,4.625,4.5,4.5,3.9061,1352600.0,0.0,1.0
2000-02-17,4.563,4.688,4.5,4.5,3.9061,1742400.0,0.0,1.0
2000-02-18,4.563,4.563,4.313,4.313,3.7438,1762300.0,0.0,1.0
2000-02-22,4.313,4.5,4.25,4.25,3.6891,1633300.0,0.0,1.0
2000-02-23,4.313,4.313,4.125,4.313,3.7438,1791000.0,0.0,1.0
