date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,19.5,19.5,19.06,19.06,5.2003,296400.0,0.0,1.0
2000-01-04,19.0,19.25,18.94,19.19,5.2358,267900.0,0.0,1.0
2000-01-05,19.25,20.25,19.19,20.13,5.4922,354200.0,0.0,1.0
2000-01-06,20.31,20.31,19.88,20.0,5.4568,340200.0,0.0,1.0
2000-01-07,20.06,20.31,20.0,20.25,5.525,188100.0,0.0,1.0
2000-01-10,20.5,20.5,20.13,20.25,5.525,455700.0,0.0,1.0
2000-01-11,20.38,20.38,20.0,20.0,5.4568,475300.0,0.0,1.0
2000-01-12,20.13,20.44,20.13,20.38,5.5605,314200.0,0.0,1.0
2000-01-13,20.5,20.5,20.13,20.19,5.5086,242600.0,0.0,1.0
2000-01-14,20.31,20.31,19.88,19.88,5.424,314400.0,0.0,1.0
2000-01-18,19.88,19.94,19.31,19.5,5.3204,302600.0,0.0,1.0
2000-01-19,19.63,20.0,19.5,20.0,5.4568,191000.0,0.0,1.0
2000-01-20,19.88,20.0,19.75,19.88,5.424,237600.0,0.0,1.0
2000-01-21,19.94,20.44,19.88,20.31,5.5414,310400.0,0.0,1.0
2000-01-24,20.38,20.63,20.31,20.31,5.5414,440400.0,0.0,1.0
2000-01-25,20.31,20.44,20.06,20.19,5.5086,376200.0,0.0,1.0
2000-01-26,20.13,20.31,20.06,20.13,5.4922,234300.0,0.0,1.0
2000-01-27,20.19,20.25,19.81,20.0,5.4568,283300.0,0.0,1.0
2000-01-28,20.25,20.25,19.56,19.81,5.4049,426100.0,0.0,1.0
2000-01-31,19.88,19.94,19.75,19.75,5.3886,393400.0,0.0,1.0
2000-02-01,19.88,20.0,19.69,19.88,5.424,233700.0,0.0,1.0
2000-02-02,20.13,20.31,20.0,20.19,5.5086,250600.0,0.0,1.0
2000-02-03,20.25,21.19,20.19,20.94,5.7132,397900.0,0.0,1.0
2000-02-04,20.75,20.81,20.13,20.38,5.5605,237100.0,0.0,1.0
2000-02-07,20.38,20.38,19.75,19.75,5.3886,421000.0,0.0,1.0
2000-02-08,20.13,20.44,20.0,20.06,5.4731,210400.0,0.0,1.0
2000-02-09,20.0,20.25,19.94,20.06,5.4731,2794400.0,0.0,1.0
2000-02-10,19.63,19.94,19.13,19.31,5.3749,537900.0,0.39,1.0
2000-02-11,19.38,19.5,18.81,18.88,5.2552,446100.0,0.0,1.0
2000-02-14,18.94,19.0,18.88,19.0,5.2886,303900.0,0.0,1.0
2000-02-15,19.0,19.0,18.88,18.88,5.2552,291000.0,0.0,1.0
2000-02-16,18.81,18.88,18.75,18.81,5.2357,197400.0,0.0,1.0
2000-02-17,18.88,18.94,18.69,18.88,5.2552,222200.0,0.0,1.0
2000-02-18,18.75,18.88,18.44,18.69,5.2023,171900.0,0.0,1.0
2000-02-22,18.81,18.81,18.56,18.56,5.1662,248700.0,0.0,1.0
2000-02-23,18.63,18.63,18.25,18.44,5.1328,259500.0,0.0,1.0
2000-02-24,18.44,18.5,17.44,17.63,4.9073,440300.0,0.0,1.0
2000-02-25,17.5,17.69,17.38,17.5,4.8711,592800.0,0.0,1.0
2000-02-28,17.5,17.75,17.31,17.69,4.924,686400.0,0.0,1.0
2000-02-29,17.75,17.81,17.56,17.69,4.924,373700.0,0.0,1.0
2000-03-01,17.69,17.75,17.38,17.38,4.8377,257500.0,0.0,1.0
2000-03-02,17.69,17.94,17.56,17.88,4.9769,262000.0,0.0,1.0
2000-03-03,17.88,17.94,17.63,17.69,4.924,264400.0,0.0,1.0
2000-03-06,17.69,17.75,17.0,17.06,4.7486,430300.0,0.0,1.0
2000-03-07,17.06,17.31,17.06,17.13,4.7681,443600.0,0.0,1.0
2000-03-08,17.31,17.38,16.81,16.81,4.679,622300.0,0.0,1.0
2000-03-09,16.88,17.31,16.88,17.19,4.7848,309700.0,0.0,1.0
2000-03-10,17.19,17.31,17.0,17.13,4.7681,231100.0,0.0,1.0
2000-03-13,17.19,17.25,17.0,17.19,4.7848,213400.0,0.0,1.0
2000-03-14,17.19,17.44,17.06,17.31,4.8182,282300.0,0.0,1.0
2000-03-15,17.44,18.38,17.38,18.0,5.0103,378400.0,0.0,1.0
2000-03-16,18.5,19.5,18.38,19.19,5.3415,489500.0,0.0,1.0
2000-03-17,18.94,19.31,18.56,19.0,5.2886,335500.0,0.0,1.0
2000-03-20,19.06,19.25,19.0,19.0,5.2886,160500.0,0.0,1.0
2000-03-21,19.06,19.19,19.0,19.13,5.3248,222100.0,0.0,1.0
2000-03-22,19.06,19.13,18.06,18.44,5.1328,630800.0,0.0,1.0
2000-03-23,18.56,18.75,18.5,18.75,5.219,367400.0,0.0,1.0
2000-03-24,18.75,18.94,18.63,18.63,5.1856,173000.0,0.0,1.0
2000-03-27,18.56,18.88,18.56,18.75,5.219,262700.0,0.0,1.0
2000-03-28,18.81,18.94,18.56,18.81,5.2357,248600.0,0.0,1.0
2000-03-29,19.0,19.31,19.0,19.31,5.3749,327300.0,0.0,1.0
2000-03-30,19.38,19.94,19.38,19.63,5.464,313600.0,0.0,1.0
2000-03-31,19.81,19.94,19.56,19.94,5.5503,403700.0,0.0,1.0
2000-04-03,19.94,20.13,19.81,20.13,5.6032,453200.0,0.0,1.0
2000-04-04,20.0,20.56,20.0,20.19,5.6199,456400.0,0.0,1.0
2000-04-05,20.25,20.88,20.13,20.44,5.6895,271700.0,0.0,1.0
2000-04-06,20.5,20.75,20.13,20.31,5.6533,208500.0,0.0,1.0
2000-04-07,20.06,20.31,19.88,20.06,5.5837,172300.0,0.0,1.0
2000-04-10,20.06,20.44,19.81,20.38,5.6728,202200.0,0.0,1.0
2000-04-11,20.44,20.63,20.31,20.56,5.7229,243100.0,0.0,1.0
2000-04-12,20.63,21.25,20.56,20.94,5.8286,237100.0,0.0,1.0
2000-04-13,20.63,21.5,20.63,21.44,5.9678,243300.0,0.0,1.0
2000-04-14,21.5,21.63,20.75,20.88,5.8119,215500.0,0.0,1.0
2000-04-17,20.88,21.25,20.44,21.25,5.9149,289000.0,0.0,1.0
2000-04-18,21.31,21.31,20.94,21.25,5.9149,175400.0,0.0,1.0
2000-04-19,21.13,21.19,20.5,21.06,5.862,307800.0,0.0,1.0
2000-04-20,21.06,21.13,20.75,20.88,5.8119,536100.0,0.0,1.0
2000-04-24,20.94,21.81,20.88,21.56,6.0012,296200.0,0.0,1.0
2000-04-25,21.56,22.56,21.56,22.44,6.2462,400400.0,0.0,1.0
2000-04-26,22.5,22.94,22.44,22.81,6.3491,308500.0,0.0,1.0
2000-04-27,22.5,22.56,21.69,21.81,6.0708,520300.0,0.0,1.0
2000-04-28,21.75,21.75,21.25,21.38,5.9511,306800.0,0.0,1.0
2000-05-01,21.38,21.5,21.06,21.5,5.9845,336700.0,0.0,1.0
2000-05-02,21.19,21.25,20.25,20.31,5.6533,893900.0,0.0,1.0
2000-05-03,20.44,20.56,20.19,20.5,5.7062,404200.0,0.0,1.0
2000-05-04,20.5,20.81,20.31,20.81,5.7924,466700.0,0.0,1.0
2000-05-05,20.81,20.81,20.19,20.25,5.6366,371400.0,0.0,1.0
2000-05-08,20.5,21.31,20.38,21.0,5.8453,429000.0,0.0,1.0
2000-05-09,21.19,21.25,20.88,21.25,5.9149,2868400.0,0.0,1.0
2000-05-10,21.0,21.0,20.81,20.88,5.9205,446200.0,0.39,1.0
2000-05-11,20.88,21.25,20.88,21.25,6.0254,250000.0,0.0,1.0
2000-05-12,21.25,21.31,20.63,20.75,5.8836,170200.0,0.0,1.0
2000-05-15,20.94,21.19,20.63,20.81,5.9006,229100.0,0.0,1.0
2000-05-16,20.94,20.94,20.63,20.94,5.9375,174700.0,0.0,1.0
2000-05-17,20.88,20.88,20.06,20.31,5.7589,220300.0,0.0,1.0
2000-05-18,20.5,20.94,20.19,20.5,5.8127,185500.0,0.0,1.0
2000-05-19,20.56,20.88,20.38,20.56,5.8298,262900.0,0.0,1.0
2000-05-22,20.69,21.19,20.56,20.94,5.9375,241300.0,0.0,1.0
2000-05-23,21.0,21.06,20.75,20.81,5.9006,225300.0,0.0,1.0
2000-05-24,20.81,21.44,20.81,21.06,5.9715,360000.0,0.0,1.0
2000-05-25,21.13,21.19,20.69,20.75,5.8836,190800.0,0.0,1.0
2000-05-26,21.0,21.44,20.94,21.19,6.0084,349800.0,0.0,1.0
2000-05-30,21.19,21.31,20.56,20.88,5.9205,195200.0,0.0,1.0
2000-05-31,21.13,21.25,21.0,21.13,5.9914,244600.0,0.0,1.0
2000-06-01,21.25,21.25,20.94,21.06,5.9715,245000.0,0.0,1.0
2000-06-02,21.25,21.38,20.63,20.63,5.8496,457800.0,0.0,1.0
2000-06-05,20.63,20.69,20.0,20.25,5.7419,252400.0,0.0,1.0
2000-06-06,20.19,20.63,20.19,20.38,5.7787,238500.0,0.0,1.0
2000-06-07,20.5,20.56,20.38,20.44,5.7957,191700.0,0.0,1.0
2000-06-08,20.19,20.31,20.13,20.19,5.7248,282200.0,0.0,1.0
2000-06-09,20.25,20.75,20.25,20.56,5.8298,234900.0,0.0,1.0
2000-06-12,20.69,20.81,20.5,20.69,5.8666,154100.0,0.0,1.0
2000-06-13,20.56,20.81,20.56,20.69,5.8666,177700.0,0.0,1.0
2000-06-14,20.81,20.94,20.63,20.69,5.8666,248600.0,0.0,1.0
2000-06-15,20.44,21.38,20.44,21.19,6.0084,275300.0,0.0,1.0
2000-06-16,20.88,21.25,20.88,21.13,5.9914,273900.0,0.0,1.0
2000-06-19,21.0,21.19,20.75,20.81,5.9006,216800.0,0.0,1.0
2000-06-20,20.81,21.0,20.44,20.63,5.8496,254800.0,0.0,1.0
2000-06-21,20.63,20.69,20.13,20.25,5.7419,1034700.0,0.0,1.0
2000-06-22,20.31,20.44,19.88,19.88,5.6369,223100.0,0.0,1.0
2000-06-23,20.13,20.5,20.06,20.38,5.7787,220600.0,0.0,1.0
2000-06-26,20.38,20.38,20.19,20.25,5.7419,217500.0,0.0,1.0
2000-06-27,20.31,21.06,20.19,20.5,5.8127,600900.0,0.0,1.0
2000-06-28,20.56,20.88,20.25,20.88,5.9205,234900.0,0.0,1.0
2000-06-29,20.81,20.94,20.56,20.69,5.8666,286700.0,0.0,1.0
2000-06-30,20.69,21.19,19.81,19.81,5.6171,560200.0,0.0,1.0
2000-07-03,20.0,20.75,20.0,20.44,5.7957,124700.0,0.0,1.0
2000-07-05,20.5,20.94,20.19,20.19,5.7248,175400.0,0.0,1.0
2000-07-06,20.19,20.69,20.13,20.63,5.8496,198200.0,0.0,1.0
2000-07-07,20.63,20.69,20.5,20.63,5.8496,188200.0,0.0,1.0
2000-07-10,20.44,21.06,20.44,20.94,5.9375,151200.0,0.0,1.0
2000-07-11,20.75,21.0,20.75,21.0,5.9545,226900.0,0.0,1.0
2000-07-12,21.0,21.19,20.94,21.0,5.9545,161800.0,0.0,1.0
2000-07-13,21.06,21.13,20.94,21.0,5.9545,307900.0,0.0,1.0
2000-07-14,21.13,21.19,20.56,20.75,5.8836,265100.0,0.0,1.0
2000-07-17,20.81,20.88,20.56,20.63,5.8496,156500.0,0.0,1.0
2000-07-18,20.81,20.94,20.69,20.69,5.8666,160700.0,0.0,1.0
2000-07-19,20.81,21.13,20.69,20.88,5.9205,199300.0,0.0,1.0
2000-07-20,20.75,20.94,20.63,20.63,5.8496,168200.0,0.0,1.0
