date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-02-26,54.61,54.67,53.42,54.4,53.5635,2582871.0,0.0,1.0
2018-02-27,54.35,54.71,52.22,52.22,51.417,3190327.0,0.0,1.0
2018-02-28,54.9,54.9,51.85,52.5,51.6927,3342649.0,0.0,1.0
2018-03-01,52.05,53.4382,51.63,52.65,51.8404,2684605.0,0.0,1.0
2018-03-02,52.48,53.01,52.1,52.93,52.1161,2385856.0,0.0,1.0
2018-03-05,52.65,54.21,52.65,54.07,53.2386,3113707.0,0.0,1.0
2018-03-06,53.63,53.92,52.28,52.86,52.0472,3070529.0,0.0,1.0
2018-03-07,52.78,54.07,52.65,53.97,53.1401,2579971.0,0.0,1.0
2018-03-08,53.93,54.09,53.34,53.57,52.7463,2198055.0,0.0,1.0
2018-03-09,53.71,53.71,53.06,53.56,52.7364,2120678.0,0.0,1.0
2018-03-12,53.51,54.82,53.3,54.73,53.8884,2789172.0,0.0,1.0
2018-03-13,55.13,55.24,53.65,53.76,52.9334,2989427.0,0.0,1.0
2018-03-14,53.79,54.11,53.1186,53.53,52.7069,1845136.0,0.0,1.0
2018-03-15,53.64,53.95,53.5,53.75,52.9235,2168171.0,0.0,1.0
2018-03-16,53.62,54.18,53.39,54.0,53.1697,3555101.0,0.0,1.0
2018-03-19,53.88,54.09,52.835,53.25,52.4312,1828231.0,0.0,1.0
2018-03-20,53.29,53.84,52.99,53.15,52.3327,2295628.0,0.0,1.0
2018-03-21,52.94,53.2,51.87,52.45,51.6435,3051611.0,0.0,1.0
2018-03-22,52.42,54.1499,52.33,52.75,51.9389,2691437.0,0.0,1.0
2018-03-23,52.85,53.06,51.87,52.03,51.23,2421829.0,0.0,1.0
2018-03-26,52.38,52.5,51.9,52.14,51.3383,1648553.0,0.0,1.0
2018-03-27,52.14,53.95,51.72,53.28,52.4607,2085483.0,0.0,1.0
2018-03-28,53.46,55.42,53.41,54.86,54.0164,3770609.0,0.0,1.0
2018-03-29,54.85,54.86,54.03,54.43,53.5931,2897364.0,0.0,1.0
2018-04-02,54.37,54.54,53.645,53.97,53.1401,2311956.0,0.0,1.0
2018-04-03,54.16,54.16,52.8,53.75,52.9235,2906410.0,0.0,1.0
2018-04-04,53.57,55.5135,53.39,55.16,54.3118,2637255.0,0.0,1.0
2018-04-05,55.01,55.01,53.91,54.73,53.8884,2565736.0,0.0,1.0
2018-04-06,54.97,55.87,54.72,55.01,54.1641,2814139.0,0.0,1.0
2018-04-09,55.01,55.01,53.9601,54.49,53.6521,2129041.0,0.0,1.0
2018-04-10,54.62,54.71,53.88,54.0,53.1697,2183477.0,0.0,1.0
