date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,64.31,64.44,61.69,61.81,39.4251,294400.0,0.0,1.0
2000-01-04,61.56,62.19,58.94,59.44,37.9135,472600.0,0.0,1.0
2000-01-05,59.44,60.5,59.31,59.94,38.2324,419500.0,0.0,1.0
2000-01-06,60.19,61.63,59.69,60.81,38.7873,266600.0,0.0,1.0
2000-01-07,60.94,61.56,60.38,61.0,38.9085,298400.0,0.0,1.0
2000-01-10,61.25,62.69,61.13,61.75,39.3869,212700.0,0.0,1.0
2000-01-11,62.0,64.56,62.0,64.0,40.822,309500.0,0.0,1.0
2000-01-12,63.75,63.81,61.75,61.75,39.3869,357100.0,0.0,1.0
2000-01-13,62.0,62.25,61.25,61.44,39.1891,174500.0,0.0,1.0
2000-01-14,61.5,62.19,61.13,61.19,39.0297,239500.0,0.0,1.0
2000-01-18,60.0,60.31,59.25,59.31,37.8305,233500.0,0.0,1.0
2000-01-19,61.5,63.19,59.63,59.63,38.0346,548000.0,0.0,1.0
2000-01-20,59.88,60.56,59.13,59.5,37.9517,471900.0,0.0,1.0
2000-01-21,56.0,58.0,52.25,57.5,36.676,2453200.0,0.0,1.0
2000-01-24,57.75,59.94,57.38,57.94,36.9567,894400.0,0.0,1.0
2000-01-25,57.94,58.38,51.75,53.63,34.2076,1122600.0,0.0,1.0
2000-01-26,55.06,59.94,55.0,59.88,38.1941,920900.0,0.0,1.0
2000-01-27,59.63,60.25,56.44,56.69,36.1594,895100.0,0.0,1.0
2000-01-28,55.38,58.56,55.38,56.75,36.1977,375500.0,0.0,1.0
2000-01-31,56.5,58.75,56.25,58.25,37.1544,391500.0,0.0,1.0
2000-02-01,58.25,60.44,58.25,59.69,38.0729,531500.0,0.0,1.0
2000-02-02,59.44,59.5,57.56,57.63,36.759,468300.0,0.0,1.0
2000-02-03,57.56,58.25,57.06,57.56,36.7143,355000.0,0.0,1.0
2000-02-04,57.81,57.81,56.31,56.38,35.9617,300100.0,0.0,1.0
2000-02-07,56.38,57.25,55.0,55.56,35.4386,495300.0,0.0,1.0
2000-02-08,55.81,56.19,54.38,54.38,34.686,372300.0,0.0,1.0
2000-02-09,55.06,55.38,54.69,54.94,35.0432,355200.0,0.0,1.0
2000-02-10,55.0,55.44,54.13,54.38,34.686,288900.0,0.0,1.0
2000-02-11,54.94,55.38,52.63,52.75,33.6463,253400.0,0.0,1.0
2000-02-14,51.75,53.88,50.5,52.94,33.7675,741400.0,0.0,1.0
2000-02-15,53.06,54.06,51.94,52.69,33.608,711000.0,0.0,1.0
2000-02-16,53.06,54.13,53.0,53.75,34.2841,493300.0,0.0,1.0
2000-02-17,54.0,58.44,54.0,57.0,36.3571,575000.0,0.0,1.0
2000-02-18,56.38,56.69,54.44,54.5,34.7625,487000.0,0.0,1.0
2000-02-22,54.5,55.25,54.25,54.56,34.8008,473400.0,0.0,1.0
2000-02-23,54.56,54.94,54.13,54.19,34.5648,467700.0,0.0,1.0
2000-02-24,54.19,54.69,52.56,54.25,34.603,673400.0,0.0,1.0
2000-02-25,53.88,54.44,53.31,53.38,34.265,699900.0,0.34,1.0
2000-02-28,53.88,54.0,52.88,53.63,34.4255,291900.0,0.0,1.0
2000-02-29,53.13,55.0,53.13,54.31,34.862,486000.0,0.0,1.0
2000-03-01,54.31,54.44,51.75,53.44,34.3035,317000.0,0.0,1.0
2000-03-02,53.19,53.38,51.13,51.5,33.0582,353200.0,0.0,1.0
2000-03-03,51.56,53.25,51.31,52.19,33.5011,543900.0,0.0,1.0
2000-03-06,52.13,52.81,52.13,52.31,33.5781,321400.0,0.0,1.0
2000-03-07,52.06,53.63,50.25,50.44,32.3778,329400.0,0.0,1.0
2000-03-08,50.75,51.0,48.63,49.63,31.8578,392600.0,0.0,1.0
2000-03-09,49.63,52.19,49.19,51.69,33.1802,583700.0,0.0,1.0
2000-03-10,51.94,52.44,49.5,50.06,32.1339,276400.0,0.0,1.0
2000-03-13,49.5,50.63,49.0,49.56,31.8129,388000.0,0.0,1.0
2000-03-14,49.81,50.44,48.88,48.88,31.3764,409500.0,0.0,1.0
2000-03-15,49.13,56.38,49.13,54.06,34.7015,650600.0,0.0,1.0
2000-03-16,56.0,58.63,55.44,58.44,37.513,844400.0,0.0,1.0
2000-03-17,58.38,59.75,57.0,57.06,36.6272,581700.0,0.0,1.0
2000-03-20,57.19,57.69,55.13,56.88,36.5117,486600.0,0.0,1.0
2000-03-21,56.88,61.94,56.75,60.38,38.7583,611700.0,0.0,1.0
2000-03-22,59.38,59.63,56.38,57.63,36.9931,451700.0,0.0,1.0
2000-03-23,57.88,59.13,57.0,58.0,37.2306,237600.0,0.0,1.0
2000-03-24,58.0,59.25,56.75,56.81,36.4667,301200.0,0.0,1.0
2000-03-27,56.88,58.19,56.5,56.5,36.2677,311300.0,0.0,1.0
2000-03-28,55.88,57.88,55.75,56.19,36.0687,240600.0,0.0,1.0
2000-03-29,55.94,59.69,55.75,58.94,37.834,320500.0,0.0,1.0
2000-03-30,59.06,62.0,59.0,59.69,38.3154,359800.0,0.0,1.0
2000-03-31,59.94,60.56,58.63,58.63,37.635,325300.0,0.0,1.0
2000-04-03,58.81,61.31,58.75,59.38,38.1164,480700.0,0.0,1.0
2000-04-04,60.44,64.0,59.94,62.06,39.8367,563600.0,0.0,1.0
2000-04-05,61.5,63.13,60.5,60.63,38.9188,315800.0,0.0,1.0
2000-04-06,60.38,61.94,60.13,60.75,38.9958,361400.0,0.0,1.0
2000-04-07,60.63,60.81,59.19,60.19,38.6364,202900.0,0.0,1.0
2000-04-10,60.13,62.0,60.0,61.5,39.4773,229200.0,0.0,1.0
2000-04-11,61.75,62.94,60.94,61.31,39.3553,268900.0,0.0,1.0
2000-04-12,61.56,64.5,61.56,63.88,41.005,426600.0,0.0,1.0
2000-04-13,64.0,64.75,63.75,64.0,41.082,499100.0,0.0,1.0
2000-04-14,64.25,64.38,61.13,61.5,39.4773,455900.0,0.0,1.0
2000-04-17,61.38,62.25,60.56,61.0,39.1563,298300.0,0.0,1.0
2000-04-18,61.0,61.0,59.38,60.19,38.6364,377700.0,0.0,1.0
2000-04-19,60.63,61.0,57.25,58.06,37.2691,662900.0,0.0,1.0
2000-04-20,58.0,62.94,58.0,61.75,39.6377,625200.0,0.0,1.0
2000-04-24,61.63,65.88,61.56,64.13,41.1655,518800.0,0.0,1.0
2000-04-25,65.13,67.44,64.44,66.63,42.7702,701100.0,0.0,1.0
2000-04-26,66.56,67.56,65.25,66.25,42.5263,657900.0,0.0,1.0
2000-04-27,64.5,65.69,64.06,64.38,41.326,503000.0,0.0,1.0
2000-04-28,64.63,66.88,64.5,65.13,41.8074,545500.0,0.0,1.0
2000-05-01,66.44,68.0,65.56,67.0,43.0078,476300.0,0.0,1.0
2000-05-02,67.06,68.31,65.94,66.5,42.6868,504000.0,0.0,1.0
2000-05-03,65.88,68.19,65.88,67.25,43.1682,509600.0,0.0,1.0
2000-05-04,67.13,67.81,65.0,65.0,41.7239,329300.0,0.0,1.0
2000-05-05,64.75,67.75,64.44,66.81,42.8858,263500.0,0.0,1.0
2000-05-08,67.06,67.19,62.88,63.25,40.6006,399300.0,0.0,1.0
2000-05-09,64.5,65.34,62.56,63.5,40.7611,445100.0,0.0,1.0
2000-05-10,63.63,64.25,61.69,61.88,39.7212,298800.0,0.0,1.0
2000-05-11,62.25,66.13,62.13,65.69,42.1669,291500.0,0.0,1.0
2000-05-12,65.56,65.69,63.5,63.75,40.9216,252400.0,0.0,1.0
2000-05-15,63.63,65.19,63.19,65.06,41.7625,304000.0,0.0,1.0
2000-05-16,64.69,67.13,64.69,65.13,42.0256,321300.0,0.34,1.0
2000-05-17,64.5,64.75,62.63,63.06,40.69,289400.0,0.0,1.0
2000-05-18,64.0,65.75,63.75,64.88,41.8643,246400.0,0.0,1.0
2000-05-19,63.75,63.81,61.63,61.94,39.9673,576800.0,0.0,1.0
2000-05-22,62.0,62.69,60.63,61.13,39.4446,352900.0,0.0,1.0
2000-05-23,61.38,62.94,61.38,61.75,39.8447,200300.0,0.0,1.0
2000-05-24,61.63,63.63,60.5,62.63,40.4125,364400.0,0.0,1.0
2000-05-25,62.38,63.25,60.38,61.0,39.3607,355600.0,0.0,1.0
2000-05-26,61.0,61.0,58.63,59.0,38.0702,498200.0,0.0,1.0
2000-05-30,60.13,60.94,59.31,60.69,39.1607,337400.0,0.0,1.0
2000-05-31,60.0,60.75,56.69,56.69,36.5797,516300.0,0.0,1.0
2000-06-01,56.94,57.25,56.38,56.56,36.4958,666900.0,0.0,1.0
2000-06-02,57.0,61.13,56.88,59.75,38.5542,378800.0,0.0,1.0
2000-06-05,59.75,60.44,57.25,58.38,37.6701,330500.0,0.0,1.0
2000-06-06,57.88,57.94,54.56,55.3,35.6828,926500.0,0.0,1.0
2000-06-07,55.81,56.25,53.44,53.94,34.8052,724900.0,0.0,1.0
2000-06-08,54.06,55.13,54.06,54.19,34.9665,186000.0,0.0,1.0
2000-06-09,54.88,55.38,53.69,54.38,35.0891,330500.0,0.0,1.0
2000-06-12,54.38,56.5,54.38,55.25,35.6505,378100.0,0.0,1.0
2000-06-13,55.0,55.31,53.31,53.44,34.4826,900100.0,0.0,1.0
2000-06-14,53.56,56.0,53.38,53.81,34.7213,450100.0,0.0,1.0
2000-06-15,53.81,54.25,52.5,53.38,34.4439,408500.0,0.0,1.0
2000-06-16,53.25,53.31,50.69,51.5,33.2308,479100.0,0.0,1.0
2000-06-19,51.25,51.63,50.0,50.63,32.6694,748800.0,0.0,1.0
2000-06-20,51.0,51.0,49.19,49.56,31.979,576300.0,0.0,1.0
2000-06-21,49.75,49.94,48.5,48.63,31.3789,437900.0,0.0,1.0
2000-06-22,48.75,51.63,48.69,50.56,32.6242,601000.0,0.0,1.0
2000-06-23,50.63,51.88,50.0,51.44,33.1921,361500.0,0.0,1.0
2000-06-26,51.44,52.25,49.5,49.5,31.9403,370100.0,0.0,1.0
2000-06-27,50.38,52.38,50.38,51.88,33.476,265600.0,0.0,1.0
2000-06-28,52.5,53.06,50.88,51.36,33.1404,305800.0,0.0,1.0
2000-06-29,51.38,52.81,50.88,50.88,32.8307,421700.0,0.0,1.0
2000-06-30,49.25,51.38,46.61,46.63,30.0884,1455400.0,0.0,1.0
2000-07-03,47.25,50.94,47.25,50.5,32.5855,417100.0,0.0,1.0
2000-07-05,50.63,51.56,49.88,49.94,32.2242,396900.0,0.0,1.0
2000-07-06,49.69,51.63,49.69,51.0,32.9081,431600.0,0.0,1.0
2000-07-07,51.0,51.81,50.0,50.5,32.5855,247800.0,0.0,1.0
2000-07-10,50.69,52.94,50.69,52.56,33.9147,278800.0,0.0,1.0
2000-07-11,52.0,53.75,52.0,53.69,34.6439,337000.0,0.0,1.0
2000-07-12,53.25,53.38,52.0,53.31,34.3987,543200.0,0.0,1.0
2000-07-13,53.25,54.06,52.75,54.06,34.8826,480700.0,0.0,1.0
2000-07-14,53.88,53.94,52.75,53.25,34.36,196400.0,0.0,1.0
2000-07-17,52.63,54.06,52.06,54.06,34.8826,354300.0,0.0,1.0
2000-07-18,49.5,50.94,49.06,49.38,31.8628,1390100.0,0.0,1.0
2000-07-19,49.38,49.63,47.5,48.13,31.0563,659300.0,0.0,1.0
2000-07-20,47.88,48.75,47.31,48.0,30.9724,729300.0,0.0,1.0
2000-07-21,47.63,48.13,47.25,47.69,30.7723,527900.0,0.0,1.0
2000-07-24,47.44,48.75,46.69,46.94,30.2884,548000.0,0.0,1.0
2000-07-25,44.88,44.94,41.0,43.13,27.83,2039500.0,0.0,1.0
2000-07-26,43.25,43.81,41.0,41.44,26.7395,1374700.0,0.0,1.0
2000-07-27,41.5,42.06,40.06,40.5,26.1329,1368800.0,0.0,1.0
2000-07-28,40.75,41.31,40.56,40.88,26.3781,990400.0,0.0,1.0
2000-07-31,40.75,43.88,40.75,43.19,27.8687,613300.0,0.0,1.0
2000-08-01,42.25,43.06,42.19,42.31,27.3009,468200.0,0.0,1.0
2000-08-02,42.0,42.81,41.19,41.19,26.5782,480300.0,0.0,1.0
2000-08-03,41.19,41.5,40.38,40.75,26.2943,533700.0,0.0,1.0
2000-08-04,41.0,41.25,39.94,40.06,25.849,898000.0,0.0,1.0
2000-08-07,40.38,42.75,40.25,42.25,27.2621,623400.0,0.0,1.0
2000-08-08,41.25,43.88,41.25,42.63,27.5073,782300.0,0.0,1.0
2000-08-09,42.75,43.44,42.38,42.5,27.4235,412400.0,0.0,1.0
2000-08-10,42.69,43.69,42.19,42.38,27.346,379100.0,0.0,1.0
2000-08-11,42.38,43.44,42.38,43.19,27.8687,310800.0,0.0,1.0
2000-08-14,45.94,46.75,44.81,45.56,29.3979,1001300.0,0.0,1.0
2000-08-15,45.5,45.88,44.63,45.0,29.0366,454000.0,0.0,1.0
2000-08-16,45.0,45.44,44.5,44.75,28.8753,365100.0,0.0,1.0
2000-08-17,44.5,44.88,43.88,44.31,28.5914,282800.0,0.0,1.0
2000-08-18,44.81,44.94,43.63,43.63,28.1526,355900.0,0.0,1.0
2000-08-21,43.88,44.13,43.31,43.44,28.03,322600.0,0.0,1.0
2000-08-22,43.88,45.06,43.5,44.5,28.714,337400.0,0.0,1.0
2000-08-23,44.75,44.88,43.69,43.75,28.23,281700.0,0.0,1.0
2000-08-24,44.5,45.63,43.88,43.94,28.3526,953900.0,0.0,1.0
2000-08-25,43.81,43.88,42.63,42.81,27.6235,574700.0,0.0,1.0
2000-08-28,38.63,39.38,37.13,38.13,24.8231,2865800.0,0.34,1.0
2000-08-29,38.25,38.56,37.13,37.88,24.6603,1419800.0,0.0,1.0
2000-08-30,33.0,38.38,31.5,37.75,24.5757,2669900.0,0.0,1.0
2000-08-31,38.56,38.75,37.06,38.02,24.7515,1065600.0,0.0,1.0
2000-09-01,38.0,38.38,37.31,37.69,24.5366,774000.0,0.0,1.0
2000-09-05,37.5,39.0,37.31,38.44,25.0249,1252100.0,0.0,1.0
2000-09-06,38.56,41.13,38.56,40.5,26.366,1268200.0,0.0,1.0
2000-09-07,41.0,41.44,39.13,39.88,25.9623,743800.0,0.0,1.0
2000-09-08,39.81,40.25,39.5,39.81,25.9168,602600.0,0.0,1.0
2000-09-11,39.88,41.25,39.75,40.88,26.6133,558000.0,0.0,1.0
2000-09-12,40.63,40.81,39.56,39.94,26.0014,551200.0,0.0,1.0
2000-09-13,39.56,40.19,39.56,40.13,26.1251,413300.0,0.0,1.0
2000-09-14,39.88,40.56,39.31,39.56,25.754,478300.0,0.0,1.0
2000-09-15,38.5,39.81,38.5,38.81,25.2658,980000.0,0.0,1.0
2000-09-18,38.88,39.06,37.75,37.75,24.5757,369900.0,0.0,1.0
2000-09-19,37.5,39.25,37.5,38.88,25.3113,993200.0,0.0,1.0
2000-09-20,38.63,39.25,38.0,38.94,25.3504,925500.0,0.0,1.0
2000-09-21,38.81,39.94,38.81,39.5,25.715,877900.0,0.0,1.0
2000-09-22,39.5,39.88,39.31,39.75,25.8777,585300.0,0.0,1.0
2000-09-25,39.5,40.88,39.44,40.5,26.366,693600.0,0.0,1.0
2000-09-26,40.25,40.31,39.0,39.0,25.3894,973400.0,0.0,1.0
2000-09-27,39.0,39.56,39.0,39.25,25.5522,399100.0,0.0,1.0
2000-09-28,39.31,39.88,38.63,39.25,25.5522,586400.0,0.0,1.0
2000-09-29,39.63,39.75,38.56,38.88,25.3113,416200.0,0.0,1.0
2000-10-02,38.63,39.25,38.25,38.5,25.0639,406200.0,0.0,1.0
2000-10-03,38.5,38.81,38.13,38.19,24.8621,410900.0,0.0,1.0
2000-10-04,38.38,39.0,37.81,38.06,24.7775,786600.0,0.0,1.0
2000-10-05,38.13,38.38,37.75,37.88,24.6603,248900.0,0.0,1.0
2000-10-06,38.13,38.25,37.63,37.81,24.6147,362300.0,0.0,1.0
2000-10-09,37.88,38.25,37.63,37.81,24.6147,181100.0,0.0,1.0
2000-10-10,37.88,38.0,37.13,37.44,24.3739,258200.0,0.0,1.0
2000-10-11,37.44,37.75,36.5,36.69,23.8856,408300.0,0.0,1.0
2000-10-12,36.69,36.75,35.19,35.5,23.1109,348200.0,0.0,1.0
2000-10-13,35.06,36.31,35.0,35.94,23.3974,264900.0,0.0,1.0
2000-10-16,36.06,36.25,35.63,36.06,23.4755,234700.0,0.0,1.0
2000-10-17,35.69,36.06,34.56,34.81,22.6617,466800.0,0.0,1.0
2000-10-18,34.81,38.75,34.69,38.56,25.103,839400.0,0.0,1.0
2000-10-19,38.44,40.44,38.44,39.63,25.7996,651300.0,0.0,1.0
2000-10-20,39.0,40.56,38.75,40.44,26.3269,509200.0,0.0,1.0
2000-10-23,40.38,40.63,39.88,40.0,26.0405,192600.0,0.0,1.0
