date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-01-05,123.43,126.25,122.31,125.84,121.5981,2163572.0,0.0,1.0
2016-01-06,125.24,125.54,119.94,119.98,115.9357,2386461.0,0.0,1.0
2016-01-07,116.38,119.74,114.93,114.95,111.0752,2489451.0,0.0,1.0
2016-01-08,115.48,117.44,113.5,116.62,112.6889,2006267.0,0.0,1.0
2016-01-11,117.01,117.33,114.09,114.97,111.0946,1408550.0,0.0,1.0
2016-01-12,115.51,116.06,114.5,115.55,111.655,1098024.0,0.0,1.0
2016-01-13,116.46,117.065,112.59,112.85,109.046,949576.0,0.0,1.0
2016-01-14,113.51,115.03,110.05,114.38,110.5244,785469.0,0.0,1.0
2016-01-15,113.33,114.88,111.92,112.53,108.7368,1093741.0,0.0,1.0
2016-01-19,113.66,115.87,109.87,110.38,106.6593,1523527.0,0.0,1.0
2016-01-20,109.06,111.6,108.32,109.3,105.6157,1654181.0,0.0,1.0
2016-01-21,109.73,110.58,108.315,110.0,106.2921,944335.0,0.0,1.0
2016-01-22,111.88,112.949,110.19,111.95,108.1764,745066.0,0.0,1.0
2016-01-25,111.32,114.63,110.0,110.12,106.408,703799.0,0.0,1.0
2016-01-26,110.42,111.4,107.3025,111.0,107.2584,563603.0,0.0,1.0
2016-01-27,110.77,112.57,109.02,110.71,106.9782,896948.0,0.0,1.0
2016-01-28,110.9,112.97,109.9,112.58,108.7851,680420.0,0.0,1.0
2016-01-29,113.35,114.59,111.67,114.47,110.6114,749928.0,0.0,1.0
2016-02-01,114.0,114.85,112.9,114.5,110.6404,574170.0,0.0,1.0
2016-02-02,113.25,113.86,109.75,110.56,106.8332,694826.0,0.0,1.0
2016-02-03,113.38,114.64,109.64,114.05,110.2056,896326.0,0.0,1.0
2016-02-04,114.08,116.32,114.08,115.71,111.8096,956336.0,0.0,1.0
2016-02-05,115.12,116.49,109.71,114.02,110.1766,997061.0,0.0,1.0
2016-02-08,113.3,113.3,110.46,111.16,107.413,1200452.0,0.0,1.0
2016-02-09,111.17,112.108,109.64,110.65,106.9202,1725244.0,0.0,1.0
2016-02-10,106.73,112.1099,106.36,107.52,103.8957,1945964.0,0.0,1.0
2016-02-11,105.63,109.255,104.11,107.13,103.5188,1319536.0,0.0,1.0
2016-02-12,108.56,109.4275,107.07,107.84,104.2049,922402.0,0.0,1.0
2016-02-16,109.11,111.3,107.01,110.77,107.0361,1185091.0,0.0,1.0
2016-02-17,110.83,112.11,107.9699,111.24,107.4903,922004.0,0.0,1.0
2016-02-18,111.12,112.2,108.93,111.6,107.8382,441403.0,0.0,1.0
2016-02-19,111.37,112.395,107.28,110.33,106.611,1244745.0,0.0,1.0
2016-02-22,111.36,113.23,111.01,113.04,109.2296,681534.0,0.0,1.0
2016-02-23,112.37,112.8,111.35,111.89,108.1184,411236.0,0.0,1.0
2016-02-24,110.77,112.49,109.82,111.56,107.7995,447282.0,0.0,1.0
2016-02-25,111.6,112.99,110.75,112.88,109.075,559882.0,0.0,1.0
2016-02-26,113.34,114.18,111.01,112.75,108.9494,460167.0,0.0,1.0
2016-02-29,113.04,115.36,111.65,113.32,109.5002,971565.0,0.0,1.0
2016-03-01,114.27,115.57,112.65,115.51,111.6164,694078.0,0.0,1.0
2016-03-02,115.35,117.09,115.2,116.78,112.8435,1159689.0,0.0,1.0
2016-03-03,116.49,117.67,115.42,117.0,113.0561,884727.0,0.0,1.0
2016-03-04,116.61,117.48,115.5701,117.19,113.2397,692422.0,0.0,1.0
2016-03-07,116.05,117.48,115.99,116.95,113.0078,898185.0,0.0,1.0
2016-03-08,116.5,117.37,115.4501,116.71,112.7759,841579.0,0.0,1.0
2016-03-09,117.05,117.31,115.5,116.49,112.5633,796520.0,0.0,1.0
2016-03-10,116.91,118.0,114.14,116.82,112.8822,416820.0,0.0,1.0
2016-03-11,117.93,120.76,116.63,120.62,116.5541,590200.0,0.0,1.0
2016-03-14,120.42,121.04,118.6,120.63,116.5638,495103.0,0.0,1.0
