date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,17.75,17.88,17.31,17.38,8.0726,3833200.0,0.0,1.0
2000-01-04,17.31,18.0,17.13,17.31,8.0401,4736900.0,0.0,1.0
2000-01-05,17.25,17.63,17.19,17.31,8.0401,2676000.0,0.0,1.0
2000-01-06,17.38,17.38,16.69,17.25,8.0122,2428500.0,0.0,1.0
2000-01-07,17.19,17.25,16.5,16.56,7.6917,2461900.0,0.0,1.0
2000-01-10,16.88,16.88,16.38,16.63,7.7242,2145600.0,0.0,1.0
2000-01-11,16.56,16.62,16.12,16.44,7.636,1388000.0,0.0,1.0
2000-01-12,16.38,16.88,16.38,16.81,7.8078,1638400.0,0.0,1.0
2000-01-13,16.81,17.38,16.75,16.94,7.8682,2438200.0,0.0,1.0
2000-01-14,16.94,16.94,16.63,16.75,7.78,1205700.0,0.0,1.0
2000-01-18,16.88,17.06,16.69,16.75,7.78,1922400.0,0.0,1.0
2000-01-19,16.94,17.25,16.81,17.13,7.9565,1665300.0,0.0,1.0
2000-01-20,17.06,17.13,16.56,16.75,7.78,1770300.0,0.0,1.0
2000-01-21,17.06,17.06,16.56,16.63,7.7242,2491100.0,0.0,1.0
2000-01-24,16.75,16.88,16.19,16.31,7.5756,1929700.0,0.0,1.0
2000-01-25,16.13,16.5,15.75,16.06,7.4595,2462900.0,0.0,1.0
2000-01-26,16.5,17.0,16.31,16.56,7.6917,2689000.0,0.0,1.0
2000-01-27,17.06,17.81,16.81,17.31,8.0401,3919100.0,0.0,1.0
2000-01-28,17.63,18.06,17.38,17.69,8.2166,4148000.0,0.0,1.0
2000-01-31,17.75,18.0,17.38,17.5,8.1283,4220800.0,0.0,1.0
2000-02-01,17.5,17.69,17.13,17.5,8.1283,2508200.0,0.0,1.0
2000-02-02,17.5,17.63,17.25,17.38,8.0726,3076400.0,0.0,1.0
2000-02-03,17.63,18.5,17.38,18.13,8.4209,3936100.0,0.0,1.0
2000-02-04,18.25,18.31,17.5,17.81,8.2723,2430000.0,0.0,1.0
2000-02-07,17.81,17.81,17.38,17.38,8.0726,1812700.0,0.0,1.0
2000-02-08,17.56,17.63,16.5,16.75,7.78,2746800.0,0.0,1.0
2000-02-09,17.0,17.0,16.0,16.31,7.5756,2866300.0,0.0,1.0
2000-02-10,16.31,16.31,14.63,15.0,6.9671,8920800.0,0.0,1.0
2000-02-11,15.13,15.31,13.88,14.5,6.7349,7279600.0,0.0,1.0
2000-02-14,14.56,15.13,14.13,14.69,6.8231,1886600.0,0.0,1.0
2000-02-15,14.88,14.94,14.13,14.56,6.7628,3668100.0,0.0,1.0
2000-02-16,14.5,15.25,14.19,14.5,6.7349,3947000.0,0.0,1.0
2000-02-17,15.44,15.94,14.94,15.88,7.3759,2847000.0,0.0,1.0
2000-02-18,15.75,15.81,15.44,15.5,7.1994,2752600.0,0.0,1.0
2000-02-22,15.75,16.25,15.75,16.13,7.492,4359300.0,0.0,1.0
2000-02-23,16.13,16.25,15.75,15.75,7.3155,4033200.0,0.0,1.0
2000-02-24,15.94,16.0,15.5,15.75,7.3155,3297300.0,0.0,1.0
2000-02-25,15.31,15.69,15.19,15.25,7.0833,2252500.0,0.0,1.0
2000-02-28,15.31,15.44,14.81,15.0,6.9671,1811500.0,0.0,1.0
2000-02-29,15.13,15.19,14.75,15.0,6.9671,2533900.0,0.0,1.0
2000-03-01,15.13,15.25,14.63,14.75,6.851,2881500.0,0.0,1.0
2000-03-02,15.0,15.0,14.38,14.5,6.7349,2083600.0,0.0,1.0
2000-03-03,14.81,14.81,14.5,14.63,6.7953,2996500.0,0.0,1.0
2000-03-06,14.63,14.69,14.13,14.19,6.5909,2744400.0,0.0,1.0
2000-03-07,14.31,14.38,13.88,13.94,6.4748,3043900.0,0.0,1.0
2000-03-08,13.94,14.19,13.75,13.94,6.4748,2411500.0,0.0,1.0
2000-03-09,13.94,14.06,13.69,13.94,6.4748,2159000.0,0.0,1.0
2000-03-10,13.94,14.19,13.63,14.0,6.5027,3602400.0,0.0,1.0
2000-03-13,13.94,14.06,13.75,13.94,6.4748,2257200.0,0.0,1.0
2000-03-14,13.81,13.94,13.0,13.25,6.1543,2965900.0,0.0,1.0
2000-03-15,13.25,13.44,13.06,13.25,6.1543,2452900.0,0.0,1.0
2000-03-16,13.56,13.56,13.0,13.44,6.2426,4848300.0,0.0,1.0
2000-03-17,13.75,14.75,13.44,14.25,6.6188,6011700.0,0.0,1.0
2000-03-20,14.0,14.44,13.63,14.38,6.6792,1771000.0,0.0,1.0
2000-03-21,14.38,14.44,13.88,13.94,6.4748,2576000.0,0.0,1.0
2000-03-22,13.69,14.06,13.63,14.0,6.5027,3040500.0,0.0,1.0
2000-03-23,13.94,14.38,13.94,14.0,6.5027,2885500.0,0.0,1.0
2000-03-24,13.88,14.0,13.31,13.56,6.2983,3613400.0,0.0,1.0
2000-03-27,13.5,14.38,13.5,14.25,6.6188,3566100.0,0.0,1.0
2000-03-28,14.25,14.25,13.06,13.06,6.066,3799700.0,0.0,1.0
2000-03-29,13.81,14.25,13.38,14.13,6.563,4698100.0,0.0,1.0
2000-03-30,14.19,14.19,13.75,13.81,6.4144,4463300.0,0.0,1.0
2000-03-31,13.81,13.88,13.56,13.69,6.3587,3595100.0,0.0,1.0
2000-04-03,13.88,14.25,13.5,14.19,6.5909,2803700.0,0.0,1.0
2000-04-04,14.19,14.69,13.75,14.25,6.6188,3690700.0,0.0,1.0
2000-04-05,14.0,14.25,13.75,13.81,6.4144,1772500.0,0.0,1.0
2000-04-06,13.88,14.69,13.81,14.31,6.6466,1981700.0,0.0,1.0
2000-04-07,14.44,15.19,14.44,14.94,6.9393,2653100.0,0.0,1.0
2000-04-10,15.06,15.69,15.06,15.56,7.2272,3091200.0,0.0,1.0
2000-04-11,15.44,15.5,14.88,15.31,7.1111,1919800.0,0.0,1.0
2000-04-12,15.31,15.38,14.69,15.25,7.0833,2009700.0,0.0,1.0
2000-04-13,15.13,15.19,14.56,14.56,6.7628,1606200.0,0.0,1.0
