date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-06-24,63.45,63.45,63.38,63.38,57.6476,3300.0,0.0,1.0
2015-06-25,62.9,62.9,61.9,61.9,56.3015,3700.0,0.0,1.0
2015-06-26,61.9,61.9,61.9,61.9,56.3015,100.0,0.0,1.0
2015-06-29,60.92,60.92,60.8,60.8,55.301,300.0,0.0,1.0
2015-06-30,61.33,61.4,60.33,60.9,55.3919,1815500.0,0.0,1.0
2015-07-01,60.74,62.4,60.63,62.4,56.7563,192400.0,0.0,1.0
2015-07-02,63.0,65.0,62.4,64.99,59.112,1744987.0,0.0,1.0
2015-07-06,65.12,66.4,62.99,63.75,57.9842,2092257.0,0.0,1.0
2015-07-07,63.91,63.99,61.54,62.47,56.8199,3053125.0,0.0,1.0
2015-07-08,62.5,63.9,59.5,59.71,54.3096,3784289.0,0.0,1.0
2015-07-09,59.5,60.93,58.51,59.51,54.1277,2284226.0,0.0,1.0
2015-07-10,59.97,61.6,59.4,61.4,55.8467,2237703.0,0.0,1.0
2015-07-13,62.04,62.25,61.61,62.12,56.5016,1248987.0,0.0,1.0
2015-07-14,62.1,63.05,61.44,62.19,56.5653,994808.0,0.0,1.0
2015-07-15,62.25,62.93,61.13,61.62,56.0468,1209854.0,0.0,1.0
2015-07-16,61.7,63.68,61.536,62.32,56.6835,1365863.0,0.0,1.0
2015-07-17,62.62,63.25,61.64,61.75,56.1651,1213162.0,0.0,1.0
2015-07-20,62.0,62.93,61.5,61.55,55.9832,1977775.0,0.0,1.0
2015-07-21,61.84,62.86,59.62,59.85,54.4369,1808280.0,0.0,1.0
2015-07-22,60.35,61.14,59.57,60.14,54.7007,900133.0,0.0,1.0
2015-07-23,59.77,60.78,59.35,59.85,54.4369,1124672.0,0.0,1.0
2015-07-24,59.55,59.95,57.66,58.91,53.5819,1154608.0,0.0,1.0
2015-07-27,58.45,59.42,57.865,58.19,52.927,1255150.0,0.0,1.0
2015-07-28,58.52,59.75,57.49,59.34,53.973,1636666.0,0.0,1.0
2015-07-29,58.88,59.73,58.08,59.39,54.0185,1790204.0,0.0,1.0
2015-07-30,61.36,63.19,61.04,62.83,57.1474,3530135.0,0.0,1.0
2015-07-31,61.5,63.75,61.16,63.06,57.3566,1624924.0,0.0,1.0
2015-08-03,63.37,64.74,62.39,63.17,57.4566,2128045.0,0.0,1.0
2015-08-04,62.25,63.45,62.24,62.57,56.9109,702962.0,0.0,1.0
2015-08-05,63.29,63.96,62.22,62.75,57.0746,1495186.0,0.0,1.0
2015-08-06,62.0,62.5,60.48,61.74,56.156,2536887.0,0.0,1.0
2015-08-07,61.68,62.61,60.98,62.56,56.9018,2060919.0,0.0,1.0
2015-08-10,62.99,63.5,61.9,62.98,57.6249,1424070.0,0.375,1.0
2015-08-11,64.0,64.0,61.71,63.4,58.0092,1727206.0,0.0,1.0
2015-08-12,63.4,63.87,61.71,63.31,57.9268,1396295.0,0.0,1.0
2015-08-13,63.26,63.7975,62.35,63.13,57.7621,844266.0,0.0,1.0
2015-08-14,63.13,63.81,61.959,63.23,57.8536,938717.0,0.0,1.0
2015-08-17,62.63,63.41,62.63,63.34,57.9543,714354.0,0.0,1.0
2015-08-18,63.02,63.58,62.91,63.16,57.7896,806543.0,0.0,1.0
2015-08-19,62.98,63.29,62.07,62.07,56.7923,1078040.0,0.0,1.0
2015-08-20,61.75,61.75,60.38,60.68,55.5205,1297576.0,0.0,1.0
2015-08-21,60.22,60.265,58.63,59.01,53.9925,1959044.0,0.0,1.0
2015-08-24,56.66,60.29,53.48,56.46,51.6593,2146015.0,0.0,1.0
2015-08-25,58.3,58.37,55.01,55.5,50.7809,2348724.0,0.0,1.0
2015-08-26,57.13,57.94,55.15,56.45,51.6501,1860463.0,0.0,1.0
2015-08-27,58.24,59.25,57.74,59.22,54.1846,1874589.0,0.0,1.0
2015-08-28,59.32,60.42,59.22,60.26,55.1362,1508710.0,0.0,1.0
2015-08-31,60.09,60.23,58.64,59.35,54.3036,1681708.0,0.0,1.0
2015-09-01,58.5,59.12,57.66,58.43,53.4618,1851549.0,0.0,1.0
2015-09-02,59.34,59.44,57.45,58.17,53.2239,1237808.0,0.0,1.0
2015-09-03,58.35,59.64,58.18,58.72,53.7271,1106028.0,0.0,1.0
2015-09-04,57.26,58.33,57.25,57.35,52.4736,821081.0,0.0,1.0
2015-09-08,58.14,58.68,57.69,58.6,53.6173,625521.0,0.0,1.0
2015-09-09,59.0,60.06,58.13,58.25,53.2971,1079371.0,0.0,1.0
2015-09-10,58.13,59.41,58.03,58.74,53.7454,1662988.0,0.0,1.0
2015-09-11,58.5,59.78,58.02,58.75,53.7546,1032846.0,0.0,1.0
2015-09-14,58.75,59.62,57.55,59.58,54.514,1485322.0,0.0,1.0
2015-09-15,62.99,62.99,58.67,59.68,54.6055,1422948.0,0.0,1.0
2015-09-16,59.23,59.23,57.01,58.79,53.7912,1964997.0,0.0,1.0
2015-09-17,58.68,59.18,57.38,57.73,52.8213,1228568.0,0.0,1.0
2015-09-18,56.97,57.33,55.6,55.7,50.9639,2215412.0,0.0,1.0
2015-09-21,57.68,57.68,55.49,55.86,51.1103,1649264.0,0.0,1.0
2015-09-22,56.99,56.99,53.45,53.94,49.3536,1991919.0,0.0,1.0
2015-09-23,53.83,55.02,52.58,52.79,48.3013,1841632.0,0.0,1.0
2015-09-24,51.01,52.45,50.5,52.31,47.8622,2477608.0,0.0,1.0
2015-09-25,52.57,52.78,51.67,51.95,47.5328,1469232.0,0.0,1.0
