date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-10-25,13.05,13.15,12.85,13.01,7.6107,13965800.0,0.0,1.0
2002-10-28,13.01,13.05,12.96,13.01,7.6107,5505900.0,0.0,1.0
2002-10-29,13.0,13.01,12.04,12.64,7.3942,2235800.0,0.0,1.0
2002-10-30,12.61,12.62,12.13,12.5,7.3123,905800.0,0.0,1.0
2002-10-31,12.56,13.02,12.5,12.61,7.3767,298900.0,0.0,1.0
2002-11-01,12.59,12.7,12.57,12.61,7.3767,268800.0,0.0,1.0
2002-11-04,12.66,12.95,12.65,12.91,7.5522,1307600.0,0.0,1.0
2002-11-05,12.92,13.24,12.89,13.02,7.6165,2384700.0,0.0,1.0
2002-11-06,13.03,13.2,13.0,13.0,7.6048,204300.0,0.0,1.0
2002-11-07,13.08,13.16,12.36,13.05,7.6341,724200.0,0.0,1.0
2002-11-08,13.02,13.04,12.83,12.93,7.5639,106400.0,0.0,1.0
2002-11-11,13.0,13.0,12.65,12.71,7.4352,110500.0,0.0,1.0
2002-11-12,12.73,12.74,11.86,11.96,6.9964,540700.0,0.0,1.0
2002-11-13,12.05,12.09,10.76,11.1,6.4934,685600.0,0.0,1.0
2002-11-14,11.13,11.25,10.88,11.09,6.4875,462800.0,0.0,1.0
2002-11-15,11.1,11.56,11.08,11.55,6.7566,460700.0,0.0,1.0
2002-11-18,11.58,13.05,11.57,12.18,7.1251,325400.0,0.0,1.0
2002-11-19,12.36,12.8,12.02,12.6,7.3708,211400.0,0.0,1.0
2002-11-20,12.56,12.6,12.23,12.41,7.2597,92700.0,0.0,1.0
2002-11-21,12.54,12.85,12.54,12.85,7.5171,91300.0,0.0,1.0
2002-11-22,12.85,12.86,12.5,12.65,7.4001,55300.0,0.0,1.0
2002-11-25,12.8,13.0,12.66,12.93,7.5639,111000.0,0.0,1.0
2002-11-26,12.94,12.94,12.74,12.74,7.4527,59300.0,0.0,1.0
2002-11-27,12.9,12.9,12.5,12.5,7.3123,94300.0,0.0,1.0
2002-11-29,12.78,12.89,12.6,12.82,7.4995,35400.0,0.0,1.0
2002-12-02,12.94,12.95,12.35,12.41,7.2597,93600.0,0.0,1.0
2002-12-03,12.5,12.5,12.31,12.37,7.2363,31100.0,0.0,1.0
2002-12-04,12.45,12.6,12.31,12.6,7.3708,42300.0,0.0,1.0
2002-12-05,12.85,13.3,12.76,13.28,7.7686,366100.0,0.0,1.0
2002-12-06,13.15,13.38,12.99,13.18,7.7101,129300.0,0.0,1.0
2002-12-09,13.29,13.3,12.87,13.0,7.6048,106900.0,0.0,1.0
2002-12-10,13.0,13.19,12.93,13.0,7.6048,48300.0,0.0,1.0
2002-12-11,13.1,13.35,13.02,13.25,7.7511,189700.0,0.0,1.0
2002-12-12,13.39,13.8,13.27,13.74,8.0377,361400.0,0.0,1.0
2002-12-13,13.73,14.39,13.53,13.6,7.9558,615500.0,0.0,1.0
2002-12-16,13.75,14.07,13.66,13.68,8.0026,170900.0,0.0,1.0
2002-12-17,13.91,13.91,13.31,13.49,7.8915,95100.0,0.0,1.0
2002-12-18,13.5,13.59,13.06,13.32,7.792,110800.0,0.0,1.0
2002-12-19,13.5,13.5,12.5,12.75,7.4586,233700.0,0.0,1.0
