date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,52.0,53.44,51.0,51.38,31.7224,451500.0,0.0,1.0
2000-01-04,51.13,51.13,48.0,49.06,30.29,454200.0,0.0,1.0
2000-01-05,49.63,50.0,49.06,49.13,30.3332,610200.0,0.0,1.0
2000-01-06,49.38,50.56,49.0,49.88,30.7963,601300.0,0.0,1.0
2000-01-07,50.13,53.5,50.13,53.19,32.8399,462200.0,0.0,1.0
2000-01-10,54.19,54.88,53.25,54.0,33.34,394100.0,0.0,1.0
2000-01-11,54.13,54.13,52.56,53.13,32.8029,479700.0,0.0,1.0
2000-01-12,53.13,53.13,51.0,51.44,31.7594,1886800.0,0.0,1.0
2000-01-13,51.81,51.81,49.13,51.38,31.7224,670300.0,0.0,1.0
2000-01-14,51.38,51.94,50.56,51.56,31.8335,350600.0,0.0,1.0
2000-01-18,53.31,53.31,50.63,50.88,31.4137,550700.0,0.0,1.0
2000-01-19,50.81,51.19,50.63,50.88,31.4137,584500.0,0.0,1.0
2000-01-20,51.75,52.25,50.56,51.13,31.568,292300.0,0.0,1.0
2000-01-21,50.88,50.94,49.5,49.81,30.7531,423400.0,0.0,1.0
2000-01-24,49.94,50.5,48.31,48.38,29.8702,304600.0,0.0,1.0
2000-01-25,48.63,49.0,47.63,47.88,29.5615,266600.0,0.0,1.0
2000-01-26,48.5,48.56,46.5,46.75,28.8638,220500.0,0.0,1.0
2000-01-27,47.0,48.13,46.81,47.56,29.3639,253400.0,0.0,1.0
2000-01-28,47.81,47.81,46.31,46.63,28.7897,383700.0,0.0,1.0
2000-01-31,46.88,46.88,45.13,45.38,28.0179,245800.0,0.0,1.0
2000-02-01,45.31,45.63,44.94,45.63,28.1723,979000.0,0.0,1.0
2000-02-02,46.13,46.5,44.75,44.88,27.7092,691900.0,0.0,1.0
2000-02-03,43.25,46.88,42.63,46.63,28.7897,995500.0,0.0,1.0
2000-02-04,46.5,48.38,46.38,47.13,29.0984,231200.0,0.0,1.0
2000-02-07,47.0,47.0,45.13,45.38,28.0179,403500.0,0.0,1.0
2000-02-08,45.25,46.13,45.13,45.25,27.9377,483500.0,0.0,1.0
2000-02-09,45.13,45.13,44.5,44.63,27.5549,537700.0,0.0,1.0
2000-02-10,45.75,45.75,44.25,44.5,27.4746,620500.0,0.0,1.0
2000-02-11,43.75,44.44,43.75,44.0,27.4438,850600.0,0.45,1.0
2000-02-14,43.75,44.44,42.5,42.56,26.5456,198600.0,0.0,1.0
2000-02-15,42.94,44.63,42.94,44.56,27.793,2043200.0,0.0,1.0
2000-02-16,44.88,45.75,44.81,45.19,28.186,334900.0,0.0,1.0
2000-02-17,45.44,45.5,43.75,44.06,27.4812,297400.0,0.0,1.0
2000-02-18,43.63,43.63,41.5,42.0,26.1963,1266400.0,0.0,1.0
2000-02-22,42.75,42.81,41.38,41.63,25.9655,286400.0,0.0,1.0
2000-02-23,41.88,42.25,41.06,41.31,25.7659,423900.0,0.0,1.0
2000-02-24,41.19,41.19,39.38,39.81,24.8304,481000.0,0.0,1.0
2000-02-25,39.38,39.94,39.0,39.56,24.6744,502900.0,0.0,1.0
2000-02-28,41.0,41.38,39.63,40.75,25.4167,410300.0,0.0,1.0
2000-02-29,41.25,41.56,40.31,40.44,25.2233,496200.0,0.0,1.0
2000-03-01,40.88,42.19,40.63,41.94,26.1589,462600.0,0.0,1.0
2000-03-02,42.19,43.25,42.0,42.56,26.5456,333400.0,0.0,1.0
2000-03-03,42.63,44.06,42.63,43.5,27.1319,216400.0,0.0,1.0
2000-03-06,42.5,42.88,41.06,42.63,26.5893,361600.0,0.0,1.0
2000-03-07,41.75,43.19,41.63,42.25,26.3522,441000.0,0.0,1.0
2000-03-08,42.25,42.75,42.19,42.44,26.4708,555700.0,0.0,1.0
2000-03-09,42.44,42.44,41.69,41.69,26.003,351600.0,0.0,1.0
2000-03-10,41.38,43.0,41.06,41.94,26.1589,222900.0,0.0,1.0
2000-03-13,41.94,42.31,41.06,41.94,26.1589,331600.0,0.0,1.0
2000-03-14,42.06,44.5,42.06,43.75,27.2878,665000.0,0.0,1.0
2000-03-15,44.06,47.5,44.06,46.63,29.0841,353100.0,0.0,1.0
2000-03-16,51.0,52.88,50.88,52.0,32.4335,1248100.0,0.0,1.0
2000-03-17,52.13,52.38,51.38,51.88,32.3587,463200.0,0.0,1.0
2000-03-20,49.88,50.38,47.25,49.06,30.5998,690500.0,0.0,1.0
2000-03-21,48.75,49.88,47.44,49.63,30.9553,713400.0,0.0,1.0
2000-03-22,50.0,50.0,48.63,48.94,30.5249,349600.0,0.0,1.0
2000-03-23,49.25,50.56,49.25,50.31,31.3794,535200.0,0.0,1.0
2000-03-24,48.44,50.88,48.44,49.88,31.1112,435700.0,0.0,1.0
2000-03-27,49.94,50.25,47.69,48.13,30.0197,252500.0,0.0,1.0
2000-03-28,48.63,49.38,48.25,48.56,30.2879,254400.0,0.0,1.0
2000-03-29,48.88,49.88,48.75,49.0,30.5624,667000.0,0.0,1.0
2000-03-30,49.25,52.0,48.25,51.5,32.1217,1449200.0,0.0,1.0
2000-03-31,51.5,56.0,51.38,55.38,34.5417,726000.0,0.0,1.0
2000-04-03,55.25,57.38,54.63,56.81,35.4336,568300.0,0.0,1.0
2000-04-04,56.19,56.38,53.25,54.0,33.681,375700.0,0.0,1.0
2000-04-05,53.75,54.63,53.5,54.38,33.918,391100.0,0.0,1.0
2000-04-06,55.13,55.13,54.0,54.63,34.0739,458800.0,0.0,1.0
2000-04-07,54.38,55.63,54.0,54.25,33.8369,214500.0,0.0,1.0
2000-04-10,54.0,54.69,53.75,54.69,34.1113,294300.0,0.0,1.0
2000-04-11,54.56,54.56,53.31,53.75,33.525,108400.0,0.0,1.0
2000-04-12,53.38,54.88,53.38,54.56,34.0303,126800.0,0.0,1.0
2000-04-13,54.44,54.44,51.0,51.56,32.1591,859100.0,0.0,1.0
2000-04-14,51.0,51.0,48.19,48.31,30.132,669000.0,0.0,1.0
2000-04-17,48.31,49.13,46.56,47.75,29.7827,234700.0,0.0,1.0
2000-04-18,47.81,48.13,47.75,47.88,29.8638,268600.0,0.0,1.0
2000-04-19,47.25,48.44,46.5,47.5,29.6268,280500.0,0.0,1.0
2000-04-20,47.5,47.5,45.88,45.88,28.6164,378500.0,0.0,1.0
2000-04-24,46.13,47.25,45.75,45.75,28.5353,456100.0,0.0,1.0
2000-04-25,46.5,48.19,46.5,48.19,30.0572,402600.0,0.0,1.0
2000-04-26,47.94,48.5,46.75,46.88,29.2401,258200.0,0.0,1.0
2000-04-27,46.38,46.38,45.5,45.94,28.6538,473300.0,0.0,1.0
2000-04-28,45.69,48.31,45.63,47.63,29.7079,617800.0,0.0,1.0
2000-05-01,47.5,48.0,46.75,46.81,29.1964,365300.0,0.0,1.0
2000-05-02,47.13,48.69,47.0,47.88,29.8638,312700.0,0.0,1.0
2000-05-03,47.88,48.88,47.0,47.25,29.4709,207300.0,0.0,1.0
2000-05-04,47.13,50.88,47.13,50.44,31.4605,704300.0,0.0,1.0
2000-05-05,50.44,50.44,49.69,50.25,31.342,241900.0,0.0,1.0
2000-05-08,50.13,52.25,49.94,51.5,32.1217,294100.0,0.0,1.0
2000-05-09,51.13,51.81,50.81,51.25,31.9657,247200.0,0.0,1.0
2000-05-10,45.5,47.88,43.75,47.63,29.7079,1363900.0,0.0,1.0
2000-05-11,47.63,48.88,46.5,48.81,30.4439,721200.0,0.0,1.0
2000-05-12,47.5,49.31,47.5,48.56,30.2879,457900.0,0.0,1.0
2000-05-15,49.0,50.25,49.0,50.0,31.1861,361500.0,0.0,1.0
2000-05-16,51.88,51.88,50.75,51.56,32.1591,473800.0,0.0,1.0
2000-05-17,51.63,51.63,49.13,50.25,31.342,349800.0,0.0,1.0
2000-05-18,50.5,53.13,50.38,52.0,32.4335,509000.0,0.0,1.0
2000-05-19,52.0,54.25,51.88,52.88,32.9824,748200.0,0.0,1.0
2000-05-22,52.75,54.0,52.38,52.94,33.0198,389400.0,0.0,1.0
2000-05-23,53.38,55.75,53.31,55.25,34.7413,721400.0,0.45,1.0
2000-05-24,55.63,58.81,55.63,58.69,36.9044,842800.0,0.0,1.0
2000-05-25,58.0,58.0,56.5,57.06,35.8794,557700.0,0.0,1.0
2000-05-26,57.06,58.88,56.88,58.0,36.4705,770000.0,0.0,1.0
2000-05-30,58.0,58.94,58.0,58.94,37.0616,508600.0,0.0,1.0
2000-05-31,58.38,59.69,58.06,59.5,37.4137,291900.0,0.0,1.0
2000-06-01,59.88,61.0,59.5,60.69,38.162,347100.0,0.0,1.0
2000-06-02,62.88,63.5,60.5,61.0,38.3569,598800.0,0.0,1.0
2000-06-05,60.75,61.88,58.5,58.75,36.9421,302400.0,0.0,1.0
2000-06-06,58.75,59.25,58.13,58.25,36.6277,251700.0,0.0,1.0
2000-06-07,58.25,59.38,57.88,58.0,36.4705,426600.0,0.0,1.0
2000-06-08,58.38,58.5,56.25,57.0,35.8417,332700.0,0.0,1.0
2000-06-09,57.0,57.5,57.0,57.13,35.9235,186200.0,0.0,1.0
2000-06-12,56.75,58.0,56.5,56.81,35.7222,204200.0,0.0,1.0
2000-06-13,56.63,56.81,55.5,56.69,35.6468,240300.0,0.0,1.0
2000-06-14,56.56,56.81,55.94,56.75,35.6845,133700.0,0.0,1.0
2000-06-15,58.0,58.25,56.19,57.63,36.2379,479700.0,0.0,1.0
2000-06-16,57.63,57.63,56.56,56.63,35.609,154700.0,0.0,1.0
2000-06-19,55.63,56.31,54.75,55.69,35.018,184900.0,0.0,1.0
2000-06-20,56.13,56.5,54.75,55.0,34.5841,252200.0,0.0,1.0
2000-06-21,55.0,55.0,53.31,54.88,34.5086,164600.0,0.0,1.0
2000-06-22,55.13,55.25,54.56,54.94,34.5464,191800.0,0.0,1.0
2000-06-23,54.81,54.94,54.75,54.75,34.4269,128200.0,0.0,1.0
2000-06-26,54.75,55.0,54.31,54.94,34.5464,378000.0,0.0,1.0
2000-06-27,54.94,54.94,54.0,54.25,34.1125,382800.0,0.0,1.0
2000-06-28,54.19,54.63,52.38,54.0,33.9553,470000.0,0.0,1.0
2000-06-29,54.0,54.38,52.5,54.38,34.1942,267600.0,0.0,1.0
2000-06-30,54.81,54.81,54.0,54.13,34.037,202900.0,0.0,1.0
2000-07-03,54.0,54.94,53.81,54.94,34.5464,127400.0,0.0,1.0
