date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,47.94,48.13,46.25,46.75,34.3854,7698700.0,0.0,1.0
2000-01-04,45.56,48.5,45.38,45.69,33.6058,7399600.0,0.0,1.0
2000-01-05,45.0,45.44,42.0,44.75,32.9144,6607300.0,0.0,1.0
2000-01-06,43.88,44.0,40.5,40.81,30.0164,8556600.0,0.0,1.0
2000-01-07,40.94,45.44,40.75,45.44,33.4219,10617800.0,0.0,1.0
2000-01-10,47.19,49.13,46.0,47.75,35.1209,7491800.0,0.0,1.0
2000-01-11,47.88,48.0,42.75,43.94,32.3186,5816400.0,0.0,1.0
2000-01-12,44.13,45.69,42.06,43.94,32.3186,5797100.0,0.0,1.0
2000-01-13,44.86,45.88,44.0,45.25,33.2821,4712100.0,0.0,1.0
2000-01-14,47.06,49.0,47.0,48.19,35.4445,9562000.0,0.0,1.0
2000-01-18,48.75,50.0,47.5,48.5,35.6726,7998500.0,0.0,1.0
2000-01-19,47.0,48.0,44.94,45.81,33.694,8774800.0,0.0,1.0
2000-01-20,47.31,48.0,45.69,46.88,34.481,7347300.0,0.0,1.0
2000-01-21,47.75,47.81,47.0,47.44,34.8929,6005500.0,0.0,1.0
2000-01-24,47.94,48.5,44.25,44.5,32.7305,6624800.0,0.0,1.0
2000-01-25,45.25,46.63,43.31,46.5,34.2015,5160300.0,0.0,1.0
2000-01-26,46.94,47.06,43.56,43.75,32.1789,4204200.0,0.0,1.0
2000-01-27,44.0,44.5,41.63,43.75,32.1789,6997800.0,0.0,1.0
2000-01-28,43.63,45.25,42.56,43.19,31.767,5973100.0,0.0,1.0
2000-01-31,43.06,45.81,42.06,45.75,33.6499,5542300.0,0.0,1.0
2000-02-01,45.88,48.0,44.0,47.94,35.2607,7631700.0,0.0,1.0
2000-02-02,48.19,51.44,48.0,50.75,37.3275,11365600.0,0.0,1.0
2000-02-03,51.88,57.88,51.88,57.25,42.1083,13538700.0,0.0,1.0
2000-02-04,56.56,59.38,56.25,58.06,42.7041,7889600.0,0.0,1.0
2000-02-07,58.5,60.0,58.5,60.0,44.131,4867600.0,0.0,1.0
2000-02-08,60.94,61.56,57.44,59.69,43.903,4968800.0,0.0,1.0
2000-02-09,59.56,59.56,57.31,57.81,42.5202,5546900.0,0.0,1.0
2000-02-10,57.94,59.38,57.25,58.69,43.1675,3553700.0,0.0,1.0
2000-02-11,58.75,58.88,56.63,56.94,41.8803,4897400.0,0.0,1.0
2000-02-14,56.88,62.0,56.69,61.94,45.5579,6033700.0,0.0,1.0
2000-02-15,61.25,63.81,57.94,61.88,45.5138,5961700.0,0.0,1.0
2000-02-16,63.06,67.75,61.81,65.25,47.9925,5181600.0,0.0,1.0
2000-02-17,66.63,69.5,64.63,69.06,50.7948,4523200.0,0.0,1.0
2000-02-18,68.56,70.06,66.0,66.19,48.6838,6288400.0,0.0,1.0
2000-02-22,65.63,68.06,64.19,67.25,49.4635,5432600.0,0.0,1.0
2000-02-23,67.75,69.0,67.38,68.0,50.0151,5458100.0,0.0,1.0
2000-02-24,69.0,72.38,68.19,72.13,53.0528,5404900.0,0.0,1.0
2000-02-25,72.81,74.38,67.88,69.19,50.8904,4654800.0,0.0,1.0
2000-02-28,68.63,72.13,64.38,70.25,51.67,4509800.0,0.0,1.0
2000-02-29,76.0,81.06,74.56,79.75,58.6575,7445400.0,0.0,1.0
2000-03-01,84.0,84.5,74.5,74.69,54.9357,9949200.0,0.0,1.0
2000-03-02,82.75,83.88,75.5,76.94,56.5907,8379700.0,0.0,1.0
2000-03-03,81.75,85.0,80.0,83.13,61.1435,4172900.0,0.0,1.0
2000-03-06,83.44,85.69,80.5,80.88,59.4886,3505500.0,0.0,1.0
2000-03-07,83.38,84.25,79.0,82.0,60.3124,3850100.0,0.0,1.0
2000-03-08,83.0,83.06,75.13,81.81,60.1726,4891000.0,0.0,1.0
2000-03-09,80.69,82.75,77.25,82.69,60.8199,3585100.0,0.0,1.0
2000-03-10,81.56,85.88,81.44,83.31,61.2759,4729800.0,0.0,1.0
2000-03-13,79.3,81.38,78.0,79.13,58.2014,4561300.0,0.0,1.0
2000-03-14,80.88,81.75,71.25,71.33,52.4644,7018000.0,0.0,1.0
2000-03-15,72.5,74.81,65.56,69.19,50.8904,8510600.0,0.0,1.0
2000-03-16,72.5,76.0,65.13,72.31,53.1852,11099100.0,0.0,1.0
2000-03-17,71.5,75.56,71.5,75.5,55.5315,5943200.0,0.0,1.0
2000-03-20,78.69,80.06,73.0,73.38,53.9722,6858600.0,0.0,1.0
2000-03-21,74.5,77.31,71.5,77.0,56.6348,5772100.0,0.0,1.0
2000-03-22,78.25,82.72,76.63,82.63,60.7757,5509100.0,0.0,1.0
2000-03-23,81.69,85.0,79.0,84.38,62.0629,3944600.0,0.0,1.0
2000-03-24,83.75,86.56,80.31,82.62,60.7684,4638900.0,0.0,1.0
2000-03-27,83.19,88.44,83.19,86.81,63.8502,4884100.0,0.0,1.0
2000-03-28,88.0,88.0,83.13,84.88,62.4307,4020000.0,0.0,1.0
2000-03-29,84.75,86.25,77.88,80.44,59.165,6335100.0,0.0,1.0
2000-03-30,77.25,81.5,74.13,76.88,56.5465,5546300.0,0.0,1.0
2000-03-31,78.0,83.0,74.75,82.81,60.9081,5231300.0,0.0,1.0
2000-04-03,81.94,82.94,75.75,77.63,57.0982,4140400.0,0.0,1.0
2000-04-04,78.69,81.5,62.88,77.09,56.701,9803600.0,0.0,1.0
2000-04-05,74.73,85.94,72.5,83.63,61.5113,8509700.0,0.0,1.0
2000-04-06,83.88,85.0,78.38,80.81,59.4371,4671700.0,0.0,1.0
2000-04-07,81.63,82.94,79.44,81.94,60.2682,3306100.0,0.0,1.0
2000-04-10,82.44,82.63,75.19,75.38,55.4432,4716100.0,0.0,1.0
2000-04-11,74.75,82.13,70.0,77.81,57.2305,6481000.0,0.0,1.0
2000-04-12,78.0,80.0,71.75,71.94,52.9131,5794700.0,0.0,1.0
2000-04-13,74.0,75.75,68.0,69.88,51.3979,7816300.0,0.0,1.0
2000-04-14,68.0,69.81,55.0,58.13,42.7556,8593900.0,0.0,1.0
2000-04-17,54.63,65.25,53.94,64.75,47.6247,10288200.0,0.0,1.0
2000-04-18,67.0,70.13,63.5,69.5,51.1184,6473100.0,0.0,1.0
2000-04-19,69.88,69.88,64.13,66.63,49.0075,7338100.0,0.0,1.0
2000-04-20,66.5,67.63,64.5,67.56,49.6915,4376600.0,0.0,1.0
2000-04-24,63.31,67.0,59.75,63.0,46.3375,7275400.0,0.0,1.0
2000-04-25,64.94,70.38,64.06,70.38,51.7657,6148200.0,0.0,1.0
2000-04-26,70.69,71.13,65.5,65.5,48.1763,5235600.0,0.0,1.0
2000-04-27,63.19,73.38,62.13,72.63,53.4206,6736600.0,0.0,1.0
2000-04-28,73.63,75.0,71.63,73.25,53.8766,5355100.0,0.0,1.0
2000-05-01,74.88,75.0,69.75,71.63,52.6851,7358300.0,0.0,1.0
2000-05-02,72.63,74.0,66.94,67.19,49.4194,6187600.0,0.0,1.0
2000-05-03,65.75,68.25,63.5,66.81,49.1399,4701200.0,0.0,1.0
2000-05-04,66.81,68.56,63.56,66.75,49.0957,4688200.0,0.0,1.0
2000-05-05,65.69,69.5,65.63,68.88,50.6624,4912000.0,0.0,1.0
2000-05-08,66.88,68.0,64.25,64.44,47.3967,4390600.0,0.0,1.0
2000-05-09,65.22,65.31,62.0,62.38,45.8815,4770400.0,0.0,1.0
2000-05-10,60.88,61.31,55.0,55.75,41.0051,8505300.0,0.0,1.0
2000-05-11,57.25,61.0,55.0,59.44,43.7191,5858000.0,0.0,1.0
2000-05-12,61.0,63.94,59.31,59.75,43.9471,3151900.0,0.0,1.0
2000-05-15,60.25,64.13,57.0,64.06,47.1172,3881900.0,0.0,1.0
2000-05-16,65.25,69.0,64.88,67.75,49.8313,4829900.0,0.0,1.0
2000-05-17,65.13,69.13,64.25,66.13,48.6397,3979800.0,0.0,1.0
2000-05-18,66.88,67.75,63.5,63.88,46.9848,3398800.0,0.0,1.0
2000-05-19,65.38,65.63,60.19,61.25,45.0504,4222700.0,0.0,1.0
2000-05-22,61.69,65.63,58.13,64.94,47.7645,5868700.0,0.0,1.0
2000-05-23,64.67,66.63,60.75,61.13,44.9621,5015700.0,0.0,1.0
2000-05-24,60.63,65.63,57.5,65.44,48.1322,7786600.0,0.0,1.0
2000-05-25,65.0,69.63,63.88,67.0,49.2796,5731100.0,0.0,1.0
2000-05-26,67.75,69.13,65.13,66.88,49.1914,3409700.0,0.0,1.0
2000-05-30,68.5,75.13,68.06,75.06,55.2079,6922200.0,0.0,1.0
2000-05-31,76.75,79.44,76.69,77.13,56.7304,8618500.0,0.0,1.0
2000-06-01,77.5,82.0,77.13,81.75,60.1285,7720700.0,0.0,1.0
2000-06-02,86.39,89.88,84.94,88.69,65.233,10962200.0,0.0,1.0
2000-06-05,87.94,90.19,84.94,86.75,63.8061,5288700.0,0.0,1.0
2000-06-06,87.19,89.25,82.75,82.81,60.9081,4491200.0,0.0,1.0
