date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,23.38,24.88,23.19,24.19,50.6591,8772500.0,0.0,1.0
2000-01-04,24.19,24.19,22.94,23.06,48.2927,6223900.0,0.0,1.0
2000-01-05,23.0,23.38,22.56,23.19,48.5649,6259300.0,0.0,1.0
2000-01-06,23.56,23.94,23.38,23.75,49.7377,4348300.0,0.0,1.0
2000-01-07,23.75,24.75,23.06,24.31,50.9104,6237000.0,0.0,1.0
2000-01-10,24.75,24.75,23.63,23.75,49.7377,5041200.0,0.0,1.0
2000-01-11,23.88,24.06,23.19,23.5,49.2141,5911200.0,0.0,1.0
2000-01-12,23.25,23.75,23.19,23.44,49.0885,3047100.0,0.0,1.0
2000-01-13,23.5,24.19,23.13,24.06,50.3869,4398100.0,0.0,1.0
2000-01-14,24.19,24.31,23.31,23.56,49.3398,4125700.0,0.0,1.0
2000-01-18,23.75,23.81,23.31,23.63,49.4864,3521800.0,0.0,1.0
2000-01-19,23.44,23.81,22.19,23.81,49.8633,10734600.0,0.0,1.0
2000-01-20,23.5,23.5,22.63,22.75,47.6435,4289900.0,0.0,1.0
2000-01-21,22.94,22.94,22.0,22.13,46.345,4582900.0,0.0,1.0
2000-01-24,22.31,22.75,21.38,21.75,45.5492,5321200.0,0.0,1.0
2000-01-25,22.0,22.38,21.0,21.94,45.9471,6835900.0,0.0,1.0
2000-01-26,22.31,22.56,21.88,22.0,46.0728,4873400.0,0.0,1.0
2000-01-27,22.31,22.31,21.0,21.44,44.9,4990600.0,0.0,1.0
2000-01-28,21.38,21.44,20.5,20.5,42.9315,4022300.0,0.0,1.0
2000-01-31,21.13,21.19,20.63,20.88,43.7273,3209200.0,0.0,1.0
2000-02-01,20.94,21.25,20.75,20.81,43.5807,3220100.0,0.0,1.0
2000-02-02,21.19,21.5,20.88,20.94,43.8529,3500800.0,0.0,1.0
2000-02-03,21.31,21.75,21.06,21.75,45.5492,3994400.0,0.0,1.0
2000-02-04,22.0,22.19,21.56,22.0,46.0728,3656600.0,0.0,1.0
2000-02-07,21.94,22.0,21.56,21.69,45.4236,2328900.0,0.0,1.0
2000-02-08,21.69,22.31,21.19,21.75,45.5492,4256000.0,0.0,1.0
2000-02-09,22.0,22.38,21.38,21.63,45.2979,4769200.0,0.0,1.0
