date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,38.56,38.56,37.06,37.31,4.8551,545200.0,0.0,1.0
2000-01-04,37.0,37.5,36.0,36.56,4.7575,595800.0,0.0,1.0
2000-01-05,36.75,36.88,36.56,36.81,4.79,834400.0,0.0,1.0
2000-01-06,36.5,36.81,36.38,36.44,4.7418,709500.0,0.0,1.0
2000-01-07,36.44,36.5,35.38,35.63,4.6364,1089800.0,0.0,1.0
2000-01-10,35.56,37.5,35.5,37.06,4.8225,994100.0,0.0,1.0
2000-01-11,36.75,37.5,36.31,36.81,4.79,759300.0,0.0,1.0
2000-01-12,37.0,37.5,36.44,36.44,4.7418,1766400.0,0.0,1.0
2000-01-13,36.88,37.94,36.75,37.0,4.8147,992600.0,0.0,1.0
2000-01-14,37.0,37.06,35.81,36.0,4.6846,573000.0,0.0,1.0
2000-01-18,35.5,35.75,34.63,34.94,4.5466,1347500.0,0.0,1.0
2000-01-19,34.69,34.75,33.38,33.63,4.3762,1749400.0,0.0,1.0
2000-01-20,33.44,33.44,31.69,31.81,4.1394,1624600.0,0.0,1.0
2000-01-21,31.81,32.19,31.75,31.88,4.1485,1289900.0,0.0,1.0
2000-01-24,32.13,32.38,31.06,31.19,4.0587,1003100.0,0.0,1.0
2000-01-25,31.19,31.19,29.63,30.38,3.9533,1308600.0,0.0,1.0
2000-01-26,30.38,30.56,30.0,30.06,3.9116,817600.0,0.0,1.0
2000-01-27,30.13,30.56,30.0,30.13,3.9207,975500.0,0.0,1.0
2000-01-28,30.38,30.38,28.75,28.88,3.7581,708600.0,0.0,1.0
2000-01-31,29.25,29.38,28.5,28.63,3.7255,508100.0,0.0,1.0
2000-02-01,29.38,32.25,29.38,30.75,4.0014,2220900.0,0.0,1.0
2000-02-02,30.0,30.44,28.44,28.94,3.7659,1844200.0,0.0,1.0
2000-02-03,29.31,29.88,29.13,29.69,3.8635,744400.0,0.0,1.0
2000-02-04,29.69,29.75,29.31,29.63,3.8557,783800.0,0.0,1.0
2000-02-07,29.44,30.0,29.0,29.44,3.8309,759900.0,0.0,1.0
2000-02-08,29.44,29.94,29.38,29.88,3.8882,782700.0,0.0,1.0
2000-02-09,29.56,31.0,29.06,30.0,3.9038,968000.0,0.0,1.0
2000-02-10,30.0,30.69,26.94,28.5,3.7086,3407700.0,0.0,1.0
2000-02-11,27.13,28.38,26.88,27.94,3.6358,1376100.0,0.0,1.0
2000-02-14,28.38,28.38,27.5,28.06,3.6514,923600.0,0.0,1.0
2000-02-15,27.88,28.56,27.06,28.38,3.693,860800.0,0.0,1.0
2000-02-16,28.25,28.63,27.69,27.94,3.6358,359400.0,0.0,1.0
2000-02-17,28.25,29.94,27.75,29.38,3.8231,944700.0,0.0,1.0
2000-02-18,29.0,29.0,27.94,28.0,3.6436,775100.0,0.0,1.0
2000-02-22,28.19,28.19,26.25,27.0,3.5134,860500.0,0.0,1.0
2000-02-23,27.13,27.5,26.81,26.81,3.4887,317100.0,0.0,1.0
2000-02-24,26.56,26.56,25.81,26.0,3.3833,768000.0,0.0,1.0
2000-02-25,26.0,26.19,25.75,25.88,3.3677,624900.0,0.0,1.0
2000-02-28,25.94,26.63,25.25,25.69,3.343,586600.0,0.0,1.0
2000-02-29,26.06,27.0,26.0,26.63,3.4653,737800.0,0.0,1.0
2000-03-01,26.56,28.44,26.56,28.19,3.6683,915600.0,0.0,1.0
2000-03-02,28.06,28.13,27.31,27.69,3.6032,512200.0,0.0,1.0
2000-03-03,28.19,28.19,26.0,26.13,3.4002,859700.0,0.0,1.0
2000-03-06,26.63,27.94,26.13,27.69,3.6032,572200.0,0.0,1.0
2000-03-07,27.0,27.19,26.25,26.44,3.4406,665200.0,0.0,1.0
2000-03-08,26.5,26.88,26.0,26.44,3.4406,488700.0,0.0,1.0
